model_id,brand,model,variant,category,powertrain_type,engine_cc,cooling_type,final_drive_type,transmission_type,model_year_from,model_year_to,spec_reference_year,policy_group,spec_confidence,local_source_type,local_primary_source_url
HONDA_PCX125,Honda,PCX125,current TR listing,SCOOTER,ICE,125.0,LIQUID,V_BELT,CVT,2015.0,2026.0,,ICE_125_LIQUID_BELT,HIGH,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/scooter/honda-pcx125/ozellikler
HONDA_ACTIVA125,Honda,Activa 125,TR listing,SCOOTER,ICE,124.0,AIR,V_BELT,CVT,2015.0,2026.0,,ICE_125_SCOOTER_BELT,MEDIUM,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/scooter/lp/honda-activa-125-one-cikan-ozellikler
TVS_JUPITER125,TVS,Jupiter 125,current,SCOOTER,ICE,124.8,AIR,V_BELT,CVT,2015.0,2026.0,,ICE_125_AIR_BELT,HIGH,OFFICIAL,https://www.tvsmotor.com/tvs-jupiter-125/disc
KUBA_CG50_PRO,Kuba,CG50 Pro,current,CUB,ICE,50.0,AIR,CHAIN,MANUAL_5,2015.0,2026.0,,ICE_50_AIR_CHAIN,MEDIUM,SECONDARY,https://www.epey.com/motosiklet/kuba-cg50-pro.html
MONDIAL_WING50I,Mondial,Wing 50i,current,SCOOTER,ICE,49.6,AIR,V_BELT,AUTOMATIC,2015.0,2026.0,,ICE_50_AIR_BELT,HIGH,OFFICIAL,https://www.mondialmotor.com.tr/model/wing-50-i
MONDIAL_50_UAG,Mondial,50 UAG,current,CUB,ICE,50.0,AIR,CHAIN,MANUAL_5,2015.0,2026.0,,ICE_50_AIR_CHAIN,HIGH,OFFICIAL,https://www.mondialmotor.com.tr/model/50-uag
RKS_NEW_LIGHT_PRO,RKS,New Light Pro,current,CUB,ICE,125.0,AIR,CHAIN,MANUAL,2015.0,2026.0,,ICE_125_AIR_CHAIN,LOW,SECONDARY,https://yandex.com.tr/video/preview/4409228331509346138
HONDA_DIO110,Honda,Dio 110,TR listing,SCOOTER,ICE,,AIR,V_BELT,CVT,2015.0,2026.0,,ICE_SMALL_SCOOTER_BELT,MEDIUM,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/scooter/lp/honda-dio-one-cikan-ozellikler
MONDIAL_SFC_MINI_50EC,Mondial,SFC MINI 50ec,current,CUB,ICE,49.0,AIR,CHAIN,SEMI_AUTO_4,2015.0,2026.0,,ICE_50_AIR_CHAIN,HIGH,OFFICIAL,https://www.mondialmotor.com.tr/model/sfc-mini-50ec
KUBA_BLUEBERRY50,Kuba,Blueberry 50,current,SCOOTER,ICE,50.0,AIR,V_BELT,CVT,2015.0,2026.0,,ICE_50_AIR_BELT,MEDIUM,SECONDARY,https://www.moto11.com/blog/icerik/kuba-blueberry-50-teknik-ozellikleri-ve-inceleme
YAMAHA_NMAX125,Yamaha,NMAX 125,2026 EU spec,SCOOTER,ICE,125.0,LIQUID,V_BELT,CVT,2015.0,2026.0,2026.0,ICE_125_LIQUID_BELT,HIGH,OFFICIAL,https://www.yamaha-motor.eu/al/en/scooters/sport/pdp/nmax-125/
HONDA_CB125F,Honda,CB125F,current TR listing,NAKED,ICE,124.0,AIR,CHAIN,MANUAL_5,2016.0,2026.0,,ICE_125_AIR_CHAIN,HIGH,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/naked/honda-cb125f/ozellikler
HONDA_FORZA250,Honda,Forza 250,current TR listing,BIG_SCOOTER,ICE,249.0,LIQUID,V_BELT,CVT,2016.0,2025.0,2025.0,ICE_250_LIQUID_BELT,HIGH,OFFICIAL,https://www.honda.com.tr/motosiklet/modeller/big-scooter/honda-forza-250/ozellikler
YAMAHA_XMAX250,Yamaha,XMAX 250,2025 TR fact sheet,BIG_SCOOTER,ICE,249.0,LIQUID,V_BELT,CVT,2016.0,2025.0,2025.0,ICE_250_LIQUID_BELT,HIGH,OFFICIAL,https://cdn2.yamaha-motor.eu/prod/product-assets/2025/XMAX250A/Factsheets/2025-XMAX250A_tr-TR.pdf
BAJAJ_NS125,Bajaj,Pulsar NS125,current TR listing,NAKED,ICE,124.45,AIR,CHAIN,MANUAL_5,2016.0,2026.0,,ICE_125_AIR_CHAIN,HIGH,OFFICIAL,https://bajajturkiye.com.tr/pulsar-ns-125/
BAJAJ_NS200,Bajaj,Pulsar NS200 UG2,current TR listing,NAKED,ICE,199.5,LIQUID,CHAIN,MANUAL_6,2016.0,2026.0,,ICE_200_LIQUID_CHAIN,MEDIUM,OFFICIAL,https://bajajturkiye.com.tr/pulsar-ns-200/
TVS_RAIDER125,TVS,Raider 125,current,NAKED,ICE,124.8,OIL,CHAIN,MANUAL_5,2016.0,2026.0,,ICE_125_OIL_CHAIN,HIGH,OFFICIAL,https://turkiye.tvsmotor.com/tr/p/our-products/tvs-raider-tr
