brand,model,variant,missing_information,official_manual_found,maintenance_table_found,year_resolved,market_resolved,reason,recommended_next_action
Honda,PCX125,current TR listing,"Per-km Inspect/Replace/Clean marks in the Honda Maintenance Schedule are embedded graphics; only the time-based intervals (coolant 3 yr, final drive oil 2 yr, brake fluid 2 yr) and severe-use notes could be read.",YES,YES,APPROXIMATE,EXACT,Official Honda UK owner's manual and its Maintenance Schedule located; table checkmark columns not text-extractable.,Read PCX125 owner's manual printed pages 89-91 (or a Honda dealer service sheet) to fill the per-km intervals for spark plug / valve clearance / air cleaner / drive belt / engine oil.
Honda,Activa 125,TR listing,"Full periodic maintenance schedule (per-km intervals). Official Honda owner's manual located (Honda UK / hondamotopub.com), but Honda's maintenance-schedule tables store the per-km Inspect/Clean/Lubricate/Replace marks as embedded graphics that are NOT text-extractable, and the Honda CDNs (cdn.powersports.honda.com, hondamotopub.com) bot-block automated download. Only running-in (500 km) and time-based rows are readable.",PARTIAL,NO,NO,NO,Honda 2Wheelers India owner's manual exists for Activa 125; not parsed in this pass (Honda India site + graphic schedule marks).,Download the Honda 2Wheelers India Activa 125 owner's manual and transcribe its Maintenance Schedule.
TVS,Jupiter 125,current,Cover-variator and steering rows carry only the 3rd-service-onward column (interval read as ~6000/12000 km).,YES,YES,UNKNOWN,PARTIAL,Official TVS owner's manual located; Periodic Maintenance Schedule extracted cleanly with codes and explicit remark intervals.,Confirm whether a TVS Turkiye service schedule differs from the India BS VI schedule.
Kuba,CG50 Pro,current,"Full periodic maintenance schedule. Kuba Motor publishes owner/maintenance manuals for some models (AZ50, Ege 50/100, Brilliant) but none for the CG50 Pro was found; the CG50 Pro is a generic imported 50cc cub.",NO,NO,NO,NO,"No official Kuba CG50 Pro manual located after targeted search (kubamotor.com.tr, adalyamotor mirror).","Contact Kuba Motor TR for the CG50 Pro 'Kullanim ve Bakim El Kitabi', or locate the OEM base-model (Chinese 139FMB / CG-type) service schedule. Likely stays UNRESOLVED."
Mondial,Wing 50i,current,"Some K/A/T/D cells span merged columns in the PDF; a few first-due columns (valve clearance, air-filter replace) inferred from where the codes start. Cooling-system row is generic (model is air-cooled).",YES,YES,UNKNOWN,EXACT,Official Mondial Motor Turkiye owner/maintenance manual located; Periyodik Bakim Tablosu extracted with its K/A/B/T/D legend.,"Confirm the merged-column cells against the printed table; verify engine-oil interval (1,000 km scooter vs 2,000 km cub)."
Mondial,50 UAG,current,"Some K/A/T/D cells span merged columns in the PDF; a few first-due columns (valve clearance, air-filter replace) inferred from where the codes start.",YES,YES,UNKNOWN,EXACT,Official Mondial Motor Turkiye owner/maintenance manual located; Periyodik Bakim Tablosu extracted with its K/A/B/T/D legend.,"Confirm the merged-column cells against the printed table; verify engine-oil interval (1,000 km scooter vs 2,000 km cub)."
RKS,New Light Pro,current,Full periodic maintenance schedule. Web research indicates RKS motorcycles are shipped without a proper user manual and RKS did not respond to documentation requests.,NO,NO,NO,NO,No official RKS New Light Pro (Newlight 125 Pro) owner's manual exists / could be located. RKS Newlight is a Kuba-RKS partnership scooter.,"Contact RKS Motosiklet TR directly; otherwise UNRESOLVED. As a fallback, the generic 125cc GY6 scooter schedule (oil ~2000-3000 km, valve ~6000 km) could be used only if explicitly marked non-official."
Honda,Dio 110,TR listing,"Full periodic maintenance schedule (per-km intervals). Official Honda owner's manual located (Honda UK / hondamotopub.com), but Honda's maintenance-schedule tables store the per-km Inspect/Clean/Lubricate/Replace marks as embedded graphics that are NOT text-extractable, and the Honda CDNs (cdn.powersports.honda.com, hondamotopub.com) bot-block automated download. Only running-in (500 km) and time-based rows are readable.",PARTIAL,NO,NO,NO,Honda 2Wheelers India owner's manual exists for Dio 110; not parsed in this pass.,Download the Honda 2Wheelers India Dio owner's manual and transcribe its Maintenance Schedule.
Mondial,SFC MINI 50ec,current,"Some K/A/T/D cells span merged columns in the PDF; a few first-due columns (valve clearance, air-filter replace) inferred from where the codes start.",YES,YES,UNKNOWN,EXACT,Official Mondial Motor Turkiye owner/maintenance manual located; Periyodik Bakim Tablosu extracted with its K/A/B/T/D legend.,"Confirm the merged-column cells against the printed table; verify engine-oil interval (1,000 km scooter vs 2,000 km cub)."
Kuba,Blueberry 50,current,Full periodic maintenance schedule. No Kuba Blueberry 50-specific owner/maintenance manual was found.,NO,NO,NO,NO,No official Kuba Blueberry 50 manual located after targeted search.,"Contact Kuba Motor TR for the Blueberry 50 manual, or locate the OEM base-model (generic Chinese 1PE40QMB 2-stroke / 139QMB 4-stroke scooter) schedule. Likely stays UNRESOLVED."
Yamaha,NMAX 125,2026 EU spec,Schedule is for the 2015-2021 GPD125-A generation; RideBase row references the 2021+ redesigned NMAX 125. Engine air-filter and oil-strainer repeat columns not machine-readable.,YES,YES,PARTIAL,EXACT,"Official Yamaha EU owner's manual (2DS-F8199-E0) located and both maintenance charts extracted, but for an earlier generation than the RideBase reference year.",Obtain the 2021+ NMAX 125 (redesign) EU owner's manual and diff the schedule; confirm engine air-filter replace km.
Honda,CB125F,current TR listing,"Honda's per-km Inspect/Clean/Lubricate/Replace marks are embedded graphics; only explicitly worded intervals (drive chain 500 km, brake fluid 2 yr) and the grid spacing (~4000 km service) could be read. Spark plug / valve clearance / air cleaner / engine oil per-km intervals unresolved.",YES,YES,PARTIAL,EXACT,Official Honda owner's manual located; schedule table checkmark columns not text-extractable (systemic to Honda OM PDFs).,Read CB125F printed pages 37-39 (or a Honda service booklet) for the per-km intervals; confirm which generation the RideBase 'current' row is (GLR125 vs 2021+ eSP+).
Honda,Forza 250,current TR listing,"Per-km schedule intervals. Official Honda owner's manual located (Honda UK / hondamotopub.com), but Honda's maintenance-schedule tables store the per-km Inspect/Clean/Lubricate/Replace marks as embedded graphics that are NOT text-extractable, and the Honda CDNs (cdn.powersports.honda.com, hondamotopub.com) bot-block automated download. Only running-in (500 km) and time-based rows are readable.",YES,NO,NO,NO,"Honda Forza 250/350 owner's manual located (hondamotopub / manuals.co.uk); schedule marks are graphics, CDN blocks download.",Open the model's Honda owner's manual 'Maintenance Schedule' pages by hand and transcribe the per-km Inspect/Replace/Clean columns.
Yamaha,XMAX 250,2025 TR fact sheet,Engine-oil fixed repeat km is indicator-driven (not stated on chart); spark-plug / air-filter / oil-filter / final-drive columns inferred from checkmark counts against the 10000-40000 km grid.,YES,YES,APPROXIMATE,EXACT,"Official Yamaha EU owner's manual (UBMKSAS0, CZD250D-A) located; both maintenance charts extracted with marks intact (ES-language edition).",Confirm the oil-change-indicator km and the multi-mark columns against an EN-language edition of the same manual.
Bajaj,Pulsar NS125,current TR listing,Spark-plug REPLACE interval and exact valve-clearance km not machine-readable from the PDF schedule cells (same extraction issue as the NS200 chart).,YES,YES,UNKNOWN,PARTIAL,Official Bajaj Auto owner's manual located; intervals taken from the schedule's explicit 'Remarks' column.,Manually read the NS125 schedule pages 30-37 to fill spark-plug replace and valve-clearance km.
Bajaj,Pulsar NS200 UG2,current TR listing,Spark-plug REPLACE interval and valve-clearance interval not machine-readable from official PDF schedule cells.,YES,YES,PARTIAL,PARTIAL,Official Bajaj Auto owner's manual (Pulsar RS200/NS200 BS VI) located and schedule extracted.,Manually read manual pages NS200 p34-35 to fill spark-plug/valve intervals.
TVS,Raider 125,current,"None material; a couple of 'inspect if required' rows (fuel hose, master-cylinder cups) carry only the replace-when-needed interval.",YES,YES,UNKNOWN,PARTIAL,Official TVS owner's manual located; Periodic Maintenance Schedule extracted cleanly with codes and explicit remark intervals.,Confirm whether a TVS Turkiye service schedule differs from the India BS VI schedule.
SYM,Jet X 125 TCS ABS,current TR listing,"Per-checkpoint grid cells were scrambled in PDF extraction; only the 'Remarks' column replace intervals (engine oil 3000 km, spark plug 5000 km, air cleaner 10000 km, belt inspect 10000/replace 30000) are HIGH. Transmission-oil interval unresolved.",YES,YES,APPROXIMATE,PARTIAL,Official SYM Global owner's manual located; Periodical Maintenance Schedule + cooling-system section extracted.,Confirm which remark row maps to drive belt vs transmission oil; get SYM Turkiye schedule if it differs.
Honda,SH125i,current TR listing,"Honda's per-km Inspect/Clean/Replace schedule marks are embedded graphics; only the service interval (1000 then every 6000 km, from the OIL CHANGE / maintenance indicators) and time-based rows (coolant 3 yr, final drive oil 2 yr, brake fluid 2 yr) could be read. Spark plug / valve clearance / air cleaner / drive belt per-km intervals unresolved.",YES,YES,APPROXIMATE,EXACT,Official Honda UK owner's manual located; explicit service interval + time-based intervals extracted; schedule checkmark columns not text-extractable.,Read SH125i printed pages 77-78 (or a Honda service sheet) for the per-km spark-plug / valve / air-cleaner / drive-belt intervals.
Honda,ADV350,current TR listing,"Per-km schedule intervals. Official Honda owner's manual located (Honda UK / hondamotopub.com), but Honda's maintenance-schedule tables store the per-km Inspect/Clean/Lubricate/Replace marks as embedded graphics that are NOT text-extractable, and the Honda CDNs (cdn.powersports.honda.com, hondamotopub.com) bot-block automated download. Only running-in (500 km) and time-based rows are readable. Explicit: maintenance indicator first at 1,000 km then every 12,000 km.",YES,PARTIAL,NO,NO,"Honda ADV350A owner's manual located (hondamotopub.com/om/HMEE/ADV350A/2022, doc 32K2LA010); CDN blocks automated download; schedule marks are graphics.","Download the ADV350A owner's manual (doc 32K2LA010) and transcribe the Maintenance Schedule; the service interval is 1,000 km then every 12,000 km."
