maintenance_task_id,brand,model,variant,year_from,year_to,market,canonical_task_code,task_name_original,task_name_en,task_name_tr,component_group,action,first_due_km,repeat_every_km,first_due_months,repeat_every_months,due_km_min,due_km_max,condition,is_periodic,is_safety_critical,usage_condition,inferred_pattern,source_id,source_page,source_table,evidence,confidence,notes
MT0001,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,ENGINE_OIL,Engine oil (Bajaj DTSI 10000 oil),Engine oil replacement,Motor yagi degisimi,ENGINE_OIL,REPLACE,750,10000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,25,Recommended frequency - Service interval & Kms,"""Engine oil replacement frequency : 1st service & then every 10,000 Km.""",HIGH,
MT0002,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,ENGINE_OIL,Engine oil level top-up,Engine oil top-up,Motor yagi tamamlama,ENGINE_OIL,TOP_UP,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,25,Recommended frequency - Service interval & Kms,"""Engine oil level top-up frequency : Every 5000 km.""",HIGH,
MT0003,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,ENGINE_OIL_FILTER,Engine oil Filter,Engine oil filter replacement,Yag filtresi degisimi,ENGINE_OIL_FILTER,REPLACE,750,10000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,35,Recommended frequency - Service interval & Kms,"""Replace oil filter in 1st service & at every 10000 Kms""",HIGH,
MT0004,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,AIR_FILTER,Air cleaner element (viscus filter),Air filter element replacement,Hava filtresi degisimi,AIR_FILTER,REPLACE,20000,20000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,35,Recommended frequency - Service interval & Kms,"""Replace viscus filter at every 20,000 kms No Cleaning""",MEDIUM,"Manual wording is 'viscus filter'; mapped to air cleaner element. An older (pre-BS6) NS200 manual states 15,000 km -> see source_conflicts."
MT0005,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,FUEL_FILTER,in-line fuel filter,In-line fuel filter replacement,Hat tipi yakit filtresi degisimi,FUEL_FILTER,REPLACE,15000,15000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,35,Recommended frequency - Service interval & Kms,"""Replace at every 15000kms"" (in-line fuel filter row)",MEDIUM,
MT0006,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,FUEL_SYSTEM,Inline fuel filter nylon hoses with quick connector,Fuel filter nylon hoses / quick connector replacement,Yakit filtresi naylon hortumlari degisimi,FUEL_SYSTEM,REPLACE,30000,30000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,35,Recommended frequency - Service interval & Kms,"""Replace at every 30000 kms"" (nylon hoses / quick connector row)",MEDIUM,
MT0007,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,SPARK_PLUG,Spark plug clean & check gap,Spark plug clean and gap check,Buji temizligi ve trnak kontrolu,SPARK_PLUG,CLEAN,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,34,Recommended frequency - Service interval & Kms,"""Spark plug clean & check gap"" (row 8, appears in every service column)",MEDIUM,Replace interval NOT resolved from official PDF -> research_gaps.
MT0008,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,BRAKE_FLUID,DOT 4 brake oil - check & top up,Brake fluid (DOT 4) inspection / top-up,Fren hidroligi kontrol/tamamlama,BRAKE_FLUID,TOP_UP,5000,5000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,39,Recommended frequency - Service interval & Kms,"""Check & Top up DOT 4 brake oil in every service.""",HIGH,
MT0009,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,BRAKE_FLUID,DOT 4 brake oil & Master/Caliper seals,Brake fluid (DOT 4) replacement,Fren hidroligi (DOT4) degisimi,BRAKE_FLUID,DRAIN_REPLACE,30000,30000,UNKNOWN,36,UNKNOWN,UNKNOWN,,1,1,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,39,Recommended frequency - Service interval & Kms,"""Replace DOT 4 brake oil  & Master / Caliper seals  at every 30000 Kms.""",HIGH,
MT0010,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,COOLANT,Coolant & Radiator hoses,Coolant + radiator hoses replacement,Sogutma sivisi + radyator hortum degisimi,COOLANT,DRAIN_REPLACE,30000,30000,UNKNOWN,36,UNKNOWN,UNKNOWN,,1,0,NORMAL,false,SRC_BAJAJ_NS200_OM_BS6,36,Recommended frequency - Service interval & Kms,"""Replacement at every 30000 Kms or 3 year (whichever occurs earlier)"" (Coolant & Radiator hoses row)",HIGH,Bajaj Koolex coolant. Top-up if required at service.
