task_code,component_group,action_type,is_periodic,is_wear_based,is_fault_based,applicable_rows,positives_all,prevalence_all,prevalence_applicable,pos_train,pos_val,pos_test,pos_dev,motorcycles,target_services,years_covered,label_class,needs_review,modeled,exclusion_reason
ENGINE_OIL_CHANGE,ENGINE,REPLACE,1,0,0,39414,34762,0.8811436972446833,0.8819708732937535,25734,4402,4626,30136,6990,34762,6,A_CORE,False,True,
BATTERY_TEST,ELECTRICAL,DIAGNOSE,1,1,0,39451,11933,0.3024764898228181,0.3024764898228181,9891,1262,780,11153,4570,11933,6,A_CORE,False,True,
AIR_FILTER_INSPECTION,INTAKE,INSPECT,1,1,0,39414,11863,0.3007021368279638,0.3009844217790632,9838,1251,774,11089,4581,11863,6,A_CORE,False,True,
BRAKE_FLUID_CHECK,BRAKES,INSPECT,1,0,0,39451,10451,0.2649109021317584,0.2649109021317584,8702,1091,658,9793,4297,10451,6,A_CORE,False,True,
AIR_FILTER_CHANGE,INTAKE,REPLACE,1,1,0,39414,9856,0.2498289016754961,0.2500634292383417,8186,1054,616,9240,4195,9856,6,A_CORE,False,True,
GENERAL_SAFETY_INSPECTION,GENERAL,INSPECT,1,0,0,39451,9533,0.2416415299992395,0.2416415299992395,7874,1048,611,8922,4194,9533,6,A_CORE,False,True,
CHAIN_CLEAN,FINAL_DRIVE,CLEAN,1,1,0,13693,7964,0.201870675014575,0.5816110421383188,6601,853,510,7454,1938,7964,6,A_CORE,False,True,
CHAIN_LUBRICATE,FINAL_DRIVE,LUBRICATE,1,1,0,13693,6402,0.1622772553293959,0.4675381581830132,5271,698,433,5969,1819,6402,6,A_CORE,False,True,
CHAIN_INSPECTION,FINAL_DRIVE,INSPECT,1,1,0,13693,4013,0.1017211224050087,0.2930694515445848,3361,403,249,3764,1364,4013,6,A_CORE,False,True,
BRAKE_FLUID_CHANGE,BRAKES,FLUSH,1,0,0,39451,3894,0.0987047223137563,0.0987047223137563,3231,408,255,3639,2643,3894,6,A_CORE,False,True,
FORK_INSPECTION,SUSPENSION,INSPECT,1,1,0,39451,3828,0.0970317609186078,0.0970317609186078,3196,413,219,3609,2266,3828,6,A_CORE,False,True,
CVT_BELT_INSPECTION,TRANSMISSION,INSPECT,1,1,0,21721,3789,0.0960431928214747,0.1744394825284287,3156,388,245,3544,1843,3789,6,A_CORE,False,True,
CVT_CASE_INSPECTION,TRANSMISSION,INSPECT,1,1,0,21721,3721,0.0943195356264733,0.1713088715989135,3048,419,254,3467,1905,3721,6,A_CORE,False,True,
FRONT_BRAKE_PAD_INSPECTION,BRAKES,INSPECT,1,1,0,39451,2835,0.0718612962916022,0.0718612962916022,2360,299,176,2659,1863,2835,6,A_CORE,False,True,
CVT_ROLLER_INSPECTION,TRANSMISSION,INSPECT,1,1,0,21721,2720,0.0689462878000557,0.1252244371806086,2250,288,182,2538,1614,2720,6,A_CORE,False,True,
VALVE_CLEARANCE_INSPECTION,ENGINE,INSPECT,1,1,0,39414,2581,0.0654229297102735,0.0654843456639772,2121,277,183,2398,1800,2581,6,A_CORE,False,True,
WHEEL_BEARING_INSPECTION,TIRES_WHEELS,INSPECT,1,1,0,39451,2232,0.0565765126359281,0.0565765126359281,1838,240,154,2078,1657,2232,6,A_CORE,False,True,
SPARK_PLUG_INSPECTION,IGNITION,INSPECT,1,1,0,39414,2211,0.0560442067374718,0.0560968183894047,1884,211,116,2095,1429,2211,6,A_CORE,False,True,
CVT_BELT_CHANGE,TRANSMISSION,REPLACE,1,1,0,21721,2121,0.0537628957440876,0.0976474379632613,1746,239,136,1985,1349,2121,6,A_CORE,False,True,
FRONT_TIRE_INSPECTION,TIRES_WHEELS,INSPECT,1,1,0,39451,2073,0.052546196547616,0.052546196547616,1737,213,123,1950,1469,2073,6,A_CORE,False,True,
