label,prevalence,support,pr_auc_best_ml,pr_auc_rule,pr_auc_recurrence,lift_over_prevalence,signal_band
FUEL_INJECTOR_CLEAN,0.0058,31,0.0385,0.0058,0.0139,6.6345,VERY_STRONG
BATTERY_CHANGE,0.0067,36,0.031,0.0118,0.0109,4.6106,VERY_STRONG
FRONT_TIRE_CHANGE,0.0657,352,0.247,0.0708,0.086,3.7569,VERY_STRONG
ENGINE_COMPRESSION_TEST,0.0226,121,0.0797,0.0226,0.0258,3.5253,VERY_STRONG
ABS_DIAGNOSTIC,0.0196,105,0.0593,0.0196,0.0247,3.0252,VERY_STRONG
ENGINE_FAULT_DIAGNOSTIC,0.0052,28,0.0153,0.0052,0.0072,2.9198,STRONG
BRAKE_FLUID_CHANGE,0.0762,408,0.2136,0.0784,0.0705,2.8029,STRONG
FRONT_TIRE_INSPECTION,0.0398,213,0.1096,0.0373,0.0477,2.7551,STRONG
SPARK_PLUG_INSPECTION,0.0394,211,0.1053,0.0314,0.0469,2.6682,STRONG
SPARK_PLUG_CHANGE,0.0322,172,0.0857,0.0423,0.0312,2.6653,STRONG
FUEL_SYSTEM_DIAGNOSTIC,0.0245,131,0.0622,0.0245,0.027,2.5416,STRONG
ECU_DIAGNOSTIC_SCAN,0.0131,70,0.0326,0.0131,0.0254,2.4967,STRONG
REAR_TIRE_INSPECTION,0.0254,136,0.0611,0.0253,0.0254,2.4047,STRONG
FORK_SEAL_CHANGE,0.0054,29,0.0127,0.0054,0.0092,2.3506,STRONG
FRONT_BRAKE_PAD_INSPECTION,0.0558,299,0.126,0.0486,0.0602,2.2563,STRONG
FORK_INSPECTION,0.0771,413,0.1726,0.0664,0.088,2.2381,STRONG
BRAKE_SYSTEM_BLEED,0.006,32,0.0133,0.006,0.0101,2.2257,STRONG
THROTTLE_BODY_CLEAN,0.0058,31,0.0126,0.0058,0.0135,2.1712,STRONG
CVT_BELT_CHANGE,0.0802,239,0.1687,0.0815,0.072,2.1039,STRONG
COOLANT_CHANGE,0.0632,96,0.1329,0.0675,0.0689,2.1025,STRONG
BRAKE_DISC_CHANGE,0.0064,34,0.0132,0.0064,0.0087,2.0734,STRONG
WHEEL_BEARING_INSPECTION,0.0448,240,0.0871,0.0401,0.0529,1.9425,STRONG
STEERING_BEARING_CHANGE,0.0067,36,0.0127,0.0067,0.0122,1.8906,STRONG
VALVE_CLEARANCE_INSPECTION,0.0518,277,0.0968,0.0456,0.0576,1.8686,STRONG
CVT_BELT_INSPECTION,0.1302,388,0.2409,0.1211,0.1193,1.8498,STRONG
REAR_BRAKE_PAD_INSPECTION,0.0248,133,0.0459,0.0199,0.0326,1.8472,STRONG
COOLANT_LEVEL_CHECK,0.1448,220,0.2556,0.1495,0.1544,1.7648,STRONG
REAR_TIRE_CHANGE,0.006,32,0.0105,0.0061,0.0106,1.7566,STRONG
CHAIN_INSPECTION,0.2169,403,0.3802,0.1884,0.1975,1.7528,STRONG
WHEEL_BEARING_CHANGE,0.0073,39,0.0127,0.0073,0.0115,1.7448,STRONG
AIR_FILTER_CHANGE,0.197,1054,0.3409,0.1727,0.1815,1.7303,STRONG
BATTERY_TEST,0.2357,1262,0.397,0.2016,0.2205,1.6844,STRONG
BRAKE_FLUID_CHECK,0.2038,1091,0.3426,0.1784,0.1876,1.6813,STRONG
AIR_FILTER_INSPECTION,0.2339,1251,0.381,0.1943,0.2153,1.6291,STRONG
STEERING_BEARING_INSPECTION,0.0239,128,0.0387,0.0195,0.0259,1.6181,STRONG
GENERAL_SAFETY_INSPECTION,0.1957,1048,0.3155,0.1707,0.185,1.6118,STRONG
FINAL_GEAR_OIL_CHANGE,0.0564,168,0.0908,0.0723,0.054,1.6102,STRONG
CVT_CASE_INSPECTION,0.1406,419,0.2244,0.1296,0.1292,1.5956,MEDIUM
WHEEL_BALANCE,0.0064,34,0.0101,0.0064,0.0104,1.5889,MEDIUM
CHAIN_LUBRICATE,0.3757,698,0.5768,0.3024,0.3151,1.5353,MEDIUM
CHAIN_CLEAN,0.4591,853,0.7023,0.3666,0.3799,1.5297,MEDIUM
CVT_ROLLER_INSPECTION,0.0966,288,0.1474,0.0938,0.097,1.5253,MEDIUM
VALVE_CLEARANCE_ADJUST,0.0052,28,0.0071,0.0052,0.0122,1.3647,MEDIUM
ENGINE_OIL_CHANGE,0.823,4402,0.9154,0.7876,0.815,1.1123,WEAK
