a,b,c,count,rate
ENGINE_OIL_CHANGE,BATTERY_TEST,BRAKE_FLUID_CHECK,8162,0.2435
ENGINE_OIL_CHANGE,BATTERY_TEST,AIR_FILTER_INSPECTION,7773,0.2319
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,6169,0.1841
BATTERY_TEST,AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,5507,0.1643
ENGINE_OIL_CHANGE,CHAIN_CLEAN,CHAIN_LUBRICATE,5366,0.4599
ENGINE_OIL_CHANGE,BATTERY_TEST,AIR_FILTER_CHANGE,5113,0.1525
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,4906,0.1464
BATTERY_TEST,AIR_FILTER_INSPECTION,AIR_FILTER_CHANGE,3896,0.1162
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,3688,0.11
ENGINE_OIL_CHANGE,CHAIN_CLEAN,CHAIN_INSPECTION,3383,0.2899
BATTERY_TEST,BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,3211,0.0958
ENGINE_OIL_CHANGE,AIR_FILTER_CHANGE,BRAKE_FLUID_CHANGE,3080,0.0919
ENGINE_OIL_CHANGE,CHAIN_LUBRICATE,CHAIN_INSPECTION,2807,0.2406
AIR_FILTER_INSPECTION,BRAKE_FLUID_CHECK,AIR_FILTER_CHANGE,2569,0.0766
CHAIN_CLEAN,CHAIN_LUBRICATE,CHAIN_INSPECTION,2532,0.217
ENGINE_OIL_CHANGE,BATTERY_TEST,CHAIN_CLEAN,2488,0.2132
ENGINE_OIL_CHANGE,BATTERY_TEST,BRAKE_FLUID_CHANGE,2479,0.074
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,CHAIN_CLEAN,2466,0.2113
ENGINE_OIL_CHANGE,BATTERY_TEST,FORK_INSPECTION,2403,0.0717
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,CHAIN_CLEAN,2381,0.2041
ENGINE_OIL_CHANGE,AIR_FILTER_INSPECTION,BRAKE_FLUID_CHANGE,2313,0.069
ENGINE_OIL_CHANGE,BRAKE_FLUID_CHECK,FORK_INSPECTION,2203,0.0657
ENGINE_OIL_CHANGE,GENERAL_SAFETY_INSPECTION,CHAIN_CLEAN,2195,0.1881
