label,applicable_rows,prevalence,agree_both_yes,agree_both_yes_hit_rate,rule_only,rule_only_hit_rate,ml_only,ml_only_hit_rate,agree_both_no,agree_both_no_hit_rate
ENGINE_OIL_CHANGE,7988,0.7999,6215,0.7955,0,,1773,0.8156,0,
BATTERY_TEST,8000,0.1819,3003,0.306,4354,0.0698,548,0.3832,95,0.2316
AIR_FILTER_INSPECTION,7988,0.1813,3699,0.2901,3653,0.043,583,0.3533,53,0.2264
BRAKE_FLUID_CHECK,8000,0.1524,2210,0.2724,5208,0.087,401,0.3392,181,0.1547
AIR_FILTER_CHANGE,7988,0.147,1146,0.2749,4579,0.0756,774,0.3088,1489,0.184
GENERAL_SAFETY_INSPECTION,8000,0.1486,1574,0.2973,5840,0.0974,278,0.2842,308,0.237
CHAIN_CLEAN,2751,0.3497,1614,0.5632,1077,0.0353,47,0.3191,13,0.0
CHAIN_LUBRICATE,2751,0.2933,1640,0.4695,1066,0.0244,35,0.3143,10,0.0
CHAIN_INSPECTION,2751,0.1625,688,0.3445,1943,0.0937,48,0.3958,72,0.125
BRAKE_FLUID_CHANGE,8000,0.0569,17,0.1176,4617,0.0528,67,0.4328,3299,0.0546
FORK_INSPECTION,8000,0.0576,111,0.2523,7676,0.0537,16,0.3125,197,0.0812
CVT_BELT_INSPECTION,4540,0.0978,48,0.2083,3716,0.0821,15,0.3333,761,0.1629
CVT_CASE_INSPECTION,4540,0.1055,0,,4265,0.0994,1,0.0,274,0.2007
FRONT_BRAKE_PAD_INSPECTION,8000,0.0419,10,0.2,7840,0.0406,2,0.0,148,0.1014
CVT_ROLLER_INSPECTION,4540,0.0747,2,0.0,3926,0.0685,0,,612,0.1144
VALVE_CLEARANCE_INSPECTION,7988,0.0417,8,0.375,7082,0.0356,3,0.0,895,0.0872
WHEEL_BEARING_INSPECTION,8000,0.0362,1,0.0,7161,0.033,2,0.0,836,0.0646
SPARK_PLUG_INSPECTION,7988,0.0308,12,0.1667,7708,0.0294,0,,268,0.0634
CVT_BELT_CHANGE,4540,0.0595,16,0.25,3158,0.0519,3,0.0,1363,0.0748
FRONT_TIRE_INSPECTION,8000,0.0315,12,0.0833,7864,0.0301,1,1.0,123,0.1057
COOLANT_LEVEL_CHECK,2331,0.1115,1,0.0,2205,0.1066,1,1.0,124,0.1935
FINAL_GEAR_OIL_CHANGE,4540,0.0438,0,,4065,0.0413,0,,475,0.0653
SPARK_PLUG_CHANGE,7988,0.0232,10,0.1,6682,0.023,1,0.0,1295,0.0232
FRONT_TIRE_CHANGE,8000,0.0727,272,0.3088,6288,0.0665,37,0.2432,1403,0.0506
REAR_TIRE_INSPECTION,8000,0.0171,3,0.0,7920,0.017,0,,77,0.026
REAR_BRAKE_PAD_INSPECTION,8000,0.0181,7,0.0,7930,0.0182,0,,63,0.0159
STEERING_BEARING_INSPECTION,8000,0.0156,0,,7917,0.0157,0,,83,0.012
FUEL_SYSTEM_DIAGNOSTIC,7988,0.0302,0,,0,,0,,7988,0.0302
COOLANT_CHANGE,2331,0.0468,8,0.125,1612,0.0478,5,0.4,706,0.0411
ENGINE_COMPRESSION_TEST,7988,0.0285,0,,0,,0,,7988,0.0285
ECU_DIAGNOSTIC_SCAN,8000,0.0101,0,,0,,0,,8000,0.0101
ABS_DIAGNOSTIC,8000,0.0259,0,,0,,3,0.0,7997,0.0259
WHEEL_BALANCE,8000,0.0056,0,,0,,0,,8000,0.0056
FORK_SEAL_CHANGE,8000,0.004,0,,0,,0,,8000,0.004
ENGINE_FAULT_DIAGNOSTIC,7988,0.0039,0,,0,,0,,7988,0.0039
BATTERY_CHANGE,8000,0.0047,0,,5433,0.0046,0,,2567,0.0051
WHEEL_BEARING_CHANGE,8000,0.0066,0,,0,,1,0.0,7999,0.0066
STEERING_BEARING_CHANGE,8000,0.0046,0,,0,,1,0.0,7999,0.0046
BRAKE_DISC_CHANGE,8000,0.0059,0,,0,,0,,8000,0.0059
VALVE_CLEARANCE_ADJUST,7988,0.0044,0,,0,,1,0.0,7987,0.0044
BRAKE_SYSTEM_BLEED,8000,0.0054,0,,0,,0,,8000,0.0054
REAR_TIRE_CHANGE,8000,0.0049,0,,7146,0.0045,0,,854,0.0082
THROTTLE_BODY_CLEAN,7988,0.0041,0,,0,,0,,7988,0.0041
FUEL_INJECTOR_CLEAN,7988,0.0048,0,,0,,1,0.0,7987,0.0048
