task_code,FAULT,INSPECTION_BUNDLE,INSPECTION_FINDING,MILEAGE,MILEAGE_AND_TIME,TIME,WEAR,n_task_lines,policy_due_rate,generating_process,deterministic_share,bundle_share,random_event_share
ENGINE_OIL_CHANGE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46364,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
BATTERY_TEST,0.0138,0.0,0.0,0.4811,0.1461,0.3589,0.0,16189,0.9862,A_DETERMINISTIC_THRESHOLD,0.9862,0.0,0.0138
AIR_FILTER_INSPECTION,0.0,0.0652,0.0,0.4515,0.1402,0.343,0.0,16101,0.9348,F_MIXED_THRESHOLD_AND_BUNDLE,0.9348,0.0652,0.0
BRAKE_FLUID_CHECK,0.0,0.0786,0.0,0.4821,0.1227,0.3166,0.0,14206,0.9214,F_MIXED_THRESHOLD_AND_BUNDLE,0.9214,0.0786,0.0
AIR_FILTER_CHANGE,0.0,0.0,0.0,0.6071,0.1068,0.2861,0.0,13002,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
GENERAL_SAFETY_INSPECTION,0.0,0.9396,0.0,0.0452,0.0072,0.008,0.0,13174,0.0604,D_STOCHASTIC_BUNDLE_ATTACHMENT,0.0604,0.9396,0.0
CHAIN_CLEAN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10897,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
CHAIN_LUBRICATE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8818,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
CHAIN_INSPECTION,0.0,0.0199,0.0,0.9801,0.0,0.0,0.0,5381,0.9801,A_DETERMINISTIC_THRESHOLD,0.9801,0.0199,0.0
BRAKE_FLUID_CHANGE,0.0,0.0,0.0,0.0057,0.0,0.9943,0.0,5109,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
FORK_INSPECTION,0.0357,0.2155,0.0,0.5421,0.0517,0.155,0.0,5150,0.7487,F_MIXED_THRESHOLD_AND_BUNDLE,0.7487,0.2155,0.0357
CVT_BELT_INSPECTION,0.0,0.1495,0.0,0.5086,0.0649,0.277,0.0,5069,0.8505,F_MIXED_THRESHOLD_AND_BUNDLE,0.8505,0.1495,0.0
CVT_CASE_INSPECTION,0.0,0.1412,0.0,0.5876,0.0708,0.2003,0.0,5112,0.8588,F_MIXED_THRESHOLD_AND_BUNDLE,0.8588,0.1412,0.0
FRONT_BRAKE_PAD_INSPECTION,0.0,0.3508,0.0,0.4932,0.0397,0.1162,0.0,3777,0.6492,F_MIXED_THRESHOLD_AND_BUNDLE,0.6492,0.3508,0.0
CVT_ROLLER_INSPECTION,0.0,0.1989,0.0,0.5828,0.0405,0.1777,0.0,3725,0.8011,F_MIXED_THRESHOLD_AND_BUNDLE,0.8011,0.1989,0.0
VALVE_CLEARANCE_INSPECTION,0.0,0.3105,0.0,0.5292,0.0188,0.1415,0.0,3462,0.6895,F_MIXED_THRESHOLD_AND_BUNDLE,0.6895,0.3105,0.0
WHEEL_BEARING_INSPECTION,0.0631,0.3506,0.0,0.4416,0.0146,0.1301,0.0,3012,0.5863,F_MIXED_THRESHOLD_AND_BUNDLE,0.5863,0.3506,0.0631
SPARK_PLUG_INSPECTION,0.0,0.3635,0.0,0.6351,0.0007,0.0007,0.0,2861,0.6365,F_MIXED_THRESHOLD_AND_BUNDLE,0.6365,0.3635,0.0
CVT_BELT_CHANGE,0.0,0.0,0.0,0.574,0.0459,0.3801,0.0,2681,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
FRONT_TIRE_INSPECTION,0.0,0.4056,0.0,0.407,0.0269,0.0932,0.0673,2823,0.5944,F_MIXED_THRESHOLD_AND_BUNDLE,0.5271,0.4056,0.0
COOLANT_LEVEL_CHECK,0.0,0.1217,0.0,0.4915,0.1074,0.2793,0.0,2653,0.8783,F_MIXED_THRESHOLD_AND_BUNDLE,0.8783,0.1217,0.0
FINAL_GEAR_OIL_CHANGE,0.0,0.0,0.0,0.6789,0.0253,0.2958,0.0,2211,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
SPARK_PLUG_CHANGE,0.0,0.0,0.0,0.745,0.0288,0.2262,0.0,2082,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
FRONT_TIRE_CHANGE,0.0,0.0,0.0,0.0,0.8772,0.0,0.1228,1563,0.1228,F_MIXED_THRESHOLD_AND_BUNDLE,0.8772,0.0,0.0
REAR_TIRE_INSPECTION,0.0,0.7024,0.0,0.0628,0.0059,0.0172,0.2116,1687,0.2976,D_STOCHASTIC_BUNDLE_ATTACHMENT,0.086,0.7024,0.0
REAR_BRAKE_PAD_INSPECTION,0.0,0.7586,0.0,0.1972,0.0145,0.0297,0.0,1450,0.2414,D_STOCHASTIC_BUNDLE_ATTACHMENT,0.2414,0.7586,0.0
STEERING_BEARING_INSPECTION,0.1568,0.8233,0.0,0.0184,0.0,0.0015,0.0,1358,0.0199,D_STOCHASTIC_BUNDLE_ATTACHMENT,0.0199,0.8233,0.1568
FUEL_SYSTEM_DIAGNOSTIC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,933,0.0,E_BREAKDOWN_RANDOM_EVENT,0.0,0.0,1.0
COOLANT_CHANGE,0.0,0.0,0.0,0.3348,0.0418,0.6234,0.0,932,1.0,A_DETERMINISTIC_THRESHOLD,1.0,0.0,0.0
ENGINE_COMPRESSION_TEST,1.0,0.0,0.0,0.0,0.0,0.0,0.0,780,0.0,E_BREAKDOWN_RANDOM_EVENT,0.0,0.0,1.0
ECU_DIAGNOSTIC_SCAN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,826,0.0,E_BREAKDOWN_RANDOM_EVENT,0.0,0.0,1.0
ABS_DIAGNOSTIC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,732,0.0,E_BREAKDOWN_RANDOM_EVENT,0.0,0.0,1.0
WHEEL_BALANCE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,432,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
FORK_SEAL_CHANGE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,409,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
ENGINE_FAULT_DIAGNOSTIC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,373,0.0,E_BREAKDOWN_RANDOM_EVENT,0.0,0.0,1.0
BATTERY_CHANGE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,398,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
WHEEL_BEARING_CHANGE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,404,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
STEERING_BEARING_CHANGE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,382,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
BRAKE_DISC_CHANGE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,390,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
VALVE_CLEARANCE_ADJUST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,385,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
BRAKE_SYSTEM_BLEED,0.0,0.0,1.0,0.0,0.0,0.0,0.0,372,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
REAR_TIRE_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362,1.0,B_STOCHASTIC_WEAR,0.0,0.0,0.0
THROTTLE_BODY_CLEAN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,377,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
FUEL_INJECTOR_CLEAN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,372,0.0,E_INSPECTION_FINDING_RANDOM,0.0,0.0,1.0
