snapshot_id,motorcycle_id,actual_days,predicted_days,days_error,days_abs_error,actual_km,predicted_km,km_error,km_abs_error,days_model,km_model,dataset_version,service_sequence,usage_type,motorcycle_age_years,snapshot_odometer_km,category,model_id,avg_service_interval_days,rolling3_interval_days,avg_service_interval_km,rolling3_interval_km,interval_days_variability,interval_km_variability,history_depth,age_band,odometer_band,interval_variability_band,target
SNP_SVC039913,MC009665,6.809027777777778,190.05752693557756,183.24849915779978,183.24849915779978,48.0,3527.4268,3479.4267578125,3479.4267578125,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,1,COMMUTER,7.811088295687885,36177,SCOOTER,HONDA_SH125I,-1.0,-1.0,-1.0,-1.0,0.0,0.0,FIRST,5-10,"(1286.999, 57387.25]","(-0.001, 0.0573]",DAYS
SNP_SVC028444,MC006890,174.93125,30.10461021125976,-144.82663978874024,144.82663978874024,5560.0,1665.2792,-3894.7208251953125,3894.7208251953125,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,5,WEEKEND,5.6125941136208075,43685,SCRAMBLER,HONDA_CL250,304.95677083333334,319.00416666666666,5884.25,6432.333333333333,0.04591300854389489,0.09312830097843473,5-8,5-10,"(1286.999, 57387.25]","(-0.001, 0.0573]",DAYS
SNP_SVC019195,MC004698,17.820138888888888,161.54494988971894,143.72481100083004,143.72481100083004,422.0,4484.249,4062.2490234375,4062.2490234375,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,1,COURIER,4.783025325119781,34085,SCOOTER,HONDA_PCX125,-1.0,-1.0,-1.0,-1.0,0.0,0.0,FIRST,2-5,"(1286.999, 57387.25]","(-0.001, 0.0573]",DAYS
SNP_SVC022028,MC005389,75.76319444444445,219.23509215166473,143.47189770722028,143.47189770722028,1224.0,3253.4216,2029.421630859375,2029.421630859375,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,2,COMMUTER,4.706365503080082,17966,SCOOTER,SYM_JETX125,755.9729166666667,377.48645833333336,6933.0,3466.0,0.5,0.5,SECOND,2-5,"(1286.999, 57387.25]","(0.336, 1.365]",DAYS
SNP_SVC000584,MC000125,4.940972222222222,143.7516137835253,138.81064156130307,138.81064156130307,194.0,4702.7573,4508.75732421875,4508.75732421875,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,1,COMMUTER,1.103353867214237,13593,SCOOTER,HONDA_PCX125,-1.0,-1.0,-1.0,-1.0,0.0,0.0,FIRST,<=2,"(1286.999, 57387.25]","(-0.001, 0.0573]",DAYS
SNP_SVC026626,MC006408,2.7847222222222223,138.68386359767385,135.89914137545162,135.89914137545162,105.0,4692.628,4587.6279296875,4587.6279296875,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,2,COURIER,7.112936344969199,61313,SCOOTER,HONDA_PCX125,844.9416666666667,421.97083333333336,24492.0,12245.5,0.5,0.5,SECOND,5-10,"(57387.25, 98596.0]","(0.336, 1.365]",DAYS
SNP_SVC037410,MC008997,191.9361111111111,59.5334804244069,-132.40263068670419,132.40263068670419,17259.0,4649.908,-12609.091796875,12609.091796875,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,10,COMMUTER,3.696098562628337,103745,SCOOTER,HONDA_DIO110,63.01010802469135,60.026157407407396,5899.111111111111,5504.666666666667,0.04661686582583049,0.06685373156814371,9+,2-5,"(98596.0, 151923.75]","(-0.001, 0.0573]",DAYS
SNP_SVC032922,MC007985,37.699305555555554,167.76718900767898,130.06788345212343,130.06788345212343,1062.0,4793.0586,3731.05859375,3731.05859375,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,4,COMMUTER,6.050650239561944,60952,SCOOTER,SYM_JETX125,468.9868055555556,468.9868055555556,11095.0,11095.0,0.0,0.0,3-4,5-10,"(57387.25, 98596.0]","(-0.001, 0.0573]",DAYS
SNP_SVC005176,MC001254,11.838888888888889,141.8205007467871,129.9816118578982,129.9816118578982,503.0,4996.22,4493.22021484375,4493.22021484375,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,6,COURIER,7.838466803559206,85491,SCOOTER,HONDA_ACTIVA125,307.7811111111111,310.36736111111117,10856.0,10984.333333333334,0.008375674246050088,0.011820330969267195,5-8,5-10,"(57387.25, 98596.0]","(-0.001, 0.0573]",DAYS
SNP_SVC011893,MC002889,1.6909722222222223,129.20416433566692,127.51319211344469,127.51319211344469,110.0,5885.3926,5775.392578125,5775.392578125,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,3,COMMUTER,5.3114305270362765,110217,SCOOTER,HONDA_PCX125,221.525,147.35,10467.5,6978.0,0.33333333333333337,0.3333333333333333,3-4,5-10,"(98596.0, 151923.75]","(0.195, 0.336]",DAYS
SNP_SVC017978,MC004369,19.044444444444444,142.6676181274195,123.62317368297505,123.62317368297505,308.0,1937.9569,1629.9569091796875,1629.9569091796875,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,1,COMMUTER,0.8843258042436687,2962,NAKED,BAJAJ_NS200,-1.0,-1.0,-1.0,-1.0,0.0,0.0,FIRST,<=2,"(1286.999, 57387.25]","(-0.001, 0.0573]",DAYS
SNP_SVC003585,MC000841,202.91041666666666,79.68726675024806,-123.2231499164186,123.2231499164186,11707.0,3635.7354,-8071.2646484375,8071.2646484375,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,8,COMMUTER,7.485284052019165,84295,CUB,MONDIAL_SFC_MINI_50EC,94.72390873015874,92.06875000000001,5149.714285714285,5076.666666666667,0.027737675627554043,0.014182036703184816,5-8,5-10,"(57387.25, 98596.0]","(-0.001, 0.0573]",DAYS
SNP_SVC028692,MC006956,50.302083333333336,172.02063993632697,121.71855660299363,121.71855660299363,1391.0,3339.1392,1948.13916015625,1948.13916015625,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,4,SEASONAL,5.215605749486653,26004,BIG_SCOOTER,HONDA_ADV350,388.0243055555555,388.0243055555555,4470.333333333333,4470.333333333333,0.0,0.0,3-4,5-10,"(1286.999, 57387.25]","(-0.001, 0.0573]",DAYS
SNP_SVC020059,MC004901,3.827777777777778,123.58277608133565,119.75499830355787,119.75499830355787,0.0,4796.62,4796.6201171875,4796.6201171875,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,8,COMMUTER,5.054072553045859,58979,SCOOTER,TVS_JUPITER125,240.32430555555555,270.3534722222222,7685.0,8672.333333333334,0.12443490346957028,0.12845866944227607,5-8,5-10,"(57387.25, 98596.0]","(0.0573, 0.195]",DAYS
SNP_SVC034803,MC008360,27.028472222222224,146.70590072552835,119.67742850330613,119.67742850330613,513.0,4923.0186,4410.0185546875,4410.0185546875,Manual::WeightedBlend,AutoGluon::WeightedEnsemble_L2,1.2.0,4,TOURING,3.3374401095140316,38915,SCOOTER,TVS_JUPITER125,237.9696759259259,237.9696759259259,7284.666666666667,7284.666666666667,0.0,0.0,3-4,2-5,"(1286.999, 57387.25]","(-0.001, 0.0573]",DAYS
