target,family,trial,params,best_iteration,runtime_seconds,mae,median_ae,rmse,r2,bias,p90_ae,within_15,within_30,within_45,within_60,within_90,within_500,within_1000,within_1500,within_2000,within_5000
DAYS,CatBoost,1,"{""iterations"": 2200, ""depth"": 6, ""learning_rate"": 0.04, ""l2_leaf_reg"": 5, ""random_strength"": 1.0, ""subsample"": 0.85}",936,31.860092124999937,20.899843105889005,13.71157188229705,30.44690867924314,0.2791170695412194,-2.1560410264179595,51.18734588500146,0.531055900621118,0.7851966873706004,0.8773291925465838,0.9239130434782609,0.9772256728778468,,,,,
DAYS,CatBoost,2,"{""iterations"": 1800, ""depth"": 8, ""learning_rate"": 0.035, ""l2_leaf_reg"": 7, ""random_strength"": 0.5, ""subsample"": 0.9}",1343,75.18212037500007,22.457663914573562,15.968829851432197,31.07180222637151,0.24922254852496306,2.529929506088895,50.34847598017226,0.468944099378882,0.7670807453416149,0.879399585921325,0.9265010351966874,0.9798136645962733,,,,,
DAYS,CatBoost,3,"{""iterations"": 2400, ""depth"": 5, ""learning_rate"": 0.045, ""l2_leaf_reg"": 4, ""random_strength"": 1.5, ""subsample"": 0.8}",1022,24.691862582999875,21.037161394624267,13.484326384241456,30.795135027645188,0.26253305626685763,-3.710712910321303,51.1700740312556,0.5341614906832298,0.7779503105590062,0.8695652173913043,0.9249482401656315,0.9798136645962733,,,,,
DAYS,LightGBM,1,"{""n_estimators"": 3000, ""learning_rate"": 0.025, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 25, ""colsample_bytree"": 0.85, ""subsample"": 0.85, ""reg_alpha"": 0.05, ""reg_lambda"": 3}",114,2.086638249999851,22.159235550079604,12.375470395594611,34.276008008021385,0.08639429233899432,-3.9255878504949955,58.03030624087738,0.572463768115942,0.7753623188405797,0.8530020703933747,0.9057971014492754,0.9663561076604554,,,,,
DAYS,LightGBM,2,"{""n_estimators"": 2600, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 35, ""colsample_bytree"": 0.9, ""subsample"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 5}",83,2.6809159579997868,23.07391935785423,13.711933945668996,35.75325978493134,0.005946813273549623,-2.4781230008844624,57.699577878472056,0.5351966873706004,0.775879917184265,0.8530020703933747,0.9047619047619048,0.9632505175983437,,,,,
DAYS,LightGBM,3,"{""n_estimators"": 2600, ""learning_rate"": 0.03, ""num_leaves"": 24, ""max_depth"": 7, ""min_child_samples"": 20, ""colsample_bytree"": 0.8, ""subsample"": 0.85, ""reg_alpha"": 0, ""reg_lambda"": 2}",113,1.3154285000000527,22.313622356161442,11.750932077805086,34.76874968777988,0.059938038891557466,-5.817545300273971,60.69292072879688,0.5900621118012422,0.7587991718426501,0.8421325051759835,0.8980331262939959,0.9642857142857143,,,,,
DAYS,XGBoost,1,"{""n_estimators"": 2600, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.05, ""reg_lambda"": 5}",97,2.0174171669996213,21.62918457205004,12.600613106621637,32.29631758284046,0.18888142529123775,-3.6153767077874015,57.721514366997624,0.5703933747412008,0.7743271221532091,0.8530020703933747,0.906832298136646,0.9710144927536232,,,,,
DAYS,XGBoost,2,"{""n_estimators"": 2400, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0, ""reg_lambda"": 3}",166,1.9106287079998765,22.460862398827683,11.287996843126084,36.863356886498174,-0.05673987289251681,-5.125835144105714,60.90977388170032,0.5874741200828157,0.765527950310559,0.8442028985507246,0.8980331262939959,0.9642857142857143,,,,,
DAYS,XGBoost,3,"{""n_estimators"": 2200, ""learning_rate"": 0.035, ""max_depth"": 8, ""min_child_weight"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 7}",98,2.665587708000203,22.333821670614714,13.698546388414172,32.67140171546981,0.16993162461060773,-4.4556454312535365,57.59416512383356,0.5367494824016563,0.7598343685300207,0.8504140786749482,0.9099378881987578,0.9756728778467909,,,,,
KM,CatBoost,1,"{""iterations"": 2200, ""depth"": 6, ""learning_rate"": 0.04, ""l2_leaf_reg"": 5, ""random_strength"": 1.0, ""subsample"": 0.85}",587,21.23123058300007,1535.3878827502272,1109.315963510615,2206.332779183937,0.18366113871345024,-229.18596158136765,3344.1021934390956,,,,,,0.216468151216986,0.45882962195753496,0.6644225789746245,0.7711030554117038,0.9606421543241843
KM,CatBoost,2,"{""iterations"": 1800, ""depth"": 8, ""learning_rate"": 0.035, ""l2_leaf_reg"": 7, ""random_strength"": 0.5, ""subsample"": 0.9}",1333,78.61764008299997,1692.4896036729303,1331.195340082042,2307.480734885352,0.10709633757663561,102.01898924583496,3542.5232690107096,,,,,,0.18591403417918176,0.3832211289487312,0.5644743656136717,0.7151734852408079,0.9570170895908856
KM,CatBoost,3,"{""iterations"": 2400, ""depth"": 5, ""learning_rate"": 0.045, ""l2_leaf_reg"": 4, ""random_strength"": 1.5, ""subsample"": 0.8}",527,14.893131249999897,1509.2146144268966,1032.7470770341051,2216.2146216324563,0.17633223765775075,-324.84364445983823,3451.8032761965096,,,,,,0.24029000517866392,0.48627654065251164,0.6732263076126359,0.7705851890212325,0.9575349559813569
KM,LightGBM,1,"{""n_estimators"": 3000, ""learning_rate"": 0.025, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 25, ""colsample_bytree"": 0.85, ""subsample"": 0.85, ""reg_alpha"": 0.05, ""reg_lambda"": 3}",95,2.196447249999892,1458.4103226366674,600.4315122698204,2448.299257362827,-0.005211476769280132,-753.7384963040644,4153.184528221473,,,,,,0.4334541688244433,0.6504401864319006,0.6975660279647851,0.7364060072501295,0.9394096323148627
KM,LightGBM,2,"{""n_estimators"": 2600, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 35, ""colsample_bytree"": 0.9, ""subsample"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 5}",68,2.685145958999783,1481.4987479103336,665.1166493884011,2446.7995815412846,-0.003980393890007594,-736.7342261584674,4105.094808134164,,,,,,0.3920248575867426,0.6369756602796478,0.6996374935266702,0.739513205592957,0.9363024339720352
KM,LightGBM,3,"{""n_estimators"": 2600, ""learning_rate"": 0.03, ""num_leaves"": 24, ""max_depth"": 7, ""min_child_samples"": 20, ""colsample_bytree"": 0.8, ""subsample"": 0.85, ""reg_alpha"": 0, ""reg_lambda"": 2}",76,1.1720168749998265,1456.3569587419042,599.9949106813037,2439.986701851953,0.0016027973329760803,-694.8319230678203,4186.237420638653,,,,,,0.43552563438632835,0.6400828586224754,0.6975660279647851,0.7405489383738996,0.9425168306576903
KM,XGBoost,1,"{""n_estimators"": 2600, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.05, ""reg_lambda"": 5}",75,1.976221459000044,1470.8104490164585,691.529052734375,2402.510902751041,0.03203607675046849,-673.3094595578716,4008.17431640625,,,,,,0.38425686172967377,0.6209218021750389,0.7037804246504402,0.7457276022786121,0.9461418953909891
