feature_set,target,n_cols,cv_mae_mean,cv_mae_std,val_mae,val_r2,train_mae
SET_A_BASE,DAYS,78,19.50345558364355,3.222484541509973,11.128592107689125,0.7495950509736955,17.572596181644933
SET_A_BASE,KM,78,726.1262512063408,35.67703858143277,651.9117293814395,0.5940678794055556,625.2347906487925
SET_B_BASE_POLICY,DAYS,86,19.553631601391256,3.1983568147706665,11.166911081110026,0.7507896820159019,17.64524411292676
SET_B_BASE_POLICY,KM,86,721.7275771457465,37.282957742658915,654.5661095440539,0.5923238963827304,618.9919198674105
SET_C_BASE_RECENT_USAGE,DAYS,85,17.20124728363512,3.3116899302958456,9.678107493808769,0.8020080949363525,16.483731431296928
SET_C_BASE_RECENT_USAGE,KM,85,704.5293650250787,31.33911203845308,629.969461355757,0.6228799421702105,601.0045796560825
SET_D_BASE_HIST_INTERVAL,DAYS,93,18.39135387641844,3.4103481562071885,10.272946586864235,0.7846101821802236,16.725408249253128
SET_D_BASE_HIST_INTERVAL,KM,93,714.1692274656169,37.700383971898944,625.4414140354562,0.6260814854127121,615.3426673183146
SET_E_BASE_MAINT_HISTORY,DAYS,116,19.40872371693881,3.153867893818306,11.433274183860508,0.735346574472268,17.560787145336594
SET_E_BASE_MAINT_HISTORY,KM,116,722.8552211727073,36.63490019355483,662.8112589564624,0.5859033772368734,621.6216481371971
SET_F_FULL,DAYS,146,16.83485491986861,3.271542477015764,9.500143093925177,0.8120756981794277,15.367513979976216
SET_F_FULL,KM,146,699.8414816251792,37.6808259451485,607.4929228653587,0.6458033742932417,588.6743285263807
SET_G_KM_COMPACT,DAYS,114,16.757814473202007,3.2776805411546137,9.41844366210397,0.8165911917421749,15.34721876650394
SET_G_KM_COMPACT,KM,114,696.5195126578104,36.28853259612944,608.1420553099764,0.6452120956337792,590.7610251850349
SET_G_DAYS_COMPACT,DAYS,113,16.796821552270895,3.2632798946402843,9.479394055743606,0.8129884019597916,15.792565536356316
SET_G_DAYS_COMPACT,KM,113,698.3069655300828,35.35852939543914,605.5689555977563,0.6490102385657022,589.5303296238193
