formulation,family,target,scale,n,mean,median,std,variance,skewness,coef_of_variation,p95,p99,max
RAW_ANY,ANY,DAYS,fit_space,22611,151.30531842294064,103.81527777777778,147.45403488668916,21742.69240436494,2.33466235978223,0.97454627784143,434.8986111111111,736.0236805555556,1343.8895833333333
RAW_ANY,ANY,KM,fit_space,22609,6563.58551904109,5182.0,4908.413474991139,24092522.841474585,2.4013133728891742,0.7478250204483107,16254.199999999997,24946.15999999996,63341.0
LOG_ANY,ANY,DAYS,fit_space,22611,4.630126311597455,4.652199541584331,0.9232701686168313,0.8524278042577521,-0.2738673716047686,0.19940496359769735,6.077409672190356,6.602620022210075,7.204067194490068
LOG_ANY,ANY,KM,fit_space,22609,8.54907352099669,8.553139318189707,0.7691152963989367,0.5915383391548242,-2.128299950644141,0.08996475401807866,9.696168134752185,10.124515235749728,11.05630389521775
V0_RESIDUAL_ANY,ANY,DAYS,fit_space,22611,147.8406942474002,101.70138888888889,144.327196346508,20830.339605243473,2.3403605207546176,0.9762345684401845,426.93333333333334,714.0050694444445,1343.8895833333333
V0_RESIDUAL_ANY,ANY,KM,fit_space,22609,6467.245821806029,5108.0,4891.644977684653,23928190.587707486,2.398644499823257,0.7563722042528798,16147.199999999997,24787.55999999997,63341.0
POLICY_RATIO_ANY,ANY,DAYS,fit_space,1491,8.622179841400204,5.073190878564522,10.571708975420648,111.76103066098948,4.171089938149671,1.226106294449995,26.455915235445033,50.23765621101131,133.85836140650073
POLICY_RATIO_ANY,ANY,KM,fit_space,1646,11.216765103815353,5.987364133012122,15.820369455342961,250.28408970354852,4.21408020992397,1.410421748955205,38.38858676418545,85.4341890010442,176.47619047619048
HISTORY_DEVIATION_ANY,ANY,DAYS,fit_space,13714,-6.085160650437138,-15.024322916666662,94.47069130881366,8924.71151636516,0.9866363024728729,-15.524765365402011,158.12865547839465,314.72208869949463,770.6725694444444
HISTORY_DEVIATION_ANY,ANY,KM,fit_space,13712,-307.70932051514944,-1066.3922413793102,4900.845218026657,24018283.85105475,1.3278615501559,-15.926866335481618,8621.024999999983,15911.809499999992,51032.875
RAW_PERIODIC,PERIODIC,DAYS,fit_space,22166,156.48870056868876,107.81319444444445,151.27991072453864,22885.61138882438,2.286053022101221,0.9667145945667573,450.5579861111111,744.7262152777776,1343.8895833333333
RAW_PERIODIC,PERIODIC,KM,fit_space,22149,6862.160142670098,5274.0,5191.946959473549,26956313.229986634,2.3672678167434302,0.7566053329459809,16938.399999999994,26243.92000000001,63341.0
LOG_PERIODIC,PERIODIC,DAYS,fit_space,22166,4.667514668414418,4.689632599536251,0.9162106309588067,0.8394419202819348,-0.22816177414374805,0.19629517977927402,6.112703692575607,6.614358525816397,7.204067194490068
LOG_PERIODIC,PERIODIC,KM,fit_space,22149,8.597422661654596,8.570733958344267,0.7183756640403745,0.5160635946854489,-0.7899663335934101,0.08355709522627112,9.737397541761016,10.175227645577463,11.05630389521775
V0_RESIDUAL_PERIODIC,PERIODIC,DAYS,fit_space,22166,153.01457650077674,105.14930555555554,148.02732219770743,21912.08811702389,2.2867548757275453,0.9674066718536192,443.21493055555555,727.0632638888887,1343.8895833333333
V0_RESIDUAL_PERIODIC,PERIODIC,KM,fit_space,22149,6765.410132712869,5206.0,5174.671355166047,26777223.633976012,2.365958356409249,0.7648717895379167,16858.39999999998,26153.760000000006,63341.0
