feature,importance,std
historical_interval_days_median,0.02343089996521397,0.0
days_since_previous_service,0.01547151683811232,0.0
annual_km_baseline,0.010179065414368305,0.0
recent_90d_km,0.009599297652768901,0.0
riding_intensity_HIGH,0.007164273054050985,0.0
engine_displacement_cc,0.005284169027149788,0.0
policy_interval_km,0.004952873163378557,0.0
riding_intensity_LOW,0.002385330219152215,0.0
previous_service_count,0.0017807152677699056,0.0
brand_Kuba,0.0008696516423992717,0.0
brand_Honda,0.0004224022263082938,0.0
category_CUB,0.00027331908761119017,0.0
missingindicator_historical_interval_days_median,0.00027331908761119017,0.0
category_SCOOTER,0.00026503669101696214,0.0
missingindicator_km_since_previous_service,0.00022362470804559997,0.0
missingindicator_historical_interval_km_median,2.484718978290612e-05,0.0
category_BIG_SCOOTER,0.0,0.0
usage_type_SEASONAL,0.0,0.0
usage_type_OFFROAD,0.0,0.0
usage_type_COURIER,0.0,0.0
