target,segment_feature,segment_value,n,mae,median_ae
DAYS,history_depth,FIRST,163,27.291417388518436,18.83545932423373
DAYS,history_depth,SECOND,172,23.570956398597673,14.919622013173885
DAYS,history_depth,3-4,314,25.978454634301993,16.118012856324675
DAYS,history_depth,5-8,616,22.2106153506621,15.043464783933498
DAYS,history_depth,9+,1357,17.84060428518464,12.62226905747502
DAYS,usage_type,COMMUTER,1288,21.225384409053664,14.15521602611383
DAYS,usage_type,COURIER,556,19.814913266567807,13.452010231725339
DAYS,usage_type,OFFROAD,39,16.954218826990733,10.275933624261498
DAYS,usage_type,SEASONAL,265,21.772847276875773,15.326919151162201
DAYS,usage_type,TOURING,90,21.422243988652,12.639975689710386
DAYS,usage_type,TRACK,33,19.151726080413297,10.646769285812027
DAYS,usage_type,WEEKEND,351,20.526964341115917,14.597809952388502
DAYS,age_band,<=2,292,21.28101029430886,14.29461635233985
DAYS,age_band,2-5,1095,20.4576571252689,14.27517487868153
DAYS,age_band,5-10,1191,21.162316967994037,14.151690624394604
DAYS,age_band,10+,44,16.63341577438664,11.849003328518311
DAYS,odometer_band,"(1286.999, 57387.25]",656,24.5217795045084,16.46076725659753
DAYS,odometer_band,"(57387.25, 98596.0]",655,22.744023294561426,15.226645084020674
DAYS,odometer_band,"(98596.0, 151923.75]",655,19.180008002623527,13.262947372460033
DAYS,odometer_band,"(151923.75, 500425.0]",656,16.775688272024215,11.762106212815919
DAYS,category,BIG_SCOOTER,31,29.042491331314007,17.690272477679954
DAYS,category,CUB,937,19.043678778322327,13.758660887288848
DAYS,category,NAKED,67,33.03231118765789,21.912745975593452
DAYS,category,SCOOTER,1581,21.018368394559047,13.977444125919476
DAYS,category,SCRAMBLER,3,85.32878996044087,83.53940121888363
DAYS,category,SUPERSPORT,2,41.62146534558411,41.62146534558411
DAYS,category,TOURING,1,24.700532559362898,24.700532559362898
DAYS,model_id,BAJAJ_DOMINAR250,1,24.700532559362898,24.700532559362898
DAYS,model_id,BAJAJ_NS125,9,28.976624142560436,20.85253596681021
DAYS,model_id,BAJAJ_NS200,10,45.18556260081935,44.63715113453483
DAYS,model_id,CFMOTO_250NK,7,27.605851800249983,29.674754630668556
DAYS,model_id,CFMOTO_250SR,2,41.62146534558411,41.62146534558411
DAYS,model_id,CFMOTO_450NK,3,43.49530623717445,24.90195019645108
DAYS,model_id,HONDA_ACTIVA125,104,18.927823847529,12.93962198247008
DAYS,model_id,HONDA_ADV350,5,48.80514058918252,41.984861554158314
