model,target_transform,params,validation_mae,validation_median_ae,validation_rmse,validation_r2,validation_bias,validation_p90_ae,validation_within_500,validation_within_1000,validation_within_1500,validation_within_2000,validation_within_5000,runtime,status,cv_best_mae
GradientBoostingRegressor,RAW,"{""learning_rate"": 0.08, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 100}",1473.6927806375961,903.0664224284787,2220.696548306325,0.17299740598431435,-472.70744144833094,3551.1741896032772,0.28482651475919213,0.5390989124805801,0.6784049715173486,0.7664422578974625,0.9549456240290005,30.79274010658264,SUCCESS,3108.882973799892
BasicV1Reference,RAW,{},1482.7503951015653,944.1249098540147,2248.5495060557846,0.1521220436396843,-358.1292907050601,3515.0284671754034,0.2858622475401347,0.5266701191092699,0.6861729673744174,0.7726566545831176,0.955981356809943,0.0,REFERENCE,
HistGradientBoostingRegressor,RAW,"{""l2_regularization"": 5, ""learning_rate"": 0.08, ""max_bins"": 255, ""max_depth"": 6, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",1511.4158225063884,924.0674270760819,2283.5424108975308,0.1255266059617548,-502.13540815479945,3617.1376736782463,0.27550491973070945,0.5339202485758674,0.6789228379078198,0.7638529259451061,0.955981356809943,2.5216429233551025,SUCCESS,3151.116102128066
LGBMRegressor,RAW,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 31, ""reg_alpha"": 1, ""reg_lambda"": 5, ""subsample"": 0.8}",1550.8653518955791,945.3376540681938,2361.7673507833456,0.06458858385695976,-712.0717413305205,3847.4226615312946,0.2998446400828586,0.5194199896426722,0.6675297773174521,0.7426204039357845,0.9476954945624029,5.9871697425842285,SUCCESS,3192.457962480547
CatBoostRegressor,LOG1P,"{""depth"": 9, ""iterations"": 400, ""l2_leaf_reg"": 7, ""learning_rate"": 0.05, ""random_strength"": 1}",1560.9432819179385,896.5440786435774,2428.3283236810134,0.011120787434996893,-1000.3901222878059,4014.7191089125245,0.3029518384256862,0.5401346452615226,0.6690833764888658,0.7467633350595546,0.9425168306576903,23.528292179107666,SUCCESS,3094.1626554113786
RandomForestRegressor,LOG1P,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",1596.5523051036512,1208.5539590649573,2241.8355307999614,0.15717786540360312,-44.893654183696164,3437.5675252059546,0.1931641636457794,0.39772138788192646,0.619368203003625,0.7731745209735889,0.9611600207146557,4.2671802043914795,SUCCESS,3625.872997659923
XGBRegressor,RAW,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 1, ""reg_lambda"": 5, ""subsample"": 1.0}",1679.738808353845,1126.1533203125,2439.32317056008,0.0021457328409955068,-717.747932445935,3986.535888671875,0.2439150699119627,0.4520973588814086,0.6110823407560849,0.7219057483169342,0.9430346970481616,6.168010950088501,SUCCESS,3294.286828476332
CatBoostRegressor,RAW,"{""depth"": 9, ""iterations"": 400, ""l2_leaf_reg"": 7, ""learning_rate"": 0.05, ""random_strength"": 1}",1680.703074105584,1332.8870821858254,2272.596513673055,0.13388988834398974,206.71217763851388,3403.038825628817,0.18228896944588296,0.36302433972035214,0.5660279647850854,0.7234593474883481,0.9642672190574831,35.80021405220032,SUCCESS,3094.1626554113786
GradientBoostingRegressor,LOG1P,"{""learning_rate"": 0.08, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 100}",1688.585800167027,961.3756507254793,2596.140755079711,-0.1302770425430726,-1381.2040587636675,4289.306684055406,0.31486276540652514,0.5100983946141895,0.615225271879855,0.7089590885551528,0.9295701708959089,31.271815299987793,SUCCESS,3108.882973799892
ExtraTreesRegressor,LOG1P,"{""bootstrap"": true, ""max_depth"": 18, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",1719.0362419548119,1320.46049282464,2300.7470504008493,0.112300072168941,295.3630531823567,3397.4260076203122,0.1258415328845158,0.32573795960642155,0.5805282237182807,0.7369238736406007,0.9575349559813569,1.326158046722412,SUCCESS,3340.1366001256083
