model,horizon,bin,n,mean_predicted,observed_km,absolute_gap
ENSEMBLE[XGB_COX+COXNET],30,"(-0.001, 0.0221]",4041,0.001,0.0007,0.0003
ENSEMBLE[XGB_COX+COXNET],30,"(0.0221, 1.0]",429,0.1627,0.1544,0.0083
ENSEMBLE[XGB_COX+COXNET],60,"(-0.001, 0.00339]",2710,0.0003,0.0011,0.0008
ENSEMBLE[XGB_COX+COXNET],60,"(0.00339, 0.0182]",476,0.0099,0.0109,0.001
ENSEMBLE[XGB_COX+COXNET],60,"(0.0182, 0.114]",395,0.0457,0.0438,0.0019
ENSEMBLE[XGB_COX+COXNET],60,"(0.114, 0.604]",442,0.312,0.273,0.039
ENSEMBLE[XGB_COX+COXNET],60,"(0.604, 1.0]",447,0.8264,0.6957,0.1306
ENSEMBLE[XGB_COX+COXNET],90,"(-0.001, 0.0276]",2690,0.0025,0.0024,0.0001
ENSEMBLE[XGB_COX+COXNET],90,"(0.0276, 0.139]",444,0.0705,0.0571,0.0134
ENSEMBLE[XGB_COX+COXNET],90,"(0.139, 0.578]",455,0.3402,0.3241,0.0161
ENSEMBLE[XGB_COX+COXNET],90,"(0.578, 0.91]",455,0.7733,0.6384,0.1349
ENSEMBLE[XGB_COX+COXNET],90,"(0.91, 1.0]",426,0.9447,0.8033,0.1414
ENSEMBLE[XGB_COX+COXNET],120,"(-0.001, 0.00457]",1795,0.0006,0.0057,0.0051
ENSEMBLE[XGB_COX+COXNET],120,"(0.00457, 0.0185]",443,0.0121,0.018,0.0059
ENSEMBLE[XGB_COX+COXNET],120,"(0.0185, 0.154]",466,0.0833,0.0464,0.0369
ENSEMBLE[XGB_COX+COXNET],120,"(0.154, 0.474]",430,0.2896,0.2694,0.0202
ENSEMBLE[XGB_COX+COXNET],120,"(0.474, 0.815]",449,0.6846,0.5788,0.1058
ENSEMBLE[XGB_COX+COXNET],120,"(0.815, 0.94]",452,0.8878,0.7388,0.149
ENSEMBLE[XGB_COX+COXNET],120,"(0.94, 1.0]",435,0.9656,0.8092,0.1564
