column,feature_type,train_null_before,val_null_before,test_null_before,strategy,fit_source,fill_value_if_applicable,train_null_after,val_null_after,test_null_after,reason
service_sequence,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
snapshot_year,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
snapshot_month,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
snapshot_quarter,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
snapshot_day_of_year,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
snapshot_month_sin,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
snapshot_month_cos,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
cylinder_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
production_year,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
motorcycle_age_years,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
ownership_months,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
initial_mileage_km,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
days_observed,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
annual_km_baseline,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
city_ratio,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
highway_ratio,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
offroad_ratio,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
track_ratio,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
avg_ride_days_per_week,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
daily_active_probability,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
avg_km_per_active_day,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
seasonality_strength,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
winter_usage_factor,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
weather_sensitivity,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
load_severity_factor,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
service_bay_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
technician_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
daily_service_capacity,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
appointment_rate,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
avg_parts_lead_days,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
same_day_parts_rate,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
labor_rate_index,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
customer_volume_index,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
courier_customer_share,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
snapshot_odometer_km,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_service_delay_days,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_labor_total,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_parts_total,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_grand_total,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_task_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_completed_task_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_declined_task_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_policy_due_task_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
current_fault_task_count,NUMERIC,0,0,0,NO_IMPUTATION_NEEDED,TRAIN_ONLY,,0,0,0,v1.2 candidate feature complete
