number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_loss_function,params_random_strength,user_attrs_fold_maes,user_attrs_mae_std,state
0,746.4996280437553,2026-08-28 20:24:48.541339,2026-08-28 20:25:01.775851,0 days 00:00:13.234512,0.6011150117432088,199,5,1018,1.5227525095137953,0.01699897838270077,MAE,1.7323522915498704,"[825.324, 705.076, 709.099]",55.76176715485588,COMPLETE
1,731.6676558142118,2026-08-28 20:25:01.775993,2026-08-28 20:25:13.650979,0 days 00:00:11.874986,0.43194501864211576,119,5,555,3.7381801866358395,0.018659959624904923,MAE,1.0495128632644757,"[803.985, 693.385, 697.633]",51.165267588972384,COMPLETE
2,688.0584126248724,2026-08-28 20:25:13.651029,2026-08-28 20:25:31.777304,0 days 00:00:18.126275,0.5924145688620425,72,7,740,2.7970640394252375,0.14447746112718687,RMSE,1.0284688768272232,"[733.783, 670.788, 659.604]",32.65312766099248,COMPLETE
3,695.814899163065,2026-08-28 20:25:31.777456,2026-08-28 20:26:14.581863,0 days 00:00:42.804407,0.6842330265121569,148,10,1439,3.741523922560336,0.1563510870813346,RMSE,0.19534422801276774,"[743.178, 675.16, 669.106]",33.58204338697827,COMPLETE
4,687.9364798530027,2026-08-28 20:26:14.581920,2026-08-28 20:26:27.181231,0 days 00:00:12.599311,0.5467102793432796,99,5,1392,3.8053996848046987,0.09519754482692679,MAE,1.0401360423556216,"[744.313, 666.202, 653.294]",40.21116296482448,COMPLETE
5,722.1633010373814,2026-08-28 20:26:27.181356,2026-08-28 20:26:43.003423,0 days 00:00:15.822067,0.045227288910538066,126,8,1374,1.7964325184672756,0.22999586428143734,RMSE,0.3919657248382904,,,PRUNED
6,851.8879747493327,2026-08-28 20:26:43.003463,2026-08-28 20:26:50.488941,0 days 00:00:07.485478,0.07455064367977082,252,5,728,2.2683180247728636,0.06333268775321839,Huber:delta=1.0,1.6043939615080793,,,PRUNED
7,686.2057861072432,2026-08-28 20:26:50.488966,2026-08-28 20:27:13.283018,0 days 00:00:22.794052,0.3584657285442726,86,8,1279,7.941433120173512,0.11935262708510537,RMSE,0.14808930346818072,"[731.973, 666.664, 659.98]",32.477122163598274,COMPLETE
8,734.3161495253403,2026-08-28 20:27:13.283158,2026-08-28 20:27:21.793219,0 days 00:00:08.510061,0.8872127425763265,154,6,376,7.566455605042576,0.030222834756467344,RMSE,1.2751149427104262,,,PRUNED
9,1377.544222199318,2026-08-28 20:27:21.793252,2026-08-28 20:27:40.010247,0 days 00:00:18.216995,0.02541912674409519,84,9,974,5.704595464437946,0.05362853964441846,Huber:delta=1.0,0.8550820367170993,,,PRUNED
10,760.2820776012238,2026-08-28 20:27:40.010357,2026-08-28 20:27:56.195913,0 days 00:00:16.185556,0.2579269526014921,195,8,1167,9.813011339788835,0.010629965824084656,RMSE,0.5681117594417646,,,PRUNED
11,683.3755292495285,2026-08-28 20:27:56.195977,2026-08-28 20:28:16.350293,0 days 00:00:20.154316,0.3425159937377566,102,7,1235,6.499610553066054,0.08451840333973504,MAE,0.10357746383286706,"[736.991, 661.533, 651.602]",38.1282080052172,COMPLETE
