snapshot_id,motorcycle_id,snapshot_at,snapshot_odometer_km,model_id,model_name,category,workshop_id,usage_type,riding_intensity,motorcycle_age_years,service_sequence,previous_failure_count,prediction_available,prediction_reason,predicted_next_service_date,predicted_next_service_odometer_km,predicted_days_to_next_service,predicted_km_to_next_service,raw_predicted_days_to_next_service,raw_predicted_km_to_next_service,is_overdue,overdue_days,overdue_km,trigger_task_code,trigger_task_name,trigger_type,trigger_policy_id,policy_count_considered,km_per_day_at_snapshot,future_history_leak_count,dataset_version,rule_version,primary_time_split,next_service_regression_eligible_primary,task_target_eligible_primary,boundary_crossing_future_target,target_event_observed,is_right_censored,days_to_next_service,km_to_next_service,target_km_valid,target_next_service_at,next_service_odometer_km,days_error,days_abs_error,error_type,km_error,km_abs_error
SNP_SVC019332,MC004739,2026-01-01 13:00:00,28307,TVS_JUPITER125,Jupiter 125,SCOOTER,WS0001,COMMUTER,MEDIUM,2.6830937713894594,2,0,True,available,2026-01-01 13:00:00,28307.0,0.0,0.0,-448.3528194962687,-14067.0,True,448.3528194962687,14067.0,AIR_FILTER_INSPECTION,Hava Filtresi Kontrolü,KM,POL0014,28.0,31.374844515987412,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,204.84652777777777,5990.0,1.0,2026-07-25 09:19:00,34297.0,-204.84652777777777,204.84652777777777,TOP20_DAYS,,
SNP_SVC032948,MC007988,2026-01-10 15:03:00,38397,RKS_NEW_LIGHT_PRO,New Light Pro,CUB,WS0002,COMMUTER,HIGH,1.7385352498288844,4,0,True,available,2026-01-10 15:03:00,38397.0,0.0,0.0,-433.88389908078216,-21567.0,True,433.88389908078216,21567.0,BATTERY_TEST,Akü Testi,KM,POL0047,30.0,49.70684564624643,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,203.0,12372.0,1.0,2026-08-01 15:03:00,50769.0,-203.0,203.0,TOP20_DAYS,,
SNP_SVC003585,MC000841,2026-01-08 17:16:00,84295,MONDIAL_SFC_MINI_50EC,SFC MINI 50ec,CUB,WS0001,COMMUTER,HIGH,7.485284052019165,8,0,True,available,2026-01-08 17:16:00,84295.0,0.0,0.0,-1278.9429577828241,-55215.0,True,1278.9429577828241,55215.0,FRONT_BRAKE_PAD_INSPECTION,Ön Fren Balatası Kontrolü,KM,POL0501,27.0,43.17237110849786,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,202.91041666666666,11707.0,1.0,2026-07-30 15:07:00,96002.0,-202.91041666666666,202.91041666666666,TOP20_DAYS,,
SNP_SVC015881,MC003873,2026-01-05 17:14:00,39216,TVS_JUPITER125,Jupiter 125,SCOOTER,WS0003,COMMUTER,MEDIUM,3.9479808350444903,4,0,True,available,2026-01-05 17:14:00,39216.0,0.0,0.0,-1343.6992449664428,-30456.0,True,1343.6992449664428,30456.0,BRAKE_FLUID_CHECK,Fren Hidroliği Kontrolü,KM,POL0023,28.0,22.66578634623003,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,202.9013888888889,5009.0,1.0,2026-07-27 14:52:00,44225.0,-202.9013888888889,202.9013888888889,TOP20_DAYS,,
SNP_SVC026762,MC006442,2026-01-02 13:32:00,43308,BAJAJ_NS200,Pulsar NS200 UG2,NAKED,WS0009,WEEKEND,LOW,5.7878165639972625,2,0,True,available,2026-01-02 13:32:00,43308.0,0.0,0.0,-875.5538054379318,-6988.0,True,875.5538054379318,6988.0,AIR_FILTER_CLEAN,Hava Filtresi Temizliği,KM,POL0585,33.0,7.981234227523874,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,202.0673611111111,1603.0,1.0,2026-07-23 15:09:00,44911.0,-202.0673611111111,202.0673611111111,TOP20_DAYS,,
SNP_SVC013165,MC003219,2026-01-05 17:36:00,60059,HONDA_DIO110,Dio 110,SCOOTER,WS0010,SEASONAL,MEDIUM,8.28747433264887,4,0,True,available,2026-01-05 17:36:00,60059.0,0.0,0.0,-1583.6660094432136,-42089.0,True,1583.6660094432136,42089.0,BATTERY_TEST,Akü Testi,KM,POL0561,28.0,26.576942201845753,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,200.8840277777778,5051.0,1.0,2026-07-25 14:49:00,65110.0,-200.8840277777778,200.8840277777778,TOP20_DAYS,,
SNP_SVC027289,MC006597,2026-01-09 14:01:00,36348,RKS_NEW_LIGHT_PRO,New Light Pro,CUB,WS0007,COMMUTER,HIGH,1.8480492813141685,5,0,True,available,2026-01-09 14:01:00,36348.0,0.0,0.0,-381.7860243257947,-23078.0,True,381.7860243257947,23078.0,BATTERY_TEST,Akü Testi,KM,POL0047,30.0,60.44747195959833,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,200.04375,12236.0,1.0,2026-07-28 15:04:00,48584.0,-200.04375,200.04375,TOP20_DAYS,,
SNP_SVC027464,MC006653,2026-01-12 10:57:00,82979,HONDA_CB125F,CB125F,NAKED,WS0009,COMMUTER,HIGH,5.494866529774128,3,0,True,available,2026-01-12 10:57:00,82979.0,0.0,0.0,-239.37100072672368,-13479.0,True,239.37100072672368,13479.0,FORK_INSPECTION,Ön Amortisör Kontrolü,KM,POL0054,27.0,56.31007916196253,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,200.00694444444446,11954.0,1.0,2026-07-31 11:07:00,94933.0,-200.00694444444446,200.00694444444446,TOP20_DAYS,,
SNP_SVC014386,MC003515,2026-01-07 14:16:00,44740,TVS_JUPITER125,Jupiter 125,SCOOTER,WS0008,SEASONAL,MEDIUM,4.747433264887063,7,0,True,available,2026-01-07 14:16:00,44740.0,0.0,0.0,-1075.269135802469,-24159.999999999996,True,1075.269135802469,24160.0,FRONT_BRAKE_PAD_INSPECTION,Ön Fren Balatası Kontrolü,KM,POL0021,28.0,22.46879334257975,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,197.1375,6144.0,1.0,2026-07-23 17:34:00,50884.0,-197.1375,197.1375,TOP20_DAYS,,
SNP_SVC003205,MC000744,2026-01-09 16:12:00,129109,HONDA_CB125F,CB125F,NAKED,WS0009,SEASONAL,HIGH,7.02258726899384,5,0,True,available,2026-01-09 16:12:00,129109.0,0.0,0.0,-1027.3166666666666,-61639.0,True,1027.3166666666666,61639.0,FRONT_BRAKE_PAD_INSPECTION,Ön Fren Balatası Kontrolü,KM,POL0049,27.0,60.0,0.0,1.2.0,V0_RULE_BASELINE_1.0.0,TEST,1,1,0,1,0,196.94375,10612.0,1.0,2026-07-25 14:51:00,139721.0,-196.94375,196.94375,TOP20_DAYS,,
