target,dimension,segment,n,mae,interpret
DAYS,history_depth,1,161,41.33137473419449,OK
DAYS,history_depth,2,157,24.414954182723132,OK
DAYS,history_depth,3-4,245,24.190073316220882,OK
DAYS,history_depth,5-8,320,20.577740275285862,OK
DAYS,history_depth,9+,399,13.721148782940968,OK
DAYS,age_group,0-2,253,19.85150157968116,OK
DAYS,age_group,10+,13,20.26140439894804,N<40
DAYS,age_group,2-4,355,22.738238780300758,OK
DAYS,age_group,4-6,350,22.30235076151853,OK
DAYS,age_group,6-10,311,23.504683805363253,OK
DAYS,odometer_group,high,320,19.617960513291536,OK
DAYS,odometer_group,low,321,29.668205048448975,OK
DAYS,odometer_group,mid,320,24.50318810623663,OK
DAYS,odometer_group,very_high,321,15.051155685516354,OK
DAYS,usage_type,COMMUTER,596,22.025017941105347,OK
DAYS,usage_type,COURIER,274,21.398817249658013,OK
DAYS,usage_type,OFFROAD,26,26.586502388196116,N<40
DAYS,usage_type,SEASONAL,116,21.158104454956447,OK
DAYS,usage_type,TOURING,69,21.35517846464279,OK
DAYS,usage_type,TRACK,23,34.66334120401822,N<40
DAYS,usage_type,WEEKEND,178,22.849114572617893,OK
DAYS,riding_intensity,HIGH,928,15.245511704925375,OK
DAYS,riding_intensity,LOW,62,69.22094620461961,OK
DAYS,riding_intensity,MEDIUM,292,34.3635233801189,OK
DAYS,recent_usage_q,q1,321,43.00385835750795,OK
DAYS,recent_usage_q,q2,320,23.23464420138465,OK
DAYS,recent_usage_q,q3,320,13.280344119637101,OK
DAYS,recent_usage_q,q4,321,9.297967471541646,OK
DAYS,interval_variability_q,q1,321,32.749397364583714,OK
DAYS,interval_variability_q,q2,320,12.01600647131602,OK
DAYS,interval_variability_q,q3,320,17.108968165097412,OK
DAYS,interval_variability_q,q4,321,26.91942029958945,OK
KM,history_depth,1,161,1418.375257030037,OK
KM,history_depth,2,157,1125.8890602451982,OK
KM,history_depth,3-4,245,964.7859383719308,OK
KM,history_depth,5-8,320,829.832084274292,OK
KM,history_depth,9+,399,950.1840575559994,OK
KM,age_group,0-2,253,1048.1321042026927,OK
KM,age_group,10+,13,960.7857572115385,N<40
KM,age_group,2-4,355,1005.211483979561,OK
KM,age_group,4-6,350,952.707229875837,OK
KM,age_group,6-10,311,1023.1511742693052,OK
KM,odometer_group,high,320,1061.6976570129395,OK
KM,odometer_group,low,321,986.7367860788125,OK
KM,odometer_group,mid,320,910.3921115875244,OK
KM,odometer_group,very_high,321,1054.0623843944704,OK
KM,usage_type,COMMUTER,596,949.4341321087524,OK
KM,usage_type,COURIER,274,1069.9028128742302,OK
KM,usage_type,OFFROAD,26,1169.177729679988,N<40
KM,usage_type,SEASONAL,116,1111.3267138250942,OK
KM,usage_type,TOURING,69,841.3565143087636,OK
KM,usage_type,TRACK,23,781.2555449112602,N<40
KM,usage_type,WEEKEND,178,1077.6075809778793,OK
KM,riding_intensity,HIGH,928,1045.251204128923,OK
KM,riding_intensity,LOW,62,684.0643167803364,OK
KM,riding_intensity,MEDIUM,292,937.5347760344205,OK
KM,recent_usage_q,q1,321,1013.4460465380707,OK
KM,recent_usage_q,q2,320,1030.656358718872,OK
KM,recent_usage_q,q3,320,928.6719081878662,OK
KM,recent_usage_q,q4,321,1040.074870171948,OK
KM,interval_variability_q,q1,321,1270.1019163517938,OK
KM,interval_variability_q,q2,320,852.5393634796143,OK
KM,interval_variability_q,q3,320,938.7155368804931,OK
KM,interval_variability_q,q4,321,950.9687738626545,OK
