feature_name,source,available_at_snapshot,future_derived,target_derived,identifier,synthetic_only,production_derivable,used
snapshot_id,ml_maintenance_snapshots,False,False,True,True,False,False,False
source_service_id,ml_maintenance_snapshots,True,False,False,True,False,False,False
snapshot_at,ml_maintenance_snapshots,True,False,False,False,False,False,False
snapshot_date,ml_maintenance_snapshots,True,False,False,False,False,False,False
service_sequence,ml_maintenance_snapshots,True,False,False,False,False,True,True
snapshot_year,ml_maintenance_snapshots,True,False,False,False,False,True,True
snapshot_month,ml_maintenance_snapshots,True,False,False,False,False,True,True
snapshot_quarter,ml_maintenance_snapshots,True,False,False,False,False,True,True
snapshot_day_of_year,ml_maintenance_snapshots,True,False,False,False,False,True,True
snapshot_month_sin,ml_maintenance_snapshots,True,False,False,False,False,True,True
snapshot_month_cos,ml_maintenance_snapshots,True,False,False,False,False,True,True
motorcycle_id,ml_maintenance_snapshots,True,False,False,True,False,False,False
customer_id,ml_maintenance_snapshots,True,False,False,True,False,False,False
workshop_id,ml_maintenance_snapshots,True,False,False,True,False,True,False
model_id,ml_maintenance_snapshots,True,False,False,True,False,True,False
brand,ml_maintenance_snapshots,True,False,False,False,False,True,True
model_name,ml_maintenance_snapshots,True,False,False,True,False,False,False
category,ml_maintenance_snapshots,True,False,False,False,False,True,True
powertrain_type,ml_maintenance_snapshots,True,False,False,False,False,True,True
engine_displacement_cc,ml_maintenance_snapshots,True,False,False,False,False,True,True
cylinder_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
cooling_type,ml_maintenance_snapshots,True,False,False,False,False,True,True
final_drive_type,ml_maintenance_snapshots,True,False,False,False,False,True,True
transmission_type,ml_maintenance_snapshots,True,False,False,False,False,True,True
engine_oil_service_qty_l,ml_maintenance_snapshots,True,False,False,False,False,True,True
spark_plug_count,ml_maintenance_snapshots,True,False,False,False,False,True,True
fuel_type,ml_maintenance_snapshots,True,False,False,False,False,False,True
policy_group,ml_maintenance_snapshots,True,False,False,False,False,True,True
policy_ready,ml_maintenance_snapshots,True,False,False,False,False,True,True
spec_confidence,ml_maintenance_snapshots,True,False,False,False,False,True,True
production_year,ml_maintenance_snapshots,True,False,False,False,False,True,True
motorcycle_age_years,ml_maintenance_snapshots,True,False,False,False,False,True,True
ownership_months,ml_maintenance_snapshots,True,False,False,False,False,True,True
initial_mileage_km,ml_maintenance_snapshots,True,False,False,False,False,True,True
is_left_truncated,ml_maintenance_snapshots,True,False,False,False,False,True,True
days_observed,ml_maintenance_snapshots,True,False,False,False,False,True,True
customer_type,ml_maintenance_snapshots,True,False,False,False,False,True,True
is_fleet_customer,ml_maintenance_snapshots,True,False,False,False,False,True,True
acquisition_channel,ml_maintenance_snapshots,True,False,False,False,False,True,True
