number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_objective,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_maes,user_attrs_mae_std,state
0,701.6693880816734,2026-08-29 15:17:43.334986,2026-08-29 15:17:55.916676,0 days 00:00:12.581690,0.8005575058716043,3.540362888980227,0.01700037298921102,4,2.1035886311957896,918,reg:absoluteerror,1.5320059381854043e-08,5.3602947287282925,0.9464704583099741,"[759.954, 673.791, 671.263]",41.22658689096826,COMPLETE
1,686.4778205901499,2026-08-29 15:17:55.916728,2026-08-29 15:18:04.671709,0 days 00:00:08.754981,0.8059264473611898,0.6974693032602092,0.028145092716060652,8,9.206955354200199,420,reg:squarederror,4.258943089524393e-06,1.9826980964985924e-05,0.7164916560792167,"[735.342, 666.733, 657.359]",34.76317556425927,COMPLETE
2,692.8154805281691,2026-08-29 15:18:04.671770,2026-08-29 15:18:13.455802,0 days 00:00:08.784032,0.5325257964926398,4.7444276862666666,0.07500118950416987,3,12.54335218612733,817,reg:absoluteerror,4.905556676028766,0.1886149587855396,0.6682096494749166,"[749.14, 670.448, 658.858]",40.10768509247857,COMPLETE
3,1194249050.077417,2026-08-29 15:18:13.455839,2026-08-29 15:18:17.053518,0 days 00:00:03.597679,0.6293899908000085,3.31261142176991,0.015144860262751412,7,1.6533819011891495,728,reg:pseudohubererror,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[1105935698.869, 1190630773.632, 1286180677.731]",73629170.14613442,COMPLETE
4,1194249050.077417,2026-08-29 15:18:17.053578,2026-08-29 15:18:21.914510,0 days 00:00:04.860932,0.5442462510259598,0.979914312095726,0.2442046084491143,11,12.360099597410617,1130,reg:pseudohubererror,2.5529693461039728e-08,8.471746987003668e-06,0.9687496940092467,"[1105935698.869, 1190630773.632, 1286180677.731]",73629170.14613442,COMPLETE
5,1148283236.2503932,2026-08-29 15:18:21.914564,2026-08-29 15:18:23.919074,0 days 00:00:02.004510,0.5372753218398854,4.9344346830025865,0.026000059117302653,8,3.6775602745204905,628,reg:pseudohubererror,0.08916674715636552,6.143857495033091e-07,0.9208787923016158,,,PRUNED
6,717.5363242557464,2026-08-29 15:18:23.919103,2026-08-29 15:18:31.247156,0 days 00:00:07.328053,0.9315517129377968,3.1164906341377896,0.13780336485751998,3,7.81084884234118,1075,reg:absoluteerror,9.507847858536042e-06,3.732717755563729e-08,0.6463476238100518,,,PRUNED
7,1148283236.2503932,2026-08-29 15:18:31.247180,2026-08-29 15:18:33.881131,0 days 00:00:02.633951,0.8803925243084487,2.8063859878474813,0.20441878352493792,7,3.272290672827732,965,reg:pseudohubererror,0.08683696167603715,0.0002780739892288472,0.885297914889198,,,PRUNED
8,694.9390353468046,2026-08-29 15:18:33.881156,2026-08-29 15:18:45.894264,0 days 00:00:12.013108,0.9537832369630466,1.2464611457443748,0.011128194768838964,9,6.972763640450207,329,reg:squarederror,4.9368087974032924e-05,0.06308995924905786,0.8034282764658811,"[744.067, 672.124, 668.626]",34.76805201422685,COMPLETE
9,1148283236.2503932,2026-08-29 15:18:45.894313,2026-08-29 15:18:47.527588,0 days 00:00:01.633275,0.9018360384495572,0.9328502944301792,0.2361979710780652,11,13.034671373698046,393,reg:pseudohubererror,1.0790237065789305,0.0007146282449340217,0.9485842360750871,,,PRUNED
