target,split,model,metric,value,n,notes
DAYS,TRAIN,HistGradientBoostingRegressor,mae,67.64721769443207,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,median_ae,47.03758290614251,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,rmse,98.49332190227972,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,r2,0.5755406967052368,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,bias,-0.2455736759714082,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,p90_ae,145.92842339238882,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,within_30,0.3350258716572368,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,within_60,0.6022051356448571,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,within_90,0.7631413511291648,20679,RAW
DAYS,TRAIN,HistGradientBoostingRegressor,mae,67.64721769443207,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,median_ae,47.03758290614251,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,rmse,98.49332190227972,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,r2,0.5755406967052368,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,bias,-0.2455736759714082,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,p90_ae,145.92842339238882,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,within_30,0.3350258716572368,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,within_60,0.6022051356448571,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,within_90,0.7631413511291648,20679,ACTIONABLE
DAYS,TRAIN,HistGradientBoostingRegressor,negative_prediction_count,0.0,20679,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,mae,22.471393802247718,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,median_ae,16.7235993468553,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,rmse,30.363077428568793,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,r2,0.2830813026327924,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,bias,2.4353590179966504,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,p90_ae,50.106079523541865,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,within_30,0.777432712215321,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,within_60,0.9332298136645962,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,within_90,0.9849896480331263,1932,RAW
DAYS,VALIDATION,HistGradientBoostingRegressor,mae,22.471393802247718,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,median_ae,16.7235993468553,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,rmse,30.363077428568793,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,r2,0.2830813026327924,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,bias,2.4353590179966504,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,p90_ae,50.106079523541865,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,within_30,0.777432712215321,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,within_60,0.9332298136645962,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,within_90,0.9849896480331263,1932,ACTIONABLE
DAYS,VALIDATION,HistGradientBoostingRegressor,negative_prediction_count,0.0,1932,RAW
DAYS,TEST,HistGradientBoostingRegressor,mae,23.041617637222444,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,median_ae,17.75821045001405,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,rmse,30.74701455862528,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,r2,0.4172132315342424,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,bias,1.8892296043159107,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,p90_ae,49.64687177192721,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,within_30,0.7639206712433257,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,within_60,0.9378337147215866,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,within_90,0.9816933638443935,2622,RAW
DAYS,TEST,HistGradientBoostingRegressor,mae,23.041617637222444,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,median_ae,17.75821045001405,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,rmse,30.74701455862528,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,r2,0.4172132315342424,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,bias,1.8892296043159107,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,p90_ae,49.64687177192721,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,within_30,0.7639206712433257,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,within_60,0.9378337147215866,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,within_90,0.9816933638443935,2622,ACTIONABLE
DAYS,TEST,HistGradientBoostingRegressor,negative_prediction_count,0.0,2622,RAW
KM,TRAIN,HistGradientBoostingRegressor,mae,2987.8333603186215,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,median_ae,2365.575425674714,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,rmse,4115.3851661008275,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,r2,0.3311642171875232,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,bias,10.778158228112035,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,p90_ae,5767.197358377683,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,within_1000,0.1880742818454396,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,within_2000,0.41860914982106584,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,within_5000,0.8693780829867492,20678,RAW
KM,TRAIN,HistGradientBoostingRegressor,mae,2987.8333603186215,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,median_ae,2365.575425674714,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,rmse,4115.3851661008275,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,r2,0.3311642171875232,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,bias,10.778158228112035,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,p90_ae,5767.197358377683,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,within_1000,0.1880742818454396,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,within_2000,0.41860914982106584,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,within_5000,0.8693780829867492,20678,ACTIONABLE
KM,TRAIN,HistGradientBoostingRegressor,negative_prediction_count,0.0,20678,RAW
KM,VALIDATION,HistGradientBoostingRegressor,mae,1482.7503951015653,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,median_ae,944.1249098540147,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,rmse,2248.5495060557846,1931,RAW
KM,VALIDATION,HistGradientBoostingRegressor,r2,0.1521220436396843,1931,RAW
