target,model_a,model_b,val_pred_corr
DAYS,HistGradientBoostingRegressor,ExtraTreesRegressor,0.9915244161784239
DAYS,HistGradientBoostingRegressor,RandomForestRegressor,0.9888439745273574
DAYS,HistGradientBoostingRegressor,CatBoostRegressor,0.9912782734191892
DAYS,HistGradientBoostingRegressor,LGBMRegressor,0.9945713204307253
DAYS,HistGradientBoostingRegressor,XGBRegressor,0.9942055725000757
DAYS,HistGradientBoostingRegressor,AutoGluon_best,0.98970384914028
DAYS,ExtraTreesRegressor,RandomForestRegressor,0.995905891618702
DAYS,ExtraTreesRegressor,CatBoostRegressor,0.9948968183618236
DAYS,ExtraTreesRegressor,LGBMRegressor,0.9924162456979237
DAYS,ExtraTreesRegressor,XGBRegressor,0.9889180406968792
DAYS,ExtraTreesRegressor,AutoGluon_best,0.9815720575455457
DAYS,RandomForestRegressor,CatBoostRegressor,0.991131314230534
DAYS,RandomForestRegressor,LGBMRegressor,0.990354800833385
DAYS,RandomForestRegressor,XGBRegressor,0.9869235699938657
DAYS,RandomForestRegressor,AutoGluon_best,0.9791350568293308
DAYS,CatBoostRegressor,LGBMRegressor,0.9920270021715705
DAYS,CatBoostRegressor,XGBRegressor,0.988970776093245
DAYS,CatBoostRegressor,AutoGluon_best,0.9818825189212452
DAYS,LGBMRegressor,XGBRegressor,0.9971476986883215
DAYS,LGBMRegressor,AutoGluon_best,0.9903806181536084
DAYS,XGBRegressor,AutoGluon_best,0.9907485965941378
KM,HistGradientBoostingRegressor,ExtraTreesRegressor,0.9704507546647212
KM,HistGradientBoostingRegressor,RandomForestRegressor,0.9803053433215132
KM,HistGradientBoostingRegressor,CatBoostRegressor,0.9838710287576936
KM,HistGradientBoostingRegressor,LGBMRegressor,0.9859050101441795
KM,HistGradientBoostingRegressor,XGBRegressor,0.9900189406914514
KM,HistGradientBoostingRegressor,AutoGluon_best,0.9706898352491168
KM,ExtraTreesRegressor,RandomForestRegressor,0.9886107793477065
KM,ExtraTreesRegressor,CatBoostRegressor,0.9772710300469063
KM,ExtraTreesRegressor,LGBMRegressor,0.9674748601270566
KM,ExtraTreesRegressor,XGBRegressor,0.9740176701409056
KM,ExtraTreesRegressor,AutoGluon_best,0.950151861351707
KM,RandomForestRegressor,CatBoostRegressor,0.9799590708679278
KM,RandomForestRegressor,LGBMRegressor,0.9772595405304646
KM,RandomForestRegressor,XGBRegressor,0.9825310262162139
KM,RandomForestRegressor,AutoGluon_best,0.96089749461416
KM,CatBoostRegressor,LGBMRegressor,0.9831326576502696
KM,CatBoostRegressor,XGBRegressor,0.9891311920342801
KM,CatBoostRegressor,AutoGluon_best,0.9669442107217057
KM,LGBMRegressor,XGBRegressor,0.992122319859321
KM,LGBMRegressor,AutoGluon_best,0.972847413951657
KM,XGBRegressor,AutoGluon_best,0.9728626955738843
