feature,coefficient,hazard_ratio
annual_km_baseline,0.536714510798275,1.710378191700307
recent_90d_km,0.4808335615511082,1.6174220612786583
riding_intensity_HIGH,0.3365465941720668,1.4001041044416231
category_SCRAMBLER,0.31230935936452797,1.3665773911566033
previous_service_count,-0.3020192817678502,0.7393238092820389
category_EV_SCOOTER,0.2996148992060044,1.349339075958376
brand_Mondial,0.27640830406361194,1.3183860565310241
riding_intensity_LOW,-0.2755113730421593,0.7591837978156109
policy_interval_km,-0.2698404937246353,0.7635012678682477
brand_Yamaha,-0.24018872870058847,0.7864794158208674
brand_Kuba,0.23242145919649346,1.261651351356656
category_TOURING,-0.22735774831798275,0.7966357362111276
historical_interval_days_median,-0.1764941012317933,0.8382037235100765
category_SUPERSPORT,0.16912006166403923,1.1842623148930418
category_ADVENTURE,-0.15956976167227305,0.8525104927643169
brand_RKS,-0.14657524055315765,0.8636607475776601
snapshot_year,-0.14579001190580917,0.8643391850676653
brand_KTM,-0.1309309579702447,0.8772783413775347
motorcycle_age_years,-0.12927303686390026,0.8787340060109707
category_ROADSTER,-0.10447901729585271,0.9007936982962557
usage_type_OFFROAD,-0.10104515353379816,0.9038922180365867
usage_type_COURIER,0.09777079381371319,1.1027100081850407
category_BIG_SCOOTER,-0.09264933862531613,0.9115130766898315
usage_type_TRACK,-0.08319245181301828,0.9201740410159804
brand_SYM,0.07501341519601776,1.0778986110087925
category_SCOOTER,-0.07292784109574486,0.929667911423313
brand_Bajaj,0.07090520870991475,1.073479464542066
category_infrequent_sklearn,-0.06507886700772772,0.9369935625847333
riding_intensity_MEDIUM,-0.06103522106324746,0.9407901035647266
brand_KYMCO,-0.0605869098256573,0.9412119648958904
usage_type_TOURING,0.05917975749113834,1.0609659401754086
historical_interval_km_median,-0.05007550222562597,0.9511576072732977
brand_Honda,-0.049307215319821525,0.9518886499976393
missingindicator_engine_displacement_cc,-0.049036778863204504,0.9521461102029823
brand_TVS,-0.04445193028791767,0.9565215787054115
days_since_previous_service,-0.043519739242591095,0.9574136552840418
category_CUB,-0.04155366546381266,0.9592978527958625
missingindicator_historical_interval_km_median,-0.03933902782472742,0.9614247041610179
missingindicator_days_since_previous_service,-0.03933902782472742,0.9614247041610179
missingindicator_km_since_previous_service,-0.03933902782472742,0.9614247041610179
missingindicator_historical_interval_days_median,-0.03933902782472742,0.9614247041610179
km_since_previous_service,0.030521543531790114,1.0309921010206322
category_NAKED,-0.017428080713223316,0.9827229098543999
usage_type_COMMUTER,0.017407604644101442,1.017559999988876
brand_Royal Enfield,0.013775723050072422,1.0138710455319413
snapshot_month,-0.011390395830792526,0.988674229127122
usage_type_SEASONAL,0.005401884943196437,1.0054165014306755
engine_displacement_cc,0.004741013122652621,1.004752269507226
usage_type_WEEKEND,0.004477564519246573,1.0044876037894928
brand_CFMOTO,0.00351687247724932,1.0035230639293147
policy_interval_days,0.0,1.0
