check,value,expected,status,notes
dataset_version,1.3.0,1.3 / 1.3.0,PASS,
split_unchanged,"{'TRAIN': 32203, 'VALIDATION': 4845, 'TEST': 4470}","{'TRAIN': 32203, 'VALIDATION': 4845, 'TEST': 4470}",PASS,
survival_rows,41518,41518,PASS,
duration_positive,0,0,PASS,
event_binary,"[0, 1]","[0, 1]",PASS,
no_missing_target,0,0,PASS,
input_hash,dfc4ee1b266850dd,stable,PASS,sha256[:16] of modeling table
no_target_leakage_in_features,0,0,PASS,145 features (119 num / 26 cat)
no_future_information,next_*/censor*/future_* excluded by substring guard,yes,PASS,
feature_selection_train_val_only,ridge-Cox IPCW-C on VALIDATION + parsimony tie-break,no TEST,PASS,
no_high_cardinality_identifier,ids excluded; OHE min_frequency=30,yes,PASS,
temporal_cv_no_leakage,"expanding window, authoritative admin-censored labels reused",yes,PASS,
xgb_cox_encoding_event_count,25442,25442,PASS,
xgb_cox_encoding_censored_count,6761,6761,PASS,
xgb_aft_encoding_observed_count,25442,25442,PASS,
xgb_aft_encoding_censored_count,6761,6761,PASS,
prob_monotonic_COX_BASELINE_val_raw,0,0,PASS,
prob_bounds_COX_BASELINE_val_raw,0,0,PASS,
prob_monotonic_COXNET_val_raw,0,0,PASS,
prob_bounds_COXNET_val_raw,0,0,PASS,
prob_monotonic_XGB_COX_val_raw,0,0,PASS,
prob_bounds_XGB_COX_val_raw,0,0,PASS,
prob_monotonic_XGB_AFT_val_raw,0,0,PASS,
prob_bounds_XGB_AFT_val_raw,0,0,PASS,
prob_monotonic_KM_REFERENCE_val_raw,0,0,PASS,
prob_bounds_KM_REFERENCE_val_raw,0,0,PASS,
prob_monotonic_XGB_COX_val_cal,0,0,PASS,
prob_bounds_XGB_COX_val_cal,0,0,PASS,
prob_monotonic_COXNET_val_cal,0,0,PASS,
prob_bounds_COXNET_val_cal,0,0,PASS,
prob_monotonic_champion_test,0,0,PASS,
prob_bounds_champion_test,0,0,PASS,
reproducibility,XGB refit seed 42 max|Δ|=0.00e+00,~0,PASS,
split_integrity,"{'TRAIN': 32203, 'VALIDATION': 4845, 'TEST': 4470}","{'TRAIN': 32203, 'VALIDATION': 4845, 'TEST': 4470}",PASS,
censored_rows_retained,13365,>0 kept natively,PASS,
train_only_preprocessing,ColumnTransformer fit on TRAIN only,yes,PASS,
test_not_used_for_selection,champion + calibration + ensemble frozen on VALIDATION,yes,PASS,
calibrator_fit_without_test,isotonic fit on VALIDATION only,yes,PASS,
probabilities_in_range,0,0,PASS,
probability_monotonicity,0,0,PASS,
grouped_bootstrap,"unit=motorcycle_id, 500 reps",yes,PASS,
event_contract,duration_days + event_observed unchanged,yes,PASS,
censor_contract,nb13 per-split admin censoring unchanged,yes,PASS,
