target,rank,feature,importance,method,importance_model
DAYS,1,num__engine_displacement_cc,4.713902318396391,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,2,num__historical_interval_days_median,3.9271636539494557,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,3,num__recent_90d_km,3.336797264229811,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,4,num__recent_60d_km,1.7618530133859611,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,5,num__previous_interval_days,1.212099356036716,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,6,num__annual_km_baseline,1.0161117037726033,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,7,num__policy_interval_km,0.35476406373742364,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,8,num__avg_km_per_active_day,0.09224755009898544,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,9,num__avg_km_per_day_since_previous_service,0.08984594585512884,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,10,num__previous_interval_km,0.04496036036809237,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,11,num__recent_km_per_day,0.04416418876765604,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,12,num__days_since_previous_service,0.04063109290393818,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,13,num__recent_30d_km,0.037429853409897795,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,14,num__historical_interval_km_median,0.035757430266157186,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,15,num__maintenance_overdue_km_pre_service,0.031647306001922004,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,16,num__recent_vs_long_term_usage_ratio,0.02522051296234107,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,17,cat__policy_group_ICE_125_LIQUID_BELT,0.024778097994534676,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,18,num__avg_service_interval_days,0.012782725401279116,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,19,num__days_observed,0.011418249921446133,VALIDATION_PERMUTATION_MAE,XGBRegressor
DAYS,20,num__snapshot_day_of_year,0.010512232841680458,VALIDATION_PERMUTATION_MAE,XGBRegressor
KM,1,policy_group,251.92629874075567,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,2,recent_30d_km,141.31575611409903,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,3,snapshot_day_of_year,66.16169243888834,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,4,previous_interval_km,25.36518338780047,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,5,recent_vs_long_term_usage_ratio,22.779278866011737,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,6,avg_ride_days_per_week,19.22606430502867,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,7,recent_90d_km,18.01669380218368,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,8,daily_active_probability,14.157328787445124,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,9,days_observed,12.43678516135833,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,10,engine_displacement_cc,10.592182072205958,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,11,historical_interval_km_median,9.314675813864426,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,12,cooling_type,7.306026252551192,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,13,snapshot_month,4.781401404220503,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,14,avg_km_per_day_since_previous_service,4.460302270703096,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,15,historical_interval_days_median,3.76448952664623,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,16,brand,3.713446630116948,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,17,snapshot_month_cos,3.0521229846809774,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,18,km_since_previous_service,2.9623120815684842,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,19,avg_service_interval_km,2.100805287495234,VALIDATION_PERMUTATION_MAE,LGBMRegressor
KM,20,annual_km_baseline,1.9836578152791162,VALIDATION_PERMUTATION_MAE,LGBMRegressor
