snapshot_id,motorcycle_id,actual_days,predicted_days,actual_km,predicted_km,split,dataset_version,days_model,km_model,days_error,days_abs_error,km_error,km_abs_error,usage_type,riding_intensity,brand,category,model_id,workshop_id,motorcycle_age_years,snapshot_odometer_km,service_sequence,previous_failure_count,annual_km_baseline,maintenance_overdue_days_pre_service,maintenance_overdue_km_pre_service,interval_days_cv,interval_km_cv,recent_90d_km,target
SNP_SVC039913,MC009665,6.809027777777778,153.36882579100808,48.0,2160.302116349882,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,146.5597980132303,146.5597980132303,2112.302116349882,2112.302116349882,COMMUTER,LOW,Honda,SCOOTER,HONDA_SH125I,WS0001,7.811088295687885,36177,1,0,4984,0.0,0.0,,,1038.0,DAYS
SNP_SVC028444,MC006890,174.93125,32.93320466114663,5560.0,1459.342902826039,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-141.9980453388534,141.9980453388534,-4100.657097173961,4100.657097173961,WEEKEND,LOW,Honda,SCRAMBLER,HONDA_CL250,WS0010,5.6125941136208075,43685,5,0,7206,7.0,116.19999999999709,0.26289455481586,0.35257148150981094,842.0,DAYS
SNP_SVC022028,MC005389,75.76319444444445,217.0766834660416,1224.0,2490.357928770769,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,141.31348902159715,141.31348902159715,1266.357928770769,1266.357928770769,COMMUTER,LOW,SYM,SCOOTER,SYM_JETX125,WS0007,4.706365503080082,17966,2,0,3606,14.0,0.0,,,865.0,DAYS
SNP_SVC026626,MC006408,2.7847222222222223,139.9962090845857,105.0,5190.4468767728995,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,137.21148686236347,137.21148686236347,5085.4468767728995,5085.4468767728995,COURIER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0004,7.112936344969199,61313,2,0,10713,17.0,446.3000000000029,,,2459.0,DAYS
SNP_SVC011893,MC002889,1.6909722222222223,138.2002430426116,110.0,6317.503451705412,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,136.50927082038936,136.50927082038936,6207.503451705412,6207.503451705412,COMMUTER,HIGH,Honda,SCOOTER,HONDA_PCX125,WS0007,5.3114305270362765,110217,3,0,16759,21.0,1203.800000000003,0.5074120022440728,0.5692657124489168,4151.0,DAYS
SNP_SVC019195,MC004698,17.820138888888888,151.08161705013953,422.0,4947.287818570776,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,133.26147816125064,133.26147816125064,4525.287818570776,4525.287818570776,COURIER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0006,4.783025325119781,34085,1,0,8924,0.0,0.0,,,1875.0,DAYS
SNP_SVC005176,MC001254,11.838888888888889,136.8298262123964,503.0,5130.788196998708,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,124.99093732350751,124.99093732350751,4627.788196998708,4627.788196998708,COURIER,MEDIUM,Honda,SCOOTER,HONDA_ACTIVA125,WS0007,7.838466803559206,85491,6,0,12528,4.0,147.6999999999971,0.38843492163703713,0.36144725774739606,3430.0,DAYS
SNP_SVC037410,MC008997,191.9361111111111,67.69460623584258,17259.0,5588.649087246047,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-124.24150487526852,124.24150487526852,-11670.350912753953,11670.350912753953,COMMUTER,HIGH,Honda,SCOOTER,HONDA_DIO110,WS0003,3.696098562628337,103745,10,1,32364,2.0,221.5,0.7049392183421658,0.6549222329889819,8046.0,DAYS
SNP_SVC003585,MC000841,202.91041666666666,78.95249174275058,11707.0,4228.968399308253,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-123.95792492391608,123.95792492391608,-7478.031600691747,7478.031600691747,COMMUTER,HIGH,Mondial,CUB,MONDIAL_SFC_MINI_50EC,WS0001,7.485284052019165,84295,8,0,19069,16.0,934.0,0.6131468472976,0.638951769857085,4698.0,DAYS
SNP_SVC000584,MC000125,4.940972222222222,123.83928296462395,194.0,4951.752495030002,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,118.89831074240172,118.89831074240172,4757.752495030002,4757.752495030002,COMMUTER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0001,1.103353867214237,13593,1,0,11855,0.0,0.0,,,2519.0,DAYS
SNP_SVC028438,MC006889,180.0625,61.63712745613052,13668.0,4974.765071472606,TEST,1.2.0,ENSEMBLE__INVERSE_VALIDATION_MAE_BLEND,GradientBoostingRegressor__RAW,-118.42537254386949,118.42537254386949,-8693.234928527394,8693.234928527394,COMMUTER,HIGH,Mondial,CUB,MONDIAL_50_UAG,WS0007,7.394934976043806,125824,14,0,26549,4.0,297.3999999999942,0.4786029986607862,0.46738137124263357,6955.0,DAYS
