task_code,canonical_name_tr,canonical_name_en,component_group,action_type,is_periodic,is_wear_based,is_fault_based,requires_part,applicable_powertrain,required_final_drive,required_cooling_type,required_transmission_type,part_category_hint,can_be_next_service_target,notes,taxonomy_version
ENGINE_OIL_CHECK,Motor Yağı Seviye Kontrolü,Engine Oil Level Check,ENGINE,INSPECT,1,0,0,0,ICE,,,,ENGINE_OIL,1,Yağ seviyesi ve genel durumu kontrol edilir.,1.2.0
ENGINE_OIL_CHANGE,Motor Yağı Değişimi,Engine Oil Change,ENGINE,REPLACE,1,0,0,1,ICE,,,,ENGINE_OIL,1,Yağ miktarı model teknik özelliğinden/politikadan türetilmelidir.,1.2.0
OIL_FILTER_CHANGE,Yağ Filtresi Değişimi,Oil Filter Replacement,ENGINE,REPLACE,1,0,0,1,ICE,,,,OIL_FILTER,1,Yalnızca yağ filtresi bulunan uyumlu modellerde.,1.2.0
OIL_LEAK_INSPECTION,Motor Yağ Kaçağı Kontrolü,Engine Oil Leak Inspection,ENGINE,INSPECT,0,0,1,0,ICE,,,,,1,Arıza/şikâyet veya genel kontrol sonucu tetiklenebilir.,1.2.0
ENGINE_COMPRESSION_TEST,Motor Kompresyon Testi,Engine Compression Test,ENGINE,DIAGNOSE,0,0,1,0,ICE,,,,,1,"Performans düşüşü, zor çalışma veya motor arızası şüphesinde.",1.2.0
VALVE_CLEARANCE_INSPECTION,Supap Boşluğu Kontrolü,Valve Clearance Inspection,ENGINE,INSPECT,1,1,0,0,ICE,,,,,1,Model bakım politikasına bağlı periyodik kontrol.,1.2.0
VALVE_CLEARANCE_ADJUST,Supap Boşluğu Ayarı,Valve Clearance Adjustment,ENGINE,ADJUST,0,1,1,0,ICE,,,,,1,Kontrol sonucu tolerans dışıysa uygulanır.,1.2.0
CAM_CHAIN_INSPECTION,Eksantrik Zinciri Kontrolü,Cam Chain Inspection,ENGINE,INSPECT,0,1,1,0,ICE,,,,,1,Motor yapısına göre uygulanır.,1.2.0
CAM_CHAIN_TENSIONER_SERVICE,Eksantrik Zincir Gergisi Servisi,Cam Chain Tensioner Service,ENGINE,REPAIR,0,1,1,1,ICE,,,,CAM_CHAIN_TENSIONER,1,Gürültü/aşınma bulgusunda uygulanır.,1.2.0
AIR_FILTER_INSPECTION,Hava Filtresi Kontrolü,Air Filter Inspection,INTAKE,INSPECT,1,1,0,0,ICE,,,,AIR_FILTER,1,Tozlu kullanım profillerinde daha sık tetiklenebilir.,1.2.0
AIR_FILTER_CLEAN,Hava Filtresi Temizliği,Air Filter Cleaning,INTAKE,CLEAN,1,1,0,0,ICE,,,,AIR_FILTER,1,Yalnızca temizlenebilir filtre tiplerinde.,1.2.0
AIR_FILTER_CHANGE,Hava Filtresi Değişimi,Air Filter Replacement,INTAKE,REPLACE,1,1,0,1,ICE,,,,AIR_FILTER,1,Parça uyumluluğu modelden gelmelidir.,1.2.0
THROTTLE_BODY_CLEAN,Gaz Kelebeği Temizliği,Throttle Body Cleaning,INTAKE,CLEAN,0,1,1,0,ICE,,,,,1,Rölanti/tepki sorunları veya kirlenme durumunda.,1.2.0
INTAKE_LEAK_INSPECTION,Emme Sistemi Kaçak Kontrolü,Intake Leak Inspection,INTAKE,INSPECT,0,0,1,0,ICE,,,,,1,Vakum kaçağı veya düzensiz çalışma şüphesinde.,1.2.0
SPARK_PLUG_INSPECTION,Buji Kontrolü,Spark Plug Inspection,IGNITION,INSPECT,1,1,0,0,ICE,,,,SPARK_PLUG,1,Buji sayısı model teknik özelliklerinden türetilir.,1.2.0
SPARK_PLUG_CHANGE,Buji Değişimi,Spark Plug Replacement,IGNITION,REPLACE,1,1,0,1,ICE,,,,SPARK_PLUG,1,EV motosikletlere uygulanmaz.,1.2.0
FUEL_FILTER_INSPECTION,Yakıt Filtresi Kontrolü,Fuel Filter Inspection,FUEL,INSPECT,1,1,0,0,ICE,,,,FUEL_FILTER,1,Sisteme/model yapısına göre uygulanır.,1.2.0
FUEL_FILTER_CHANGE,Yakıt Filtresi Değişimi,Fuel Filter Replacement,FUEL,REPLACE,1,1,0,1,ICE,,,,FUEL_FILTER,1,Uyumlu sistemlerde.,1.2.0
FUEL_INJECTOR_CLEAN,Enjektör Temizliği,Fuel Injector Cleaning,FUEL,CLEAN,0,1,1,0,ICE,,,,,1,Yakıt püskürtme problemi/performans şikâyetinde.,1.2.0
FUEL_SYSTEM_DIAGNOSTIC,Yakıt Sistemi Arıza Teşhisi,Fuel System Diagnostic,FUEL,DIAGNOSE,0,0,1,0,ICE,,,,,1,Arıza kodu veya çalışma problemiyle tetiklenir.,1.2.0
COOLANT_LEVEL_CHECK,Soğutma Sıvısı Seviye Kontrolü,Coolant Level Check,COOLING,INSPECT,1,0,0,0,ICE,,LIQUID,,COOLANT,1,Yalnızca sıvı soğutmalı motosikletlerde.,1.2.0
COOLANT_CHANGE,Soğutma Sıvısı Değişimi,Coolant Replacement,COOLING,FLUSH,1,0,0,1,ICE,,LIQUID,,COOLANT,1,Sıvı soğutmalı sistemlerde zaman bazlı bakım olabilir.,1.2.0
COOLING_SYSTEM_INSPECTION,Soğutma Sistemi Kontrolü,Cooling System Inspection,COOLING,INSPECT,1,1,1,0,ICE,,LIQUID,,,1,"Hortum, radyatör ve kaçak kontrollerini kapsar.",1.2.0
RADIATOR_CLEAN,Radyatör Temizliği,Radiator Cleaning,COOLING,CLEAN,0,1,0,0,ICE,,LIQUID,,,1,Kirlenme ve kullanım ortamına göre.,1.2.0
THERMOSTAT_DIAGNOSTIC,Termostat Kontrolü,Thermostat Diagnostic,COOLING,DIAGNOSE,0,0,1,0,ICE,,LIQUID,,THERMOSTAT,1,Hararet/ısı yönetimi sorunlarında.,1.2.0
CLUTCH_FREE_PLAY_CHECK,Debriyaj Boşluğu Kontrolü,Clutch Free Play Check,TRANSMISSION,INSPECT,1,1,0,0,ICE,,,MANUAL,,1,Manuel debriyajlı motosikletlerde.,1.2.0
CLUTCH_ADJUST,Debriyaj Ayarı,Clutch Adjustment,TRANSMISSION,ADJUST,0,1,1,0,ICE,,,MANUAL,,1,Kaçırma/kavrama noktası problemi veya kontrol sonucunda.,1.2.0
CLUTCH_PLATE_INSPECTION,Debriyaj Balata Kontrolü,Clutch Plate Inspection,TRANSMISSION,INSPECT,0,1,1,0,ICE,,,MANUAL,CLUTCH_PLATE,1,Aşınma/kaçırma şüphesinde.,1.2.0
CLUTCH_PLATE_CHANGE,Debriyaj Balata Değişimi,Clutch Plate Replacement,TRANSMISSION,REPLACE,0,1,1,1,ICE,,,MANUAL,CLUTCH_PLATE,1,Kontrol sonucu aşınmışsa.,1.2.0
GEARBOX_OIL_CHANGE,Şanzıman Yağı Değişimi,Gearbox Oil Change,TRANSMISSION,REPLACE,1,0,0,1,BOTH,,,,GEAR_OIL,1,Ayrı şanzıman yağı kullanan sistemlerde; model politikasıyla filtrelenmeli.,1.2.0
CVT_CASE_INSPECTION,CVT Kutu Kontrolü,CVT Case Inspection,TRANSMISSION,INSPECT,1,1,0,0,ICE,V_BELT,,CVT,,1,Scooter CVT sistemlerinde.,1.2.0
CVT_BELT_INSPECTION,CVT Kayışı Kontrolü,CVT Belt Inspection,TRANSMISSION,INSPECT,1,1,0,0,ICE,V_BELT,,CVT,CVT_BELT,1,CVT kayış aşınması/çatlak kontrolü.,1.2.0
CVT_BELT_CHANGE,CVT Kayışı Değişimi,CVT Belt Replacement,TRANSMISSION,REPLACE,1,1,0,1,ICE,V_BELT,,CVT,CVT_BELT,1,CVT kayışlı modellerde.,1.2.0
CVT_ROLLER_INSPECTION,Varyatör Ruloları Kontrolü,CVT Roller Inspection,TRANSMISSION,INSPECT,1,1,0,0,ICE,V_BELT,,CVT,CVT_ROLLER,1,Scooter varyatör sistemlerinde.,1.2.0
CVT_ROLLER_CHANGE,Varyatör Ruloları Değişimi,CVT Roller Replacement,TRANSMISSION,REPLACE,0,1,0,1,ICE,V_BELT,,CVT,CVT_ROLLER,1,Aşınmaya bağlı değişim.,1.2.0
FINAL_GEAR_OIL_CHANGE,Son Dişli Yağı Değişimi,Final Gear Oil Change,TRANSMISSION,REPLACE,1,0,0,1,ICE,V_BELT,,CVT,FINAL_GEAR_OIL,1,Bazı scooterlarda ayrı final dişli yağı bulunur; model politikası şart.,1.2.0
CHAIN_INSPECTION,Zincir Kontrolü,Drive Chain Inspection,FINAL_DRIVE,INSPECT,1,1,0,0,BOTH,CHAIN,,,CHAIN,1,Zincir aktarmalı motosikletlerde.,1.2.0
CHAIN_CLEAN,Zincir Temizliği,Drive Chain Cleaning,FINAL_DRIVE,CLEAN,1,1,0,0,BOTH,CHAIN,,,CHAIN_CLEANER,1,Kullanım koşullarına göre sıklaşabilir.,1.2.0
CHAIN_LUBRICATE,Zincir Yağlama,Drive Chain Lubrication,FINAL_DRIVE,LUBRICATE,1,1,0,1,BOTH,CHAIN,,,CHAIN_LUBE,1,Zincir aktarmalı motosikletlerde.,1.2.0
CHAIN_ADJUST,Zincir Gerginlik Ayarı,Drive Chain Adjustment,FINAL_DRIVE,ADJUST,1,1,0,0,BOTH,CHAIN,,,,1,Zincir boşluğu tolerans dışıysa.,1.2.0
CHAIN_SPROCKET_REPLACE,Zincir-Dişli Seti Değişimi,Chain and Sprocket Set Replacement,FINAL_DRIVE,REPLACE,0,1,0,1,BOTH,CHAIN,,,CHAIN_SPROCKET_KIT,1,Zincir ve dişli seti aşınmasına bağlı.,1.2.0
