service_id,subtotal_before_discount,discount_rate,tax_rate,pricing_currency,cost_calculation_basis,cost_rule_version,workshop_id,customer_id,motorcycle_id,appointment_id,service_type_code,primary_trigger_task,trigger_due_km,trigger_due_date,service_delay_days,arrival_mode,received_at,odometer_km,mileage_source,mileage_quality_flag,is_mileage_estimated,status,estimated_delivery_at,completed_at,delivered_at,customer_complaint,technician_notes,labor_minutes_pre_task,labor_total,parts_total,discount_total,tax_total,grand_total,is_breakdown,is_warranty,capture_origin,data_origin,generator_version,random_seed,scenario_id,maintenance_overdue_days_pre_service,maintenance_overdue_km_pre_service,overdue_maintenance_days_at_failure,overdue_maintenance_km_at_failure,previous_failure_count,failure_hazard_score,primary_fault_component,failure_severity
SVC000001,2830.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0003,C000001,MC000001,,PERIODIC,GENERAL_SAFETY_INSPECTION,,,0.0,WALK_IN,2024-07-03 16:15:00,84478,MANUAL,VALID,0,DELIVERED,2024-07-03 16:15:00,2024-07-03 16:56:00,2024-07-04 16:08:00,Mekanik sorun şüphesiyle genel kontrol istendi.,,150,730.0,2100.0,0.0,566.0,3396.0,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,0.0,0.0,,,0,0.0641473,,
SVC000002,2010.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0003,C000001,MC000001,,PERIODIC,ENGINE_OIL_CHANGE,105139.4,2026-05-15,2.0,WALK_IN,2025-08-11 09:26:00,105231,MANUAL,VALID,0,DELIVERED,2025-08-11 09:26:00,2025-08-11 17:11:00,2025-08-11 14:39:00,Genel bakım ve kontroller talep edildi.,,56,1070.0,940.0,0.0,402.0,2412.0,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,0.0,0.0,,,0,0.0782282,,
SVC000003,2450.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0003,C000001,MC000001,APT000001,PERIODIC,ENGINE_OIL_CHANGE,115760.1,2026-11-24,28.0,APPOINTMENT,2026-03-25 11:19:00,117670,ESTIMATED,ESTIMATED,1,DELIVERED,2026-03-25 11:19:00,2026-03-25 09:12:00,2026-03-26 09:36:00,Periyodik bakım zamanı geldi.,,66,1880.0,570.0,0.0,490.0,2940.0,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,2.0,91.60000000000582,,,0,0.0776454,,
SVC000004,1310.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0003,C000001,MC000001,APT000002,REPAIR,FAULT_EVENT,122170.2,2027-03-25,,APPOINTMENT,2026-06-22 15:20:00,122774,MANUAL,VALID,0,DELIVERED,2026-06-24 15:20:00,2026-06-24 12:11:00,2026-06-24 15:01:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,135,1310.0,0.0,0.0,262.0,1572.0,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,28.0,1909.8999999999942,28.0,1909.8999999999942,0,0.0950354,TRANSMISSION,LOW
SVC000005,2015.0,0.05,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0008,C000002,MC000002,APT000003,PERIODIC,GENERAL_SAFETY_INSPECTION,,,0.0,APPOINTMENT,2023-09-19 12:40:00,30196,MANUAL,VALID,0,DELIVERED,2023-09-19 12:40:00,2023-09-19 13:22:00,2023-09-19 16:01:00,Kullanıcı arıza kontrolü talep etti.,,296,1390.0,625.0,100.75,382.85,2297.1,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,0.0,0.0,,,0,0.0348752,,
SVC000006,668.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0008,C000002,MC000002,,PERIODIC,ENGINE_OIL_CHANGE,32157.2,2024-04-12,0.0,WALK_IN,2023-11-13 14:24:00,32227,MANUAL,VALID,0,DELIVERED,2023-11-13 14:24:00,2023-11-13 11:11:00,2023-11-13 09:39:00,Genel bakım ve kontroller talep edildi.,,43,500.0,168.0,0.0,133.6,801.6,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,0.0,0.0,,,0,0.0320215,,
SVC000007,1426.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0008,C000002,MC000002,,PERIODIC,ENGINE_OIL_CHANGE,50793.7,2025-10-19,12.0,WALK_IN,2025-04-21 12:39:00,51265,MANUAL,VALID,0,DELIVERED,2025-04-21 12:39:00,2025-04-21 09:39:00,2025-04-21 08:53:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,156,1090.0,336.0,0.0,285.2,1711.2,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,0.0,69.79999999999927,,,0,0.0430674,,
SVC000008,1366.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0008,C000002,MC000002,APT000004,PERIODIC,ENGINE_OIL_CHANGE,57264.5,2026-04-21,16.0,APPOINTMENT,2025-10-17 15:23:00,57898,MANUAL,VALID,0,DELIVERED,2025-10-17 15:23:00,2025-10-17 16:13:00,2025-10-17 11:29:00,Periyodik bakım zamanı geldi.,,50,1030.0,336.0,0.0,273.2,1639.2,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,12.0,471.3000000000029,,,0,0.046918,,
SVC000009,1322.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0008,C000003,MC000003,APT000005,PERIODIC,ENGINE_OIL_CHANGE,37405.5,2024-08-29,0.0,APPOINTMENT,2023-12-20 16:49:00,37424,MANUAL,VALID,0,DELIVERED,2023-12-20 16:49:00,2023-12-20 10:41:00,2023-12-20 09:15:00,Bakım uyarısı sonrası servis randevusu oluşturuldu.,,130,1170.0,152.0,0.0,264.40000000000003,1586.4,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,0.0,0.0,,,0,0.0308493,,
SVC000010,2878.0,0.0,0.2,TRY,SYNTHETIC_SERVICE_TASKS_X_PART_PRICES,1.2.0,WS0008,C000003,MC000003,APT000006,PERIODIC,ENGINE_OIL_CHANGE,48057.3,2025-10-09,18.0,APPOINTMENT,2025-02-21 09:02:00,48421,MANUAL,VALID,0,DELIVERED,2025-02-21 09:02:00,2025-02-21 11:57:00,2025-02-21 08:37:00,Kilometre bakımı için servise getirildi.,,79,1670.0,1208.0,0.0,575.6,3453.6,0,0,RIDEBASE_WORKSHOP,SYNTHETIC,1.2.0,42,HAZARD_EVENT_SIM_V1_2,0.0,18.5,,,0,0.043917,,
