brand,motorcycle_count,service_count,repair_count,breakdown_count,failure_count,expected_failures,raw_failure_rate,observed_expected_ratio,adjusted_failure_rate,observed_km,failure_events_per_10000_km
KTM,42,123,8,2,10,4.906845012680462,0.08130081300813008,1.4521006749420846,0.07694545702761661,1253445,0.07978012597281892
Yamaha,656,3697,183,30,213,210.9835980662201,0.05761428185014877,1.0092775408419097,0.05348067319842482,37648992,0.05657521986246006
RKS,341,2011,89,26,115,108.02692473153701,0.05718547986076579,1.060961121895103,0.05621933783345119,17865143,0.06437116120481096
Mondial,1383,10091,464,101,565,568.0730467269491,0.05599048657219304,0.994650283850543,0.05270558852717363,62139352,0.09092466879924978
Honda,3100,12152,512,148,660,649.3994484539983,0.054312047399605004,1.0161653374315542,0.05384565109950912,127235899,0.05187215284265017
Kuba,805,6932,300,64,364,391.45994532522536,0.052510098095787654,0.9309737075168242,0.04933142628587633,42805087,0.08503662193234182
KYMCO,124,334,15,2,17,13.431551368853336,0.05089820359281437,1.1803135677668823,0.06254371234373383,3473275,0.04894515982754029
SYM,214,691,22,9,31,36.10456789472309,0.04486251808972504,0.8797885887117641,0.046619174699308284,6894649,0.044962404902700634
TVS,970,3228,112,29,141,149.04814777806814,0.04368029739776952,0.948212395238397,0.05024488822979126,32247753,0.043723976675212065
CFMOTO,354,954,29,9,38,37.71760118217654,0.039832285115303984,1.0064070461546812,0.05332856836890743,8023218,0.047362542062299694
Bajaj,420,1241,42,2,44,50.42207829301412,0.035455278001611606,0.8868969417793173,0.0469958396819331,10010474,0.043953962619552284
Royal Enfield,33,64,2,0,2,2.05820659504533,0.03125,0.9930845520536665,0.05262262186324164,569081,0.03514438190696931
