task_code,canonical_name_tr,total_offered,declined_count,declined_rate
WHEEL_BEARING_CHANGE,Teker Rulmanı Değişimi,414,10,0.024154589371980676
CLUTCH_PLATE_CHANGE,Debriyaj Balata Değişimi,111,2,0.018018018018018018
THROTTLE_BODY_CLEAN,Gaz Kelebeği Temizliği,383,6,0.015665796344647518
FUEL_SYSTEM_DIAGNOSTIC,Yakıt Sistemi Arıza Teşhisi,204,3,0.014705882352941176
REAR_BRAKE_PAD_INSPECTION,Arka Fren Balatası Kontrolü,1470,20,0.013605442176870748
STEERING_BEARING_CHANGE,Gidon Rulmanı Değişimi,387,5,0.012919896640826873
REAR_TIRE_INSPECTION,Arka Lastik Kontrolü,1706,19,0.011137162954279016
FRONT_BRAKE_PAD_INSPECTION,Ön Fren Balatası Kontrolü,3814,37,0.009701101206082852
BRAKE_DISC_INSPECTION,Fren Diski Kontrolü,210,2,0.009523809523809525
SPARK_PLUG_CHANGE,Buji Değişimi,2101,19,0.009043312708234174
BATTERY_TEST,Akü Testi,16335,146,0.008937863483318029
CLUTCH_ADJUST,Debriyaj Ayarı,112,1,0.008928571428571428
VALVE_CLEARANCE_INSPECTION,Supap Boşluğu Kontrolü,3493,31,0.008874892642427712
CVT_ROLLER_INSPECTION,Varyatör Ruloları Kontrolü,3758,33,0.008781266631186802
FORK_INSPECTION,Ön Amortisör Kontrolü,5195,45,0.008662175168431183
BRAKE_FLUID_CHECK,Fren Hidroliği Kontrolü,14329,123,0.008583990508758462
CHAIN_CLEAN,Zincir Temizliği,10988,91,0.008281761922096833
REAR_TIRE_CHANGE,Arka Lastik Değişimi,365,3,0.00821917808219178
CVT_BELT_INSPECTION,CVT Kayışı Kontrolü,5111,42,0.008217569947172765
CVT_CASE_INSPECTION,CVT Kutu Kontrolü,5153,41,0.007956530176596158
CHAIN_LUBRICATE,Zincir Yağlama,8888,70,0.007875787578757875
AIR_FILTER_INSPECTION,Hava Filtresi Kontrolü,16224,123,0.007581360946745562
COOLANT_LEVEL_CHECK,Soğutma Sıvısı Seviye Kontrolü,2673,20,0.0074822297044519264
COOLANT_CHANGE,Soğutma Sıvısı Değişimi,939,7,0.007454739084132056
CHAIN_INSPECTION,Zincir Kontrolü,5421,40,0.007378712414683638
FORK_SEAL_CHANGE,Amortisör Keçesi Değişimi,412,3,0.007281553398058253
ECU_DIAGNOSTIC_SCAN,ECU Arıza Taraması,832,6,0.007211538461538462
BRAKE_FLUID_CHANGE,Fren Hidroliği Değişimi,5145,36,0.006997084548104956
WHEEL_BALANCE,Teker Balans Ayarı,435,3,0.006896551724137931
AIR_FILTER_CHANGE,Hava Filtresi Değişimi,13091,89,0.006798563898861814
FRONT_TIRE_INSPECTION,Ön Lastik Kontrolü,2842,19,0.006685432793807178
GENERAL_SAFETY_INSPECTION,Genel Güvenlik Kontrolü,13246,85,0.006417031556696361
FINAL_GEAR_OIL_CHANGE,Son Dişli Yağı Değişimi,2225,14,0.006292134831460674
WHEEL_BEARING_INSPECTION,Teker Rulmanı Kontrolü,3031,19,0.006268558231606731
CVT_BELT_CHANGE,CVT Kayışı Değişimi,2697,16,0.005932517612161661
SPARK_PLUG_INSPECTION,Buji Kontrolü,2877,16,0.005561348627042058
VALVE_CLEARANCE_ADJUST,Supap Boşluğu Ayarı,387,2,0.00516795865633075
STEERING_BEARING_INSPECTION,Gidon Rulmanı Kontrolü,1365,7,0.005128205128205128
INTAKE_LEAK_INSPECTION,Emme Sistemi Kaçak Kontrolü,211,1,0.004739336492890996
OIL_LEAK_INSPECTION,Motor Yağ Kaçağı Kontrolü,212,1,0.0047169811320754715
CHARGING_SYSTEM_TEST,Şarj Sistemi Testi,217,1,0.004608294930875576
ENGINE_COMPRESSION_TEST,Motor Kompresyon Testi,220,1,0.004545454545454545
ENGINE_OIL_CHANGE,Motor Yağı Değişimi,38882,148,0.003806388560259246
AIR_FILTER_CLEAN,Hava Filtresi Temizliği,269,1,0.0037174721189591076
CLUTCH_FREE_PLAY_CHECK,Debriyaj Boşluğu Kontrolü,1148,4,0.003484320557491289
BRAKE_SYSTEM_BLEED,Fren Sisteminin Havasını Alma,373,1,0.002680965147453083
FUEL_INJECTOR_CLEAN,Enjektör Temizliği,373,1,0.002680965147453083
BRAKE_DISC_CHANGE,Fren Diski Değişimi,391,1,0.0025575447570332483
BATTERY_CHANGE,Akü Değişimi,399,1,0.002506265664160401
THERMOSTAT_DIAGNOSTIC,Termostat Kontrolü,81,0,0.0
ABS_DIAGNOSTIC,ABS Sistem Teşhisi,207,0,0.0
OIL_FILTER_CHANGE,Yağ Filtresi Değişimi,67,0,0.0
FUEL_FILTER_INSPECTION,Yakıt Filtresi Kontrolü,14,0,0.0
FUEL_FILTER_CHANGE,Yakıt Filtresi Değişimi,23,0,0.0
FRONT_TIRE_CHANGE,Ön Lastik Değişimi,192,0,0.0
EV_TRACTION_BATTERY_HEALTH_CHECK,Çekiş Bataryası Sağlık Kontrolü,19,0,0.0
EV_HIGH_VOLTAGE_SYSTEM_INSPECTION,Yüksek Voltaj Sistemi Kontrolü,30,0,0.0
EV_CHARGING_PORT_INSPECTION,Şarj Soketi Kontrolü,28,0,0.0
DRIVE_BELT_INSPECTION,Tahrik Kayışı Kontrolü,2,0,0.0
CLUTCH_PLATE_INSPECTION,Debriyaj Balata Kontrolü,71,0,0.0
EV_DRIVE_MOTOR_DIAGNOSTIC,Elektrik Motoru Teşhisi,2,0,0.0
