brand,model_id,model_name,motorcycle_count,service_count,failure_count,failure_rate,expected_failures,observed_expected_ratio
Honda,HONDA_MONKEY,Monkey,20,37,7,0.1891891891891892,4.193211039746385,1.6693650602482857
CFMOTO,CFMOTO_250SR,250SR,76,155,27,0.17419354838709677,28.076103021112495,0.9616719236176298
TVS,TVS_APACHE_RTR200_4V,Apache RTR 200 4V FI,81,178,29,0.16292134831460675,31.315184641658995,0.926068306217838
Honda,HONDA_CL250,CL250,62,164,24,0.14634146341463414,22.148795982102445,1.0835803453782968
CFMOTO,CFMOTO_250NK,250NK,156,357,48,0.13445378151260504,45.43941269359253,1.0563516813844855
Yamaha,YAMAHA_XSR125,XSR125,74,151,20,0.13245033112582782,21.586934921143516,0.9264863248561898
CFMOTO,CFMOTO_450CLC,450 CL-C,17,23,3,0.13043478260869565,2.4918849083123638,1.2039079292918704
Honda,HONDA_ADV350,ADV350,118,222,25,0.11261261261261261,18.50991191450051,1.3506277131667606
CFMOTO,CFMOTO_250CLX,250CL-X,42,72,8,0.1111111111111111,6.887289445911606,1.1615600103388881
KYMCO,KYMCO_XTOWN_CT250,X-Town CT 250,83,198,19,0.09595959595959595,17.412737342777206,1.0911552632981736
CFMOTO,CFMOTO_450NK,450NK,62,143,13,0.09090909090909091,12.655131149240061,1.0272513059479946
Yamaha,YAMAHA_XMAX250,XMAX 250,222,532,47,0.08834586466165413,44.32045426472699,1.0604584447458059
Honda,HONDA_SH125I,SH125i,194,403,33,0.08188585607940446,32.01012923592101,1.0309236728406637
Bajaj,BAJAJ_NS125,Pulsar NS125,214,452,37,0.08185840707964602,30.84605990545483,1.1995048999258704
SYM,SYM_JETX125,Jet X 125 TCS ABS,272,691,56,0.08104196816208394,55.55790836724372,1.0079573123925762
KYMCO,KYMCO_DOWNTOWN250I,Downtown 250i,73,136,11,0.08088235294117647,12.079847545539074,0.910607518723376
TVS,TVS_RAIDER125,Raider 125,210,410,33,0.08048780487804878,35.490529812092035,0.9298255104874912
Honda,HONDA_PCX125,PCX125,1273,3368,255,0.0757125890736342,233.27125316029077,1.0931479834970428
Honda,HONDA_CB125F,CB125F,345,819,59,0.07203907203907203,58.06872347888428,1.0160374891219086
TVS,TVS_JUPITER125,Jupiter 125,857,2640,181,0.06856060606060606,175.9169307934673,1.0288947128829824
Bajaj,BAJAJ_DOMINAR250,Dominar D250,62,126,8,0.06349206349206349,8.117467558530764,0.9855290387446863
Mondial,MONDIAL_EXON50,Exon 50,97,299,18,0.06020066889632107,15.25369038556158,1.1800423074692763
CFMOTO,CFMOTO_650NK,650NK,31,68,4,0.058823529411764705,3.989438402254166,1.002647389602473
CFMOTO,CFMOTO_250DUAL,250 DUAL,59,136,8,0.058823529411764705,11.231295064670539,0.7122954168629239
Honda,HONDA_ACTIVA125,Activa 125,1051,3333,193,0.057905790579057904,207.05046464503,0.9321399028535469
KTM,KTM_390_DUKE,390 Duke,56,123,7,0.056910569105691054,7.098425090661699,0.9861342354952535
Bajaj,BAJAJ_NS200,Pulsar NS200 UG2,251,663,37,0.05580693815987934,43.912165158985275,0.8425911103686284
Honda,HONDA_EM1E,EM1 e:,36,56,3,0.05357142857142857,4.4283463647774814,0.6774537836203663
Honda,HONDA_FORZA250,Forza 250,223,619,32,0.051696284329563816,35.970870084737356,0.8896087285244118
Yamaha,YAMAHA_NMAX125,NMAX 125,463,3014,146,0.04844061048440611,146.77800002810358,0.9946994779329694
Royal Enfield,ROYALENFIELD_HUNTER350,Hunter 350,41,64,3,0.046875,3.5824530170619346,0.8374150297888289
RKS,RKS_NEW_LIGHT_PRO,New Light Pro,386,2011,94,0.046742913973147684,93.85157775293123,1.0015814571328732
Honda,HONDA_DIO110,Dio 110,450,3131,123,0.03928457361865219,138.1574950201101,0.8902882900569108
Kuba,KUBA_CG50_PRO,CG50 Pro,510,2407,88,0.036560033236393855,99.98929935591147,0.8800941757453904
Mondial,MONDIAL_TURISMO50I,Turismo 50i,72,277,10,0.036101083032490974,13.832376543523413,0.7229415689006958
Mondial,MONDIAL_50_UAG,50 UAG,421,2769,98,0.03539183820873962,91.94144442267492,1.0658958059161283
Mondial,MONDIAL_WING50I,Wing 50i,652,3512,119,0.03388382687927107,123.67062012547599,0.9622333896220687
Kuba,KUBA_BLUEBERRY50,Blueberry 50,370,4525,134,0.029613259668508286,122.27197932507806,1.0959174844445863
Mondial,MONDIAL_SFC_MINI_50EC,SFC MINI 50ec,318,3234,92,0.02844774273345702,92.59415803020276,0.993583201760861
