motorcycle_id,customer_id,workshop_id,model_id,brand,model_name,category,powertrain_type,production_year,production_year_basis,first_registration_date,ownership_start_date,initial_mileage_km,initial_mileage_basis,observation_start_date,observation_end_date,vin_synthetic,plate_synthetic,is_active,data_origin,generator_version,random_seed,model_assignment_basis,notes,brand_risk_residual,model_risk_residual,chronic_risk_tier,warranty_months,warranty_km_limit
MC000001,C000001,WS0003,YAMAHA_NMAX125,Yamaha,NMAX 125,SCOOTER,ICE,2017,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2017-02-16,2019-01-05,83780,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-06-21,,RBSYNE3EFA77D23F0,SYN-35-000001,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00172,0.98342,NORMAL,30,30000
MC000002,C000002,WS0008,HONDA_PCX125,Honda,PCX125,SCOOTER,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-04-10,2023-03-19,27440,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-07-12,,RBSYN022AACC9F763,SYN-27-000002,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.02866,NORMAL,24,30000
MC000003,C000003,WS0008,MONDIAL_50_UAG,Mondial,50 UAG,CUB,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-04-22,2022-08-26,32650,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-06-30,,RBSYN28086615C98F,SYN-27-000003,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.05773,NORMAL,24,40000
MC000004,C000004,WS0009,YAMAHA_XMAX250,Yamaha,XMAX 250,BIG_SCOOTER,ICE,2023,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2023-11-09,2024-02-12,11680,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-09-25,,RBSYN0E04DA1741F8,SYN-55-000004,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00172,0.97849,NORMAL,36,40000
MC000005,C000005,WS0007,MONDIAL_TURISMO50I,Mondial,Turismo 50i,SCOOTER,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-08-04,2021-09-16,13650,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-01-30,,RBSYN78C063F409D9,SYN-01-000005,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.03336,NORMAL,30,30000
MC000006,C000005,WS0007,TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,ICE,2022,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2022-01-04,2022-02-08,1574,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-03-07,,RBSYND1F942745552,SYN-01-000006,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00152,1.00334,NORMAL,36,40000
MC000007,C000005,WS0007,HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-02-23,2021-08-01,24230,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-05-07,,RBSYN2083A520E2AD,SYN-01-000007,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0482,NORMAL,36,30000
MC000008,C000005,WS0007,MONDIAL_WING50I,Mondial,Wing 50i,SCOOTER,ICE,2019,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2019-08-07,2021-08-06,50190,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-01-27,,RBSYN7137884BE08D,SYN-01-000008,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,0.94044,NORMAL,24,50000
MC000009,C000005,WS0007,TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-11-01,2021-05-25,22960,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-04-18,,RBSYNF133DFE8DE9B,SYN-01-000009,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00152,1.00334,LOW,36,40000
MC000010,C000006,WS0008,CFMOTO_450NK,CFMOTO,450NK,NAKED,ICE,2024,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2024-02-20,2024-02-20,7100,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-07-01,,RBSYN6B60F62A348B,SYN-27-000010,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98988,1.00016,NORMAL,36,50000
MC000011,C000007,WS0002,MONDIAL_TURISMO50I,Mondial,Turismo 50i,SCOOTER,ICE,2021,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2021-08-18,2022-11-05,45730,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-09-09,,RBSYN43F86B354EA3,SYN-06-000011,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.03336,NORMAL,30,30000
MC000012,C000007,WS0002,HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,ICE,2019,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2019-06-25,2024-01-31,35230,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-09-30,,RBSYN941C5F7EB762,SYN-06-000012,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0482,NORMAL,36,30000
MC000013,C000008,WS0002,RKS_NEW_LIGHT_PRO,RKS,New Light Pro,CUB,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-02-20,2025-10-02,5370,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-11-01,,RBSYN0EA6C31F78F0,SYN-06-000013,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.99105,0.96609,NORMAL,36,40000
MC000014,C000009,WS0009,TVS_JUPITER125,TVS,Jupiter 125,SCOOTER,ICE,2017,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2017-09-04,2021-04-27,33440,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-05-21,,RBSYNEDA4870F392C,SYN-55-000014,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00152,1.00334,NORMAL,36,40000
MC000015,C000009,WS0009,HONDA_CB125F,Honda,CB125F,NAKED,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-04-02,2020-04-27,24570,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2022-05-05,,RBSYND227C8E6B5A6,SYN-55-000015,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,0.97829,NORMAL,24,30000
MC000016,C000010,WS0005,KYMCO_DOWNTOWN250I,KYMCO,Downtown 250i,BIG_SCOOTER,ICE,2025,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2025-01-27,2025-05-21,3510,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-05-30,,RBSYNE8F2F93134FA,SYN-07-000016,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.01097,1.02862,LOW,30,40000
MC000017,C000010,WS0005,MONDIAL_TURISMO50I,Mondial,Turismo 50i,SCOOTER,ICE,2024,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2024-03-15,2024-08-14,18800,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-06-06,,RBSYNE3EC9880293C,SYN-07-000017,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.03336,NORMAL,30,30000
MC000018,C000011,WS0010,HONDA_ACTIVA125,Honda,Activa 125,SCOOTER,ICE,2022,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2022-06-01,2022-08-04,8280,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-03-03,,RBSYN1BD491D21C14,SYN-26-000018,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0482,NORMAL,36,30000
MC000019,C000012,WS0005,ROYALENFIELD_HUNTER350,Royal Enfield,Hunter 350,ROADSTER,ICE,2024,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2024-02-21,2024-05-27,1176,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-05-29,,RBSYN1CEDFC8713F2,SYN-07-000019,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.99647,0.99298,NORMAL,24,30000
MC000020,C000013,WS0002,HONDA_DIO110,Honda,Dio 110,SCOOTER,ICE,2023,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2023-12-31,2024-12-30,15440,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-06-11,,RBSYND2C3E82EF9A3,SYN-06-000020,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.05796,NORMAL,30,40000
MC000021,C000013,WS0002,HONDA_PCX125,Honda,PCX125,SCOOTER,ICE,2022,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2022-07-20,2024-09-21,53430,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2025-06-29,,RBSYNC2D1EF0F8BF8,SYN-06-000021,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.02866,NORMAL,24,30000
MC000022,C000014,WS0007,KUBA_BLUEBERRY50,Kuba,Blueberry 50,SCOOTER,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-04-19,2021-02-03,4010,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-04-19,,RBSYN2B44CB3F3F55,SYN-01-000022,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98564,1.04181,NORMAL,24,40000
MC000023,C000015,WS0006,CFMOTO_250DUAL,CFMOTO,250 DUAL,ADVENTURE,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-02-13,2020-08-04,17920,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2023-11-20,,RBSYN00443E9066DA,SYN-42-000023,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,0.98988,1.04277,NORMAL,30,40000
MC000024,C000015,WS0006,MONDIAL_50_UAG,Mondial,50 UAG,CUB,ICE,2019,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2019-07-20,2021-06-01,19780,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2024-02-25,,RBSYNF9C3C5327F15,SYN-42-000024,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00797,1.05773,LOW,24,40000
MC000025,C000016,WS0005,HONDA_FORZA250,Honda,Forza 250,BIG_SCOOTER,ICE,2020,V1_1_SIMULATION_MODEL_RANGE_VALIDATED,2020-02-04,2020-02-04,7360,AGE_CUSTOMER_TYPE_CATEGORY_PRIOR,2021-02-03,,RBSYN579772376A88,SYN-07-000025,1,SYNTHETIC,1.3.0,42,MARKET_WEIGHT_X_CUSTOMER_TYPE_X_WORKSHOP_SPECIALIZATION,,1.00217,1.0545,NORMAL,24,40000
