column_name,dtype,semantic_role,candidate_feature,target_related,future_information,identifier,constant,near_constant,null_rate,cardinality,recommended_action,reason
snapshot_id,object,IDENTIFIER,False,False,False,True,False,False,0.0,41518,DROP_FROM_MODEL_KEEP_IN_MANIFEST,Kimlik/izleme anahtarı; genellenebilir sinyal değil
source_service_id,object,IDENTIFIER,False,False,False,True,False,False,0.0,41518,DROP_FROM_MODEL_KEEP_IN_MANIFEST,Kimlik/izleme anahtarı; genellenebilir sinyal değil
snapshot_at,object,DATETIME_FEATURE,False,False,False,False,False,False,0.0,39878,DROP_RAW_USE_DERIVED_TIME_FEATURES,Raw timestamp yerine mevcut month/sin/cos/age feature'ları kullanılacak
snapshot_date,object,DATETIME_FEATURE,False,False,False,False,False,False,0.0,1674,DROP_RAW_USE_DERIVED_TIME_FEATURES,Raw timestamp yerine mevcut month/sin/cos/age feature'ları kullanılacak
service_sequence,int32,NUMERIC_FEATURE,True,False,False,False,False,False,0.0,56,KEEP,Tahmin anında bilinen sayısal feature
snapshot_year,int32,NUMERIC_FEATURE,True,False,False,False,False,False,0.0,6,KEEP,Tahmin anında bilinen sayısal feature
snapshot_month,int32,NUMERIC_FEATURE,True,False,False,False,False,False,0.0,12,KEEP,Tahmin anında bilinen sayısal feature
snapshot_quarter,int32,NUMERIC_FEATURE,True,False,False,False,False,False,0.0,4,KEEP,Tahmin anında bilinen sayısal feature
snapshot_day_of_year,int32,NUMERIC_FEATURE,True,False,False,False,False,False,0.0,366,KEEP,Tahmin anında bilinen sayısal feature
snapshot_month_sin,float64,NUMERIC_FEATURE,True,False,False,False,False,False,0.0,11,KEEP,Tahmin anında bilinen sayısal feature
snapshot_month_cos,float64,NUMERIC_FEATURE,True,False,False,False,False,False,0.0,11,KEEP,Tahmin anında bilinen sayısal feature
motorcycle_id,object,IDENTIFIER,False,False,False,True,False,False,0.0,8442,DROP_FROM_MODEL_KEEP_IN_MANIFEST,Kimlik/izleme anahtarı; genellenebilir sinyal değil
customer_id,object,IDENTIFIER,False,False,False,True,False,False,0.0,6080,DROP_FROM_MODEL_KEEP_IN_MANIFEST,Kimlik/izleme anahtarı; genellenebilir sinyal değil
workshop_id,object,CATEGORICAL_FEATURE,True,False,False,False,False,False,0.0,10,KEEP_ONE_HOT,Tahmin anında bilinen kategorik feature
model_id,object,CATEGORICAL_FEATURE,True,False,False,False,False,False,0.0,39,KEEP_ONE_HOT,Tahmin anında bilinen kategorik feature
brand,object,CATEGORICAL_FEATURE,True,False,False,False,False,False,0.0,12,KEEP_ONE_HOT,Tahmin anında bilinen kategorik feature
model_name,object,DROP_CANDIDATE,False,False,False,False,False,False,0.0,39,DROP_REDUNDANT,Başka tutulan kolonla bire-bir aynı varlık bilgisini taşıyor
category,object,CATEGORICAL_FEATURE,True,False,False,False,False,False,0.0,12,KEEP_ONE_HOT,Tahmin anında bilinen kategorik feature
