target,segment_type,segment,n,mae
DAYS,riding_intensity,LOW,62,72.25365913604524
DAYS,next_service_type_code,REPAIR,91,34.48547107029054
DAYS,brand,SYM,33,34.366357982149594
DAYS,riding_intensity,MEDIUM,292,33.61600386624734
DAYS,brand,TVS,58,33.259933806129254
DAYS,history_depth_bin,0-1,318,32.70796595400726
DAYS,brand,Honda,321,26.6895193283721
DAYS,history_depth_bin,2-3,245,24.276955566271873
DAYS,brand,Yamaha,127,21.470967082689448
DAYS,next_service_type_code,PERIODIC,1160,20.640218181041458
KM,brand,SYM,33,1536.015050234339
KM,next_service_type_code,REPAIR,91,1376.5625523674144
KM,brand,RKS,125,1336.8836890540365
KM,brand,Yamaha,127,1204.7616918312212
KM,history_depth_bin,0-1,318,1157.3222148922018
KM,brand,Honda,321,1057.609848967042
KM,riding_intensity,HIGH,928,994.2700702565195
KM,next_service_type_code,PERIODIC,1160,903.5472011482806
KM,history_depth_bin,2-3,245,875.0454352574147
KM,history_depth_bin,4+,719,866.0014831301829
