snapshot_id,motorcycle_id,actual_days,predicted_days_raw,predicted_days_actionable,actual_km,predicted_km_raw,predicted_km_actionable,split,dataset_version,days_error,days_abs_error,km_error,km_abs_error,usage_type,riding_intensity,brand,category,model_id,workshop_id,motorcycle_age_years,snapshot_odometer_km,service_sequence,previous_failure_count,maintenance_overdue_days_pre_service,maintenance_overdue_km_pre_service,target
SNP_SVC039913,MC009665,6.809027777777778,148.25917932532667,148.25917932532667,48.0,3895.152564784555,3895.152564784555,TEST,1.2.0,141.4501515475489,141.4501515475489,3847.152564784555,3847.152564784555,COMMUTER,LOW,Honda,SCOOTER,HONDA_SH125I,WS0001,7.811088295687885,36177,1,0,0.0,0.0,DAYS
SNP_SVC037410,MC008997,191.9361111111111,58.31226829147828,58.31226829147828,17259.0,4936.978970698494,4936.978970698494,TEST,1.2.0,-133.6238428196328,133.6238428196328,-12322.021029301506,12322.021029301506,COMMUTER,HIGH,Honda,SCOOTER,HONDA_DIO110,WS0003,3.696098562628337,103745,10,1,2.0,221.5,DAYS
SNP_SVC032599,MC007921,179.88819444444445,54.921843542607654,54.921843542607654,13780.0,4484.830224317906,4484.830224317906,TEST,1.2.0,-124.96635090183679,124.96635090183679,-9295.169775682094,9295.169775682094,WEEKEND,HIGH,Yamaha,SCOOTER,YAMAHA_NMAX125,WS0006,5.300479123887748,113847,8,1,3.0,244.6999999999971,DAYS
SNP_SVC003585,MC000841,202.91041666666666,79.42239883744615,79.42239883744615,11707.0,4161.242224476029,4161.242224476029,TEST,1.2.0,-123.48801782922051,123.48801782922051,-7545.757775523971,7545.757775523971,COMMUTER,HIGH,Mondial,CUB,MONDIAL_SFC_MINI_50EC,WS0001,7.485284052019165,84295,8,0,16.0,934.0,DAYS
SNP_SVC017978,MC004369,19.044444444444444,140.95097761007295,140.95097761007295,308.0,2188.7495781232874,2188.7495781232874,TEST,1.2.0,121.9065331656285,121.9065331656285,1880.7495781232874,1880.7495781232874,COMMUTER,LOW,Bajaj,NAKED,BAJAJ_NS200,WS0001,0.8843258042436687,2962,1,0,0.0,0.0,DAYS
SNP_SVC011893,MC002889,1.6909722222222223,123.41244120024888,123.41244120024888,110.0,6007.251422458043,6007.251422458043,TEST,1.2.0,121.72146897802665,121.72146897802665,5897.251422458043,5897.251422458043,COMMUTER,HIGH,Honda,SCOOTER,HONDA_PCX125,WS0007,5.3114305270362765,110217,3,0,21.0,1203.800000000003,DAYS
SNP_SVC018636,MC004544,187.75069444444443,66.27063614572208,66.27063614572208,6413.0,3251.9750379344755,3251.9750379344755,TEST,1.2.0,-121.48005829872235,121.48005829872235,-3161.0249620655245,3161.0249620655245,COMMUTER,MEDIUM,TVS,SCOOTER,TVS_JUPITER125,WS0010,7.342915811088296,68776,3,0,11.0,317.5,DAYS
SNP_SVC028444,MC006890,174.93125,55.62784366782601,55.62784366782601,5560.0,1638.4203764896147,1638.4203764896147,TEST,1.2.0,-119.30340633217399,119.30340633217399,-3921.5796235103853,3921.5796235103853,WEEKEND,LOW,Honda,SCRAMBLER,HONDA_CL250,WS0010,5.6125941136208075,43685,5,0,7.0,116.19999999999709,DAYS
SNP_SVC026626,MC006408,2.7847222222222223,118.36836961411737,118.36836961411737,105.0,4914.092601499082,4914.092601499082,TEST,1.2.0,115.58364739189514,115.58364739189514,4809.092601499082,4809.092601499082,COURIER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0004,7.112936344969199,61313,2,0,17.0,446.3000000000029,DAYS
SNP_SVC028438,MC006889,180.0625,64.87111991995344,64.87111991995344,13668.0,4272.797459199195,4272.797459199195,TEST,1.2.0,-115.19138008004656,115.19138008004656,-9395.202540800805,9395.202540800805,COMMUTER,HIGH,Mondial,CUB,MONDIAL_50_UAG,WS0007,7.394934976043806,125824,14,0,4.0,297.3999999999942,DAYS
SNP_SVC026723,MC006422,162.81805555555556,47.779005104222364,47.779005104222364,13650.0,4466.56290999445,4466.56290999445,TEST,1.2.0,-115.0390504513332,115.0390504513332,-9183.437090005551,9183.437090005551,SEASONAL,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0007,8.673511293634498,114073,7,1,5.0,666.0,DAYS
SNP_SVC038548,MC009324,179.19791666666666,64.23306672654259,64.23306672654259,14956.0,4683.056471696567,4683.056471696567,TEST,1.2.0,-114.96484994012407,114.96484994012407,-10272.943528303433,10272.943528303433,COMMUTER,HIGH,Mondial,CUB,MONDIAL_SFC_MINI_50EC,WS0008,1.6071184120465434,36924,4,0,11.0,1274.0,DAYS
SNP_SVC019195,MC004698,17.820138888888888,132.5385041428853,132.5385041428853,422.0,5025.1834697542035,5025.1834697542035,TEST,1.2.0,114.71836525399641,114.71836525399641,4603.1834697542035,4603.1834697542035,COURIER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0006,4.783025325119781,34085,1,0,0.0,0.0,DAYS
SNP_SVC018211,MC004446,174.7125,60.50015244618723,60.50015244618723,15365.0,4846.674522633147,4846.674522633147,TEST,1.2.0,-114.21234755381278,114.21234755381278,-10518.325477366852,10518.325477366852,COMMUTER,HIGH,Kuba,SCOOTER,KUBA_BLUEBERRY50,WS0007,5.61533196440794,123643,18,2,0.0,8.80000000000291,DAYS
SNP_SVC000584,MC000125,4.940972222222222,117.30899557552162,117.30899557552162,194.0,5152.05131931733,5152.05131931733,TEST,1.2.0,112.36802335329939,112.36802335329939,4958.05131931733,4958.05131931733,COMMUTER,MEDIUM,Honda,SCOOTER,HONDA_PCX125,WS0001,1.103353867214237,13593,1,0,0.0,0.0,DAYS
