target,model,representation,params
DAYS,XGBRegressor,encoded,"{""n_estimators"": 400, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 5, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 1, ""reg_lambda"": 1}"
DAYS,LGBMRegressor,native,"{""n_estimators"": 600, ""learning_rate"": 0.02, ""num_leaves"": 63, ""max_depth"": 6, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 1, ""reg_lambda"": 5}"
DAYS,HistGradientBoostingRegressor,encoded,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 63, ""max_iter"": 350, ""max_depth"": 6, ""max_bins"": 255, ""learning_rate"": 0.02, ""l2_regularization"": 1}"
DAYS,CatBoostRegressor,native,"{""iterations"": 1000, ""learning_rate"": 0.03, ""depth"": 6, ""l2_leaf_reg"": 3, ""random_strength"": 0, ""subsample"": 1.0}"
DAYS,GradientBoosting_Huber(diagnostic),encoded,"{""loss"": ""huber""}"
DAYS,ExtraTreesRegressor,encoded,"{""n_estimators"": 150, ""min_samples_leaf"": 10, ""max_features"": 0.4, ""max_depth"": 16, ""bootstrap"": false}"
DAYS,RandomForestRegressor,encoded,"{""n_estimators"": 220, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 30, ""bootstrap"": true}"
KM,LGBMRegressor,native,"{""n_estimators"": 600, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 1, ""reg_lambda"": 1}"
KM,HistGradientBoostingRegressor,encoded,"{""min_samples_leaf"": 40, ""max_leaf_nodes"": 63, ""max_iter"": 500, ""max_depth"": null, ""max_bins"": 255, ""learning_rate"": 0.03, ""l2_regularization"": 0}"
KM,XGBRegressor,encoded,"{""n_estimators"": 800, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 5, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0, ""reg_lambda"": 5}"
KM,CatBoostRegressor,native,"{""iterations"": 1000, ""learning_rate"": 0.08, ""depth"": 8, ""l2_leaf_reg"": 1, ""random_strength"": 0.5, ""subsample"": 0.9}"
KM,RandomForestRegressor,encoded,"{""n_estimators"": 220, ""min_samples_leaf"": 2, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
KM,ExtraTreesRegressor,encoded,"{""n_estimators"": 150, ""min_samples_leaf"": 10, ""max_features"": 0.6, ""max_depth"": 16, ""bootstrap"": false}"
KM,GradientBoosting_Huber(diagnostic),encoded,"{""loss"": ""huber""}"
