dataset_version,raw_title,normalized_title,count,task_code,canonical_name_tr,component_group,mapping_conflict
1.2.0,Motor Yağı Değişimi,motor yagi degisimi,12707,ENGINE_OIL_CHANGE,Motor Yağı Değişimi,ENGINE,False
1.2.0,Motor Yağı Değiştirildi,motor yagi degistirildi,12622,ENGINE_OIL_CHANGE,Motor Yağı Değişimi,ENGINE,False
1.2.0,Motor Yağı Değişimi Yapıldı,motor yagi degisimi yapildi,12602,ENGINE_OIL_CHANGE,Motor Yağı Değişimi,ENGINE,False
1.2.0,Akü Test Edildi,aku test edildi,8194,BATTERY_TEST,Akü Testi,ELECTRICAL,False
1.2.0,Akü Testi,aku testi,8141,BATTERY_TEST,Akü Testi,ELECTRICAL,False
1.2.0,Zincir Temizlendi,zincir temizlendi,5518,CHAIN_CLEAN,Zincir Temizliği,FINAL_DRIVE,False
1.2.0,Zincir Temizliği,zincir temizligi,5470,CHAIN_CLEAN,Zincir Temizliği,FINAL_DRIVE,False
1.2.0,Hava Filtresi Kontrol Edildi,hava filtresi kontrol edildi,5333,AIR_FILTER_INSPECTION,Hava Filtresi Kontrolü,INTAKE,False
1.2.0,Hava Filtresi Kontrolü ve genel durum değerlendirmesi,hava filtresi kontrolu ve genel durum degerlendirmesi,5259,AIR_FILTER_INSPECTION,Hava Filtresi Kontrolü,INTAKE,False
1.2.0,Hava Filtresi Kontrolü,hava filtresi kontrolu,5216,AIR_FILTER_INSPECTION,Hava Filtresi Kontrolü,INTAKE,False
1.2.0,Fren Hidroliği Kontrol Edildi,fren hidroligi kontrol edildi,4715,BRAKE_FLUID_CHECK,Fren Hidroliği Kontrolü,BRAKES,False
1.2.0,Fren Hidroliği Kontrolü,fren hidroligi kontrolu,4672,BRAKE_FLUID_CHECK,Fren Hidroliği Kontrolü,BRAKES,False
1.2.0,Fren Hidroliği Kontrolü ve genel durum değerlendirmesi,fren hidroligi kontrolu ve genel durum degerlendirmesi,4576,BRAKE_FLUID_CHECK,Fren Hidroliği Kontrolü,BRAKES,False
1.2.0,Zincir Yağlama,zincir yaglama,4450,CHAIN_LUBRICATE,Zincir Yağlama,FINAL_DRIVE,False
1.2.0,Zincir Yağlandı,zincir yaglandi,4438,CHAIN_LUBRICATE,Zincir Yağlama,FINAL_DRIVE,False
1.2.0,Genel Güvenlik Kontrol Edildi,genel guvenlik kontrol edildi,4391,GENERAL_SAFETY_INSPECTION,Genel Güvenlik Kontrolü,GENERAL,False
1.2.0,Hava Filtresi Değişimi,hava filtresi degisimi,4391,AIR_FILTER_CHANGE,Hava Filtresi Değişimi,INTAKE,False
1.2.0,Hava Filtresi Değişimi Yapıldı,hava filtresi degisimi yapildi,4391,AIR_FILTER_CHANGE,Hava Filtresi Değişimi,INTAKE,False
1.2.0,Hava Filtresi Değiştirildi,hava filtresi degistirildi,4309,AIR_FILTER_CHANGE,Hava Filtresi Değişimi,INTAKE,False
1.2.0,Genel Güvenlik Kontrolü,genel guvenlik kontrolu,4305,GENERAL_SAFETY_INSPECTION,Genel Güvenlik Kontrolü,GENERAL,False
1.2.0,Genel Güvenlik Kontrolü ve genel durum değerlendirmesi,genel guvenlik kontrolu ve genel durum degerlendirmesi,4229,GENERAL_SAFETY_INSPECTION,Genel Güvenlik Kontrolü,GENERAL,False
1.2.0,Fren Hidroliği Değiştirildi,fren hidroligi degistirildi,2629,BRAKE_FLUID_CHANGE,Fren Hidroliği Değişimi,BRAKES,False
1.2.0,Fren Hidroliği Değişimi,fren hidroligi degisimi,2516,BRAKE_FLUID_CHANGE,Fren Hidroliği Değişimi,BRAKES,False
1.2.0,Zincir Kontrolü ve genel durum değerlendirmesi,zincir kontrolu ve genel durum degerlendirmesi,1846,CHAIN_INSPECTION,Zincir Kontrolü,FINAL_DRIVE,False
