number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_bins,params_max_depth,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,user_attrs_fold_maes,user_attrs_mae_std,state
0,695.9845337869496,2026-08-28 21:02:42.403868,2026-08-28 21:03:57.313711,0 days 00:01:14.909843,0.09047071957568396,0.03574712922600244,squared_error,191,12.0,626,151,50,"[743.041, 677.764, 667.149]",33.5548975591596,COMPLETE
1,698.9239726936988,2026-08-28 21:03:57.313802,2026-08-28 21:04:17.376876,0 days 00:00:20.063074,0.0015577217702693043,0.018659959624904923,squared_error,127,6.0,302,112,32,"[749.078, 675.323, 672.372]",35.48439309810687,COMPLETE
2,698.431220938976,2026-08-28 21:04:17.376988,2026-08-28 21:04:25.164401,0 days 00:00:07.787413,0.0012052231254145623,0.07896186801026692,squared_error,191,4.0,235,27,57,"[749.859, 671.934, 673.5]",36.3704731998468,COMPLETE
3,688.179931982401,2026-08-28 21:04:25.164448,2026-08-28 21:04:39.347295,0 days 00:00:14.182847,0.015321449415450742,0.09519754482692679,absolute_error,127,6.0,306,111,73,"[740.348, 666.075, 658.117]",37.031251957672204,COMPLETE
4,693.7555183992762,2026-08-28 21:04:39.347335,2026-08-28 21:05:38.187128,0 days 00:00:58.839793,8.094845352286143,0.03750796359625606,squared_error,127,12.0,285,169,10,"[744.425, 674.486, 662.356]",36.16930102775751,COMPLETE
5,725.3809254279082,2026-08-28 21:05:38.187195,2026-08-28 21:05:52.773373,0 days 00:00:14.586178,0.0001502713721415457,0.11935262708510537,squared_error,191,6.0,536,28,9,,,PRUNED
6,734.9463002725286,2026-08-28 21:05:52.773407,2026-08-28 21:06:06.712272,0 days 00:00:13.938865,5.69167362989989e-06,0.015019490572374374,absolute_error,191,4.0,507,156,6,,,PRUNED
7,688.146493689229,2026-08-28 21:06:06.712358,2026-08-28 21:06:53.395007,0 days 00:00:46.682649,0.027153529939846613,0.02334720250903524,squared_error,127,12.0,355,155,66,"[732.996, 670.069, 661.374]",31.911531481257928,COMPLETE
8,715.425003218123,2026-08-28 21:06:53.395060,2026-08-28 21:07:34.698175,0 days 00:00:41.303115,0.0037603746651791265,0.15584289782385466,absolute_error,127,12.0,598,74,5,,,PRUNED
9,719.2371329551182,2026-08-28 21:07:34.698300,2026-08-28 21:07:43.377052,0 days 00:00:08.678752,9.860148611372115e-05,0.030019946952402964,absolute_error,191,4.0,409,145,27,,,PRUNED
10,754.7949462753861,2026-08-28 21:07:43.377083,2026-08-28 21:08:01.996281,0 days 00:00:18.619198,1.0464384317629458,0.2489323150846178,squared_error,255,,153,195,79,,,PRUNED
11,683.3488100673752,2026-08-28 21:08:01.996304,2026-08-28 21:08:30.281160,0 days 00:00:28.284856,0.04929322368576478,0.0643887384371274,absolute_error,127,8.0,413,102,74,"[733.208, 664.165, 652.673]",35.56674505314186,COMPLETE
12,713.4143423262569,2026-08-28 21:08:30.281204,2026-08-28 21:08:53.479305,0 days 00:00:23.198101,0.16837653157902208,0.01053022204573167,absolute_error,127,8.0,412,79,65,,,PRUNED
13,683.9741847836344,2026-08-28 21:08:53.479328,2026-08-28 21:09:23.849123,0 days 00:00:30.369795,0.046851044050303554,0.0626735549379627,absolute_error,255,8.0,458,84,63,"[733.592, 666.027, 652.304]",35.52931100981652,COMPLETE
14,684.8779447273877,2026-08-28 21:09:23.849208,2026-08-28 21:09:57.171650,0 days 00:00:33.322442,0.4217551919226058,0.05577155611300763,absolute_error,255,8.0,470,73,45,"[734.979, 666.854, 652.801]",35.88796512619299,COMPLETE
15,683.8520228098187,2026-08-28 21:09:57.171692,2026-08-28 21:10:43.138254,0 days 00:00:45.966562,3.192244565085623,0.055041500545997026,absolute_error,255,8.0,476,93,60,"[734.766, 663.213, 653.577]",36.21592017972928,COMPLETE
16,706.3492170223618,2026-08-28 21:10:43.138643,2026-08-28 21:11:07.392421,0 days 00:00:24.253778,6.932107024790781,0.17667834860946324,absolute_error,255,8.0,558,46,80,,,PRUNED
17,684.6451115678386,2026-08-28 21:11:07.392454,2026-08-28 21:11:35.624369,0 days 00:00:28.231915,1.4091222002406434,0.04460303626518843,absolute_error,255,8.0,368,128,54,"[733.334, 666.409, 654.192]",34.78767090255876,COMPLETE
18,701.8497384944526,2026-08-28 21:11:35.624575,2026-08-28 21:12:03.428749,0 days 00:00:27.804174,2.0753849515992857,0.07337466316464042,absolute_error,255,,463,53,38,,,PRUNED
19,684.8110105989646,2026-08-28 21:12:03.428782,2026-08-28 21:12:37.171356,0 days 00:00:33.742574,0.16709681372050844,0.10880311588055158,absolute_error,127,8.0,558,98,74,"[735.619, 667.24, 651.575]",36.4910950055717,COMPLETE
20,683.3666264699023,2026-08-28 21:12:37.171480,2026-08-28 21:13:14.985789,0 days 00:00:37.814309,2.3925850362794727e-06,0.04657199954074344,absolute_error,255,8.0,499,127,58,"[729.041, 667.527, 653.532]",32.79836833130686,COMPLETE
21,684.169818131211,2026-08-28 21:13:14.985915,2026-08-28 21:13:53.199137,0 days 00:00:38.213222,1.0642851607749548e-06,0.049772206253567375,absolute_error,255,8.0,492,126,60,"[734.478, 666.652, 651.379]",36.11573863345712,COMPLETE
22,702.832625916375,2026-08-28 21:13:53.199201,2026-08-28 21:14:13.989216,0 days 00:00:20.790015,0.00012833630066142216,0.026531220435624836,absolute_error,255,8.0,426,95,71,,,PRUNED
23,684.8984071824044,2026-08-28 21:14:13.989247,2026-08-28 21:14:40.784800,0 days 00:00:26.795553,1.9091952781761918e-05,0.06928230575581192,absolute_error,255,8.0,358,128,49,,,PRUNED
24,683.6228004666492,2026-08-28 21:14:40.784846,2026-08-28 21:15:14.407555,0 days 00:00:33.622709,0.00699647493453582,0.04096213373685786,absolute_error,255,8.0,517,59,67,"[735.298, 665.275, 650.296]",37.047826814109925,COMPLETE
