number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_loss_function,params_random_strength,user_attrs_fold_maes,user_attrs_mae_std,state
0,17.541478446023415,2026-08-28 20:21:02.608069,2026-08-28 20:21:16.809345,0 days 00:00:14.201276,0.6011150117432088,199,5,1018,1.5227525095137953,0.01699897838270077,MAE,1.7323522915498704,"[22.136, 16.946, 13.542]",3.533635500468656,COMPLETE
1,17.404476400372868,2026-08-28 20:21:16.809695,2026-08-28 20:21:30.473308,0 days 00:00:13.663613,0.43194501864211576,119,5,555,3.7381801866358395,0.018659959624904923,MAE,1.0495128632644757,"[21.917, 16.852, 13.444]",3.4810656783749185,COMPLETE
2,16.91304613776401,2026-08-28 20:21:30.473494,2026-08-28 20:21:49.314839,0 days 00:00:18.841345,0.5924145688620425,72,7,740,2.7970640394252375,0.14447746112718687,RMSE,1.0284688768272232,"[21.037, 16.621, 13.081]",3.254837798172891,COMPLETE
3,16.906310717613646,2026-08-28 20:21:49.314891,2026-08-28 20:22:35.983711,0 days 00:00:46.668820,0.6842330265121569,148,10,1439,3.741523922560336,0.1563510870813346,RMSE,0.19534422801276774,"[21.018, 16.58, 13.121]",3.2320656334181295,COMPLETE
4,16.883170340097266,2026-08-28 20:22:35.983878,2026-08-28 20:22:49.589864,0 days 00:00:13.605986,0.5467102793432796,99,5,1392,3.8053996848046987,0.09519754482692679,MAE,1.0401360423556216,"[21.169, 16.455, 13.026]",3.338173198272938,COMPLETE
5,19.163075142989562,2026-08-28 20:22:49.590090,2026-08-28 20:23:10.691366,0 days 00:00:21.101276,0.045227288910538066,126,8,1374,1.7964325184672756,0.22999586428143734,RMSE,0.3919657248382904,,,PRUNED
6,20.4693459549787,2026-08-28 20:23:10.691724,2026-08-28 20:23:18.797783,0 days 00:00:08.106059,0.07455064367977082,252,5,728,2.2683180247728636,0.06333268775321839,Huber:delta=1.0,1.6043939615080793,,,PRUNED
7,16.683507312277214,2026-08-28 20:23:18.797809,2026-08-28 20:23:42.838242,0 days 00:00:24.040433,0.3584657285442726,86,8,1279,7.941433120173512,0.11935262708510537,RMSE,0.14808930346818072,"[20.664, 16.371, 13.015]",3.1305703272088325,COMPLETE
8,18.930474057426412,2026-08-28 20:23:42.838335,2026-08-28 20:23:51.903062,0 days 00:00:09.064727,0.8872127425763265,154,6,376,7.566455605042576,0.030222834756467344,RMSE,1.2751149427104262,,,PRUNED
9,23.408504931262208,2026-08-28 20:23:51.903089,2026-08-28 20:24:12.739404,0 days 00:00:20.836315,0.02541912674409519,84,9,974,5.704595464437946,0.05362853964441846,Huber:delta=1.0,0.8550820367170993,,,PRUNED
10,19.649151837392044,2026-08-28 20:24:12.739517,2026-08-28 20:24:29.405434,0 days 00:00:16.665917,0.2579269526014921,195,8,1167,9.813011339788835,0.010629965824084656,RMSE,0.5681117594417646,,,PRUNED
11,16.631247294177037,2026-08-28 20:24:29.405564,2026-08-28 20:24:48.517078,0 days 00:00:19.111514,0.3425159937377566,102,7,1235,6.499610553066054,0.08451840333973504,MAE,0.10357746383286706,"[20.842, 16.267, 12.784]",3.2995292261556237,COMPLETE
