number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_objective,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_maes,user_attrs_mae_std,state
0,16.51623592776583,2026-08-29 14:05:20.462914,2026-08-29 14:05:41.741277,0 days 00:00:21.278363,0.8540362888980227,0.01700037298921102,0,70,0.8324426408004217,799,52,regression_l1,1.5320059381854043e-08,5.3602947287282925,0.8404460046972835,"[20.619, 16.146, 12.784]",3.2090504706552716,COMPLETE
1,16.732864394660705,2026-08-29 14:05:41.741312,2026-08-29 14:05:45.010409,0 days 00:00:03.269097,0.6460723242676091,0.05958389350068958,4,51,0.7851759613930136,504,119,regression,1.9826980964985924e-05,0.00012724181576752517,0.6557975442608167,"[20.885, 16.32, 12.993]",3.234967314373955,COMPLETE
2,61.473415260222204,2026-08-29 14:05:45.010475,2026-08-29 14:05:51.307312,0 days 00:00:06.296837,0.9041986740582306,0.07896186801026692,0,77,0.6842330265121569,246,56,huber,5.514725787121931e-06,7.569183361880229e-08,0.9862528132298237,"[72.084, 62.795, 49.541]",9.250512314216563,COMPLETE
3,42.638415903064015,2026-08-29 14:05:51.307350,2026-08-29 14:05:59.307353,0 days 00:00:08.000003,0.7733551396716398,0.2203821893928988,10,28,0.7751328233611146,234,77,huber,4.609885087947832e-07,5.324289357128431,0.8080272084711243,"[53.213, 43.628, 31.075]",9.0648823475365,COMPLETE
4,16.53964357011221,2026-08-29 14:05:59.307388,2026-08-29 14:06:30.383562,0 days 00:00:31.076174,0.6356745158869479,0.01351182947645082,-1,29,0.28093450968738076,1122,62,regression,0.287499823474079,1.6247252885719427e-05,0.7554709158757927,"[20.549, 16.301, 12.768]",3.181140852575718,COMPLETE
5,41.434535530594836,2026-08-29 14:06:30.383606,2026-08-29 14:06:31.089722,0 days 00:00:00.706116,0.8534286719238086,0.2869139536545373,2,5,0.07404465173409036,274,201,huber,0.0363969097981129,0.08738424135626989,0.9261845713819337,,,PRUNED
6,64.12744091743771,2026-08-29 14:06:31.089748,2026-08-29 14:06:35.389111,0 days 00:00:04.299363,0.8187787356776066,0.030816017044468066,4,29,0.1195942459383017,823,30,huber,0.9658611176861261,0.0001778010520878397,0.8918424713352257,,,PRUNED
7,18.637640116385334,2026-08-29 14:06:35.389129,2026-08-29 14:06:46.956028,0 days 00:00:11.566899,0.5157145928433671,0.05362853964441846,6,6,0.5085706911647028,971,140,regression_l1,0.005341874754868531,6.748446817464346e-06,0.6431565707973218,,,PRUNED
8,16.65772383131924,2026-08-29 14:06:46.956067,2026-08-29 14:06:53.454413,0 days 00:00:06.498346,0.9040601897822085,0.021775224101934068,4,17,0.8036720768991145,956,33,regression,0.005019191993687109,0.6968596391373528,0.9718790609370292,"[20.842, 16.224, 12.907]",3.2537029743348023,COMPLETE
9,19.446544295463525,2026-08-29 14:06:53.454462,2026-08-29 14:07:21.108404,0 days 00:00:27.653942,0.9090073829612466,0.21068591627429104,0,22,0.5107473025775657,1008,91,regression_l1,0.5579242641506352,1.1549659339590204e-08,0.7708431154505025,,,PRUNED
10,16.504417851876443,2026-08-29 14:07:21.108604,2026-08-29 14:07:51.342573,0 days 00:00:30.233969,0.9819852565922136,0.010260022325256595,14,73,0.9917733968624747,624,239,regression_l1,2.03805510606091e-08,0.020743967168290512,0.8429766247021809,"[20.66, 16.15, 12.703]",3.2582062914409904,COMPLETE
11,16.512583251650916,2026-08-29 14:07:51.342657,2026-08-29 14:08:21.693416,0 days 00:00:30.350759,0.9814584560441371,0.010995873062028328,15,78,0.9986590073208517,637,245,regression_l1,1.1457310020058797e-08,0.025045419345814154,0.8518279891425726,"[20.666, 16.142, 12.73]",3.250836683974483,COMPLETE
12,16.50324581557177,2026-08-29 14:08:21.693461,2026-08-29 14:08:56.282904,0 days 00:00:34.589443,0.9976443292743341,0.010972556454673162,16,59,0.9566320893761877,553,254,regression_l1,1.0389209043208605e-08,0.017732631962451298,0.8604063212686379,"[20.652, 16.114, 12.744]",3.240227282014672,COMPLETE
13,18.433904363929784,2026-08-29 14:08:56.283000,2026-08-29 14:09:15.567486,0 days 00:00:19.284486,0.9997371976985865,0.028705332245758317,16,56,0.9901618545053816,512,252,regression_l1,2.9719639762640193e-07,0.006137028777752093,0.7442968084843167,,,PRUNED
14,18.443577279353846,2026-08-29 14:09:15.567568,2026-08-29 14:09:32.581501,0 days 00:00:17.013933,0.9550054678309412,0.010385643604764062,12,62,0.6498406890570895,499,200,regression_l1,8.65644707754388e-05,0.0032108980007635184,0.9010745388284257,,,PRUNED
15,16.53612672051797,2026-08-29 14:09:32.581520,2026-08-29 14:10:10.423519,0 days 00:00:37.841999,0.679195142395271,0.018662063087603768,13,43,0.9318168201470003,660,207,regression_l1,2.91071340301942e-07,0.18030151522624221,0.7125657038315838,"[20.638, 16.19, 12.78]",3.2173598818931075,COMPLETE
16,16.49997381795088,2026-08-29 14:10:10.423622,2026-08-29 14:10:21.631181,0 days 00:00:11.207559,0.7169906181979728,0.03608968291057413,9,65,0.3250359294205526,371,166,regression_l1,1.7711668783527418e-06,0.006667309483486269,0.8410950175168564,"[20.631, 16.153, 12.716]",3.2403167215494206,COMPLETE
17,18.602009144918195,2026-08-29 14:10:21.631217,2026-08-29 14:10:27.702599,0 days 00:00:06.071382,0.7201045372514019,0.1003881622839628,9,64,0.3251342266562317,374,164,regression_l1,2.1349708577776706e-06,0.001546709391198543,0.9309245726392641,,,PRUNED
18,16.499467932737257,2026-08-29 14:10:27.702628,2026-08-29 14:10:45.822301,0 days 00:00:18.119673,0.5953430002624878,0.03385265069129323,11,45,0.3470238538045013,377,164,regression_l1,0.0002927850885644105,3.1742499660516616e-06,0.8069410260856268,"[20.649, 16.11, 12.74]",3.240374256015802,COMPLETE
19,18.57616334929351,2026-08-29 14:10:45.822334,2026-08-29 14:10:53.393968,0 days 00:00:07.571634,0.5528355205298704,0.04552590262035334,11,43,0.3240569659156614,390,171,regression,0.0006783916473377783,4.9731464392867e-07,0.6904210401105038,,,PRUNED
20,18.43995207969506,2026-08-29 14:10:53.393986,2026-08-29 14:10:59.217169,0 days 00:00:05.823183,0.5879911211113069,0.034371244665815134,7,49,0.21874916389098192,376,117,regression_l1,6.9970664363096695,3.3942172008132687e-06,0.79377500461714,,,PRUNED
21,18.660441088921814,2026-08-29 14:10:59.217244,2026-08-29 14:11:06.465050,0 days 00:00:07.247806,0.7584940792757802,0.11780169467077116,9,60,0.41225276201289207,443,165,regression_l1,6.109888284476594e-05,0.0004998753733193334,0.8691324598355294,,,PRUNED
22,16.529764182856255,2026-08-29 14:11:06.465075,2026-08-29 14:11:30.332357,0 days 00:00:23.867282,0.7201219900800487,0.03804714735220183,12,67,0.4203230334007385,590,218,regression_l1,6.732592057150383e-08,4.184085784078872e-05,0.8048075869660877,,,PRUNED
23,16.44072308459277,2026-08-29 14:11:30.332394,2026-08-29 14:11:50.599578,0 days 00:00:20.267184,0.6126098720120325,0.02344309326723196,16,55,0.18259386952862705,312,181,regression_l1,0.0005131705449310206,1.0200796255783542e-06,0.820971846812189,"[20.554, 16.058, 12.71]",3.21333014295129,COMPLETE
24,16.509481217501456,2026-08-29 14:11:50.599638,2026-08-29 14:12:02.872762,0 days 00:00:12.273124,0.5913241238035095,0.024214218001038793,8,36,0.0041079452027740215,325,182,regression_l1,0.0006497266580457847,1.175287659230512e-06,0.8173656045710014,"[20.641, 16.159, 12.729]",3.2395021955205974,COMPLETE
25,18.41055978596233,2026-08-29 14:12:02.872802,2026-08-29 14:12:12.915128,0 days 00:00:10.042326,0.6613523257467011,0.043579982281493256,14,52,0.1842294370176471,303,137,regression_l1,0.005899559416889741,1.629755852607391e-07,0.7771537986454717,,,PRUNED
26,18.452652260521596,2026-08-29 14:12:12.915170,2026-08-29 14:12:15.651098,0 days 00:00:02.735928,0.6057057442836529,0.024834078755097157,6,39,0.4158921731357511,207,185,regression_l1,0.00010404977961797625,1.811268230159077e-08,0.7379258323598452,,,PRUNED
27,18.488293912678802,2026-08-29 14:12:15.651117,2026-08-29 14:12:28.260127,0 days 00:00:12.609010,0.5275571514120635,0.06920227340528813,11,47,0.22267418581934112,436,152,regression_l1,4.208846956601371e-06,6.860634492080689e-07,0.8865216966394155,,,PRUNED
28,72.55281231541547,2026-08-29 14:12:28.260205,2026-08-29 14:12:37.796345,0 days 00:00:09.536140,0.6991964239299342,0.01688617277666854,13,57,0.5926496881280188,708,117,huber,0.0011061030971799275,2.477686361732788e-05,0.6064781376479759,,,PRUNED
29,16.546196303944708,2026-08-29 14:12:37.796366,2026-08-29 14:12:59.058217,0 days 00:00:21.261851,0.5683542654122212,0.016737399362090816,10,70,0.1495748561136237,768,231,regression,0.04582571151414122,3.3705148009356805e-06,0.8222337671577857,,,PRUNED
30,18.4782348329681,2026-08-29 14:12:59.058312,2026-08-29 14:13:05.519657,0 days 00:00:06.461345,0.7964621612247248,0.0436720357150124,8,37,0.2814152306801896,330,154,regression_l1,1.8188496859630332e-05,7.259125998799824e-08,0.8327560818084886,,,PRUNED
31,16.444658999936447,2026-08-29 14:13:05.519678,2026-08-29 14:13:41.433135,0 days 00:00:35.913457,0.608474342728406,0.012986253614097854,16,56,0.35691952965100987,552,224,regression_l1,9.658406452030561e-08,0.0007581779155027287,0.8562527481723053,"[20.555, 16.078, 12.701]",3.216673004828319,COMPLETE
32,16.446914825126523,2026-08-29 14:13:41.433246,2026-08-29 14:14:13.869896,0 days 00:00:32.436650,0.6254152317519434,0.013663102077002593,16,54,0.3997750425942501,465,223,regression_l1,1.639134276891526e-06,0.0008533204558669778,0.9408973433865042,"[20.556, 16.099, 12.686]",3.222095246766572,COMPLETE
33,16.466516595762613,2026-08-29 14:14:13.870005,2026-08-29 14:14:44.843186,0 days 00:00:30.973181,0.6259364348519784,0.014152193820871663,15,54,0.4547003310603312,466,222,regression_l1,5.3326784443858277e-08,0.0006092641731119852,0.9579492863820209,"[20.567, 16.109, 12.723]",3.212411505556499,COMPLETE
34,16.470165092001313,2026-08-29 14:14:44.843224,2026-08-29 14:15:19.238268,0 days 00:00:34.395044,0.6338936736008883,0.013780892118790564,15,52,0.5726880983708205,495,222,regression_l1,6.759325126443903e-08,8.953943302277714e-05,0.9539953817714878,"[20.638, 16.091, 12.682]",3.2591358996413433,COMPLETE
35,76.5810422656183,2026-08-29 14:15:19.238377,2026-08-29 14:15:29.133479,0 days 00:00:09.895102,0.6258194708125807,0.0140790152242588,16,53,0.4659556534953674,442,218,huber,7.959163398770304e-08,0.0006575781213690289,0.9859757892065264,,,PRUNED
36,18.444031534880367,2026-08-29 14:15:29.133567,2026-08-29 14:15:47.901579,0 days 00:00:18.768012,0.5456884591926003,0.019310891030344148,15,55,0.3847591620680544,593,190,regression,7.964058035040732e-07,0.0011535358278474434,0.923332665252514,,,PRUNED
37,16.485652645682666,2026-08-29 14:15:47.901654,2026-08-29 14:16:19.186848,0 days 00:00:31.285194,0.6737725383221749,0.013722315372926544,14,72,0.2459992227632864,538,234,regression_l1,1.4412992747649172e-07,0.0002076962376746306,0.9978520643790173,"[20.577, 16.142, 12.738]",3.2091839176339017,COMPLETE
38,73.12584940520705,2026-08-29 14:16:19.186957,2026-08-29 14:16:37.005092,0 days 00:00:17.818135,0.6193261684440762,0.01573762875496593,16,50,0.08118057965988429,704,211,huber,1.1267658683505924e-05,0.0003020131412577432,0.9425875399884777,,,PRUNED
39,16.479991823697954,2026-08-29 14:16:37.005220,2026-08-29 14:16:54.270774,0 days 00:00:17.265554,0.5015859953202102,0.021516564348894252,13,60,0.4542703996956252,280,227,regression_l1,3.10808601900371e-08,5.956992383355667e-05,0.9080180287089964,"[20.64, 16.105, 12.695]",3.254458004084129,COMPLETE
40,18.587587941944285,2026-08-29 14:16:54.270866,2026-08-29 14:17:09.725412,0 days 00:00:15.454546,0.6508478458480634,0.02709451335787397,15,33,0.5599775838976792,470,198,regression,8.143693053392334e-07,0.0024468510906601446,0.9547385326542277,,,PRUNED
41,16.492626602099413,2026-08-29 14:17:09.725442,2026-08-29 14:17:48.080767,0 days 00:00:38.355325,0.6371271623140703,0.012651778994983206,15,49,0.7083873790049413,562,222,regression_l1,5.7614518765126815e-08,0.00013546828803587748,0.9598104151621598,"[20.626, 16.129, 12.724]",3.2362462541814425,COMPLETE
42,16.414250902248344,2026-08-29 14:17:48.080881,2026-08-29 14:18:20.888290,0 days 00:00:32.807409,0.5702346296616391,0.012737579945302604,14,54,0.562275634936748,499,241,regression_l1,1.6315110666072092e-07,1.3667467349712422e-05,0.8736350381531747,"[20.56, 16.002, 12.68]",3.2301835750858023,COMPLETE
43,16.459204707009402,2026-08-29 14:18:20.888329,2026-08-29 14:18:45.790342,0 days 00:00:24.902013,0.5691985866413917,0.012798404251773211,14,68,0.5154053751446895,422,242,regression_l1,1.877806869383213e-07,1.0295922571095728e-05,0.8805341334473218,"[20.601, 16.083, 12.694]",3.2387884562478964,COMPLETE
