target,history_depth,n,mae,median_ae,notes
DAYS,FIRST,163,28.158241236783972,20.85147664116596,INTERPRET
DAYS,SECOND,172,25.41019943046134,18.68807154479308,INTERPRET
DAYS,3-4,314,27.262680365304345,18.579370464547413,INTERPRET
DAYS,5-8,616,23.668094038417266,17.342660659640522,INTERPRET
DAYS,9+,1357,19.250635577295842,14.91475246199117,INTERPRET
KM,FIRST,163,1283.397803386314,749.360309967572,INTERPRET
KM,SECOND,172,1233.8303599763692,782.902386044269,INTERPRET
KM,3-4,314,1312.4118801296308,885.2801335902532,INTERPRET
KM,5-8,616,1384.7564693496292,924.2851507180951,INTERPRET
KM,9+,1357,1675.136673451367,1280.8557430131832,INTERPRET
