model,target_transform,params,validation_mae,validation_median_ae,validation_rmse,validation_r2,validation_bias,validation_p90_ae,validation_within_15,validation_within_30,validation_within_45,validation_within_60,validation_within_90,runtime,status,cv_best_mae
GradientBoostingRegressor,RAW,"{""learning_rate"": 0.08, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 100}",21.754273100649925,15.557809930618577,30.96767920221067,0.25424589652022556,1.6564309533245574,49.34944684755945,0.4849896480331263,0.775879917184265,0.8825051759834368,0.9342650103519669,0.9772256728778468,23.78082299232483,SUCCESS,61.15105304352397
BasicV1Reference,RAW,{},22.471393802247718,16.7235993468553,30.363077428568793,0.2830813026327924,2.4353590179966504,50.106079523541865,0.4503105590062112,0.777432712215321,0.8711180124223602,0.9332298136645962,0.9849896480331263,0.0,REFERENCE,
LGBMRegressor,RAW,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 31, ""reg_alpha"": 1, ""reg_lambda"": 5, ""subsample"": 0.8}",22.752542399743106,14.730656275173605,31.691771032390843,0.2189634606827603,-7.982369219524527,56.00048155452685,0.5093167701863354,0.7432712215320911,0.8488612836438924,0.9166666666666666,0.9839544513457557,1.9496209621429443,SUCCESS,62.04347268006826
HistGradientBoostingRegressor,RAW,"{""l2_regularization"": 5, ""learning_rate"": 0.08, ""max_bins"": 255, ""max_depth"": 6, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",23.55405819196617,19.197316527153315,30.174360347111595,0.2919654055308548,3.660358572789579,48.05098852556697,0.37008281573498963,0.7634575569358178,0.889751552795031,0.9399585921325052,0.9880952380952381,2.787336826324463,SUCCESS,61.97928267447713
CatBoostRegressor,RAW,"{""depth"": 9, ""iterations"": 400, ""l2_leaf_reg"": 7, ""learning_rate"": 0.05, ""random_strength"": 1}",24.379883863636795,18.74365713312907,32.772751137990234,0.16477375378200698,6.966309459985415,49.19854528800091,0.37732919254658387,0.7582815734989649,0.8804347826086957,0.9265010351966874,0.977743271221532,16.621044874191284,SUCCESS,60.900981078008726
XGBRegressor,RAW,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 1, ""reg_lambda"": 5, ""subsample"": 1.0}",24.959727374734562,15.761526362101236,34.88601159355074,0.05358639575952995,-12.3666567991047,60.65369492424862,0.48188405797101447,0.7018633540372671,0.8167701863354038,0.8975155279503105,0.9751552795031055,4.645085096359253,SUCCESS,65.09958180667148
CatBoostRegressor,LOG1P,"{""depth"": 9, ""iterations"": 400, ""l2_leaf_reg"": 7, ""learning_rate"": 0.05, ""random_strength"": 1}",25.265674435067837,15.02359056176941,35.976929848228416,-0.00652955462256033,-18.233791989849756,63.44012866882702,0.4994824016563147,0.6713250517598344,0.7976190476190477,0.8840579710144928,0.972567287784679,18.812944173812866,SUCCESS,60.900981078008726
RandomForestRegressor,LOG1P,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",25.471456668609466,20.16660120892353,33.16453924498086,0.14468464466285336,8.584687717492713,50.42999692812383,0.363871635610766,0.7142857142857143,0.8633540372670807,0.9306418219461697,0.9818840579710145,3.648267984390259,SUCCESS,71.53620884519377
GradientBoostingRegressor,LOG1P,"{""learning_rate"": 0.08, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 100}",28.625335011228174,19.11354558155467,40.10371574600362,-0.25068390098821647,-24.457177027334133,70.6398897735591,0.43788819875776397,0.6190476190476191,0.7613871635610766,0.8576604554865425,0.953416149068323,23.38376498222351,SUCCESS,61.15105304352397
ExtraTreesRegressor,LOG1P,"{""bootstrap"": true, ""max_depth"": 18, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",28.6864748924621,22.421571239532,37.82103933391435,-0.11235971284852608,14.542123570239642,54.98697087839901,0.3079710144927536,0.6423395445134575,0.8374741200828157,0.9135610766045549,0.9699792960662525,1.6696648597717285,SUCCESS,67.53854023360317
XGBRegressor,LOG1P,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 1, ""reg_lambda"": 5, ""subsample"": 1.0}",31.266692490936393,19.665176094902886,43.798198634112154,-0.4917320841339492,-27.003923141542234,78.54148579915365,0.4161490683229814,0.615424430641822,0.7298136645962733,0.8203933747412008,0.9373706004140787,5.271773338317871,SUCCESS,65.09958180667148
HistGradientBoostingRegressor,LOG1P,"{""l2_regularization"": 5, ""learning_rate"": 0.08, ""max_bins"": 255, ""max_depth"": 6, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",31.83863721801269,21.572742861913778,44.27630627063952,-0.5244777800011089,-28.330583172262276,77.49274062267509,0.41563146997929606,0.5957556935817805,0.7236024844720497,0.8188405797101449,0.9373706004140787,3.029019832611084,SUCCESS,61.97928267447713
LGBMRegressor,LOG1P,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 250, ""num_leaves"": 31, ""reg_alpha"": 1, ""reg_lambda"": 5, ""subsample"": 0.8}",33.48484661321514,22.54231648693588,46.22694315325277,-0.661761467764719,-31.01191547611465,80.93417634337398,0.39751552795031053,0.5760869565217391,0.69824016563147,0.8007246376811594,0.9290890269151139,2.431800127029419,SUCCESS,62.04347268006826
RandomForestRegressor,RAW,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",43.55537235349968,36.70289062499994,55.31491971625113,-1.3793750630349697,36.231576540916464,81.15394097222216,0.15010351966873706,0.38923395445134573,0.6299171842650103,0.7908902691511387,0.9285714285714286,4.1244049072265625,SUCCESS,71.53620884519377
ExtraTreesRegressor,RAW,"{""bootstrap"": true, ""max_depth"": 18, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",44.44857601143481,36.398094567768126,56.939363528606144,-1.5211782358731543,36.67035848422928,84.39033115145801,0.14751552795031056,0.39751552795031053,0.6174948240165632,0.7789855072463768,0.9182194616977226,1.7109107971191406,SUCCESS,67.53854023360317
