target,metric,v0_value,v1_value,absolute_change,relative_improvement_pct,winner
DAYS,mae,67.41054109598393,23.041617637222444,-44.368923458761486,65.81896946292993,V1
DAYS,median_ae,57.84791666666666,17.75821045001405,-40.089706216652615,69.30190148015002,V1
DAYS,within_30,0.1731502669717772,0.7639206712433257,0.5907704042715485,59.07704042715485,V1
DAYS,within_60,0.5198321891685737,0.9378337147215866,0.41800152555301295,41.800152555301295,V1
DAYS,within_90,0.7456140350877193,0.9816933638443935,0.23607932875667426,23.607932875667426,V1
KM,mae,4515.311594202899,1520.1540946866805,-2995.157499516218,66.33335124339214,V1
KM,median_ae,3981.5,1069.4666591241294,-2912.0333408758706,73.13910186803643,V1
KM,within_1000,0.0339435545385202,0.47177726926010677,0.43783371472158655,43.783371472158656,V1
KM,within_2000,0.0652173913043478,0.7646834477498093,0.6994660564454616,69.94660564454615,V1
KM,within_5000,0.6586575133485889,0.9641495041952708,0.3054919908466819,30.54919908466819,V1
DAYS,r2,-2.7934328237780446,0.4172132315342424,3.210646055312287,,V1
KM,r2,-3.3196202867163924,0.2355400154782752,3.5551603021946674,,V1
