model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestMSE_BAG_L1_FULL,-404.73383815543815,,mean_absolute_error,0.1782982349395752,,104.66229581832886,0.1782982349395752,,104.66229581832886,1,True,16
ExtraTreesMSE_BAG_L1_FULL,-422.2793572267675,,mean_absolute_error,0.21648716926574707,,17.184153079986572,0.21648716926574707,,17.184153079986572,1,True,18
RandomForestMSE_BAG_L2_FULL,-447.77222247754383,,mean_absolute_error,0.6080935001373291,,275.0419387817383,0.15362310409545898,,86.43332481384277,2,True,22
CatBoost_BAG_L2_FULL,-451.5103593189621,,mean_absolute_error,0.4698042869567871,,202.44354891777039,0.015333890914916992,,13.834934949874878,2,True,23
ExtraTreesMSE_BAG_L2_FULL,-456.46251360797817,,mean_absolute_error,0.6316413879394531,,207.19268608093262,0.177170991897583,,18.58407211303711,2,True,24
LightGBMXT_BAG_L2_FULL,-457.48009288619664,,mean_absolute_error,0.4638481140136719,,191.0679578781128,0.009377717971801758,,2.459343910217285,2,True,20
WeightedEnsemble_L3_FULL,-465.4602246401275,,mean_absolute_error,0.4809732437133789,,192.41791677474976,0.0016312599182128906,,0.2843780517578125,3,True,26
LightGBM_BAG_L2_FULL,-471.0351797414877,,mean_absolute_error,0.46032214164733887,,189.72917580604553,0.00585174560546875,,1.1205618381500244,2,True,21
XGBoost_BAG_L2_FULL,-473.3335174923597,,mean_absolute_error,0.46996426582336426,,189.67419481277466,0.01549386978149414,,1.0655808448791504,2,True,25
WeightedEnsemble_L2_FULL,-476.1222805399591,,mean_absolute_error,0.06149911880493164,,66.779128074646,0.001814126968383789,,0.01696300506591797,2,True,19
LightGBMXT_BAG_L1_FULL,-476.1426539811494,,mean_absolute_error,0.02448892593383789,,12.043958902359009,0.02448892593383789,,12.043958902359009,1,True,14
LightGBM_BAG_L1_FULL,-478.6584198019403,,mean_absolute_error,0.014712095260620117,,8.06132197380066,0.014712095260620117,,8.06132197380066,1,True,15
CatBoost_BAG_L1_FULL,-505.5911537207783,,mean_absolute_error,0.020483970642089844,,46.65688419342041,0.020483970642089844,,46.65688419342041,1,True,17
WeightedEnsemble_L3,-595.8838937491116,-595.8838937491116,mean_absolute_error,1.5839786529541016,1.1865909099578857,625.3645527362823,0.0015170574188232422,0.005198240280151367,0.2843780517578125,3,True,13
WeightedEnsemble_L2,-596.4605923886896,-596.4605923886896,mean_absolute_error,0.6682047843933105,0.5082719326019287,509.27198219299316,0.0018780231475830078,0.0003349781036376953,0.01696300506591797,2,True,6
LightGBMXT_BAG_L2,-596.8202723509119,-596.8202723509119,mean_absolute_error,1.4748046398162842,0.9134995937347412,607.8043801784515,0.08463382720947266,0.05636096000671387,16.624234199523926,2,True,7
LightGBMXT_BAG_L1,-599.1344163279336,-599.1344163279336,mean_absolute_error,0.23669791221618652,0.1996479034423828,55.80570363998413,0.23669791221618652,0.1996479034423828,55.80570363998413,1,True,1
XGBoost_BAG_L2,-601.6510780713539,-601.6510780713539,mean_absolute_error,1.4978277683258057,1.1250317096710205,608.4559404850006,0.10765695571899414,0.26789307594299316,17.275794506072998,2,True,12
ExtraTreesMSE_BAG_L2,-602.495394173496,-602.495394173496,mean_absolute_error,1.5537149906158447,1.2941105365753174,629.5272538661957,0.1635441780090332,0.43697190284729004,38.347107887268066,2,True,11
CatBoost_BAG_L2,-602.5853315904643,-602.5853315904643,mean_absolute_error,1.535123586654663,1.2152094841003418,737.9532170295715,0.14495277404785156,0.35807085037231445,146.77307105064392,2,True,10
LightGBM_BAG_L2,-602.7623129992155,-602.7623129992155,mean_absolute_error,1.4527318477630615,0.8955755233764648,604.0314753055573,0.06256103515625,0.0384368896484375,12.851329326629639,2,True,8
LightGBM_BAG_L1,-604.2007645753149,-604.2007645753149,mean_absolute_error,0.1287219524383545,0.1418018341064453,42.00910401344299,0.1287219524383545,0.1418018341064453,42.00910401344299,1,True,2
RandomForestMSE_BAG_L2,-605.2495603674854,-605.2495603674854,mean_absolute_error,1.5441858768463135,1.0236403942108154,650.5707430839539,0.15401506423950195,0.16650176048278809,59.390597105026245,2,True,9
CatBoost_BAG_L1,-612.1766793936429,-612.1766793936429,mean_absolute_error,0.3009068965911865,0.1664872169494629,411.4402115345001,0.3009068965911865,0.1664872169494629,411.4402115345001,1,True,4
RandomForestMSE_BAG_L1,-638.2507161913926,-638.2507161913926,mean_absolute_error,0.4726450443267822,0.1717529296875,68.44042491912842,0.4726450443267822,0.1717529296875,68.44042491912842,1,True,3
ExtraTreesMSE_BAG_L1,-639.0562694594942,-639.0562694594942,mean_absolute_error,0.25119900703430176,0.17744874954223633,13.484701871871948,0.25119900703430176,0.17744874954223633,13.484701871871948,1,True,5
