metric,value
initial_snapshot_column_count,142
initial_candidate_feature_count,142
numeric_feature_count,95
categorical_feature_count,24
boolean_feature_count,8
identifier_count_removed_from_X,4
leakage_columns_removed_from_snapshot,0
constant_columns_removed,5
near_constant_columns_flagged,7
redundant_columns_removed,4
raw_datetime_columns_removed,2
final_raw_feature_count,127
encoded_feature_count,277
feature_null_cells_before,40096
feature_null_cells_after,0
numeric_nulls_before,40096
numeric_nulls_after,0
categorical_nulls_before,0
categorical_nulls_after,0
train_rows,27428
validation_rows,6399
test_rows,7691
