w_XGB_COX,ibs,brier_90,cal_error_90,composite
0.0,0.03816837200402157,0.04277057860024311,0.022256312226601942,0.04431069559723123
0.1,0.037349855635781956,0.04211852707597688,0.018397143894891492,0.04235136551583334
0.2,0.036660451651497845,0.04159596082388596,0.01621212663983935,0.04148668906483069
0.3,0.03610016005116926,0.04120287984397035,0.0165370407748697,0.0410966406020369
0.4,0.03566898083479618,0.04093928413623005,0.017802961704527668,0.0408983151377724
0.5,0.03536691400237861,0.04080517370066505,0.018325645780889115,0.04074195510014621
0.6,0.035193959553916555,0.040800548537275355,0.018158398116956853,0.04060010544970156
0.7,0.03515011748941002,0.040925408646060986,0.01907995450086045,0.04073253375921087
0.8,0.035235387808858994,0.04117975402702191,0.019288928822596745,0.04085980894882305
0.9,0.035449770512263466,0.041563584680158146,0.01917950448008085,0.04102412497044096
1.0,0.03579326559962347,0.042076900605469696,0.020261432774741985,0.04309191095953449
