feature,coefficient,hazard_ratio
annual_km_baseline,0.39877169992110834,1.4899934141605282
policy_interval_km,-0.3316775906132232,0.7177186847968517
days_observed,-0.302369062847497,0.7390652530234995
services_last_365d,0.259107307936399,1.2957728440778473
cumulative_service_spend,-0.25773195821457384,0.7728023476689262
riding_intensity_HIGH,0.1814913574459162,1.1990041742065123
recent_180d_km,0.17542554295864682,1.1917532509266417
recent_vs_long_term_usage_ratio,0.16483205671008866,1.1791950641823654
days_since_previous_service,-0.11655767419351164,0.889978766688864
avg_km_per_day_since_previous_service,0.11530526449769954,1.1222159579803415
customer_type_INDIVIDUAL,-0.10433494275318882,0.900923489085922
motorcycle_age_years,-0.08815612026801954,0.9156179190493954
appointment_service_count,0.08554191567072936,1.0893072194298972
weather_sensitivity,-0.0817983874042871,0.9214577174523222
production_year,-0.07497668653052779,0.927765115500124
avg_km_per_active_day,0.06833458876206996,1.0707235006024889
highway_ratio,-0.061834114714715664,0.940038812464428
customer_type_COMMERCIAL,0.06155710567336904,1.0634912261773724
services_last_90d,0.0559752640322084,1.0575715233579224
riding_intensity_LOW,-0.05455515968135665,0.9469062763687954
initial_mileage_km,0.04903995373485301,1.0502623118037038
avg_service_interval_km,-0.048095045123590516,0.9530432006638803
current_labor_total,-0.0380539686189412,0.9626609860053221
ownership_months,-0.03511606871967444,0.9654933461772319
is_fleet_customer,0.03363389463581485,1.0342059090797415
missingindicator_days_since_previous_service,-0.03211998142937616,0.96839038624593
snapshot_year,-0.03211667675086592,0.9683935864701168
missingindicator_avg_service_interval_km,-0.03196648012317811,0.9685390468446345
missingindicator_avg_km_per_day_since_previous_service,-0.03190209007509451,0.9686014131282942
missingindicator_km_since_previous_service,-0.03188700909101486,0.968616020700933
policy_group_ICE_50_AIR_BELT,0.030641362128315974,1.0311156404482185
missingindicator_historical_interval_days_std,-0.02803750843993652,0.9723518947146056
missingindicator_historical_interval_km_std,-0.027971129005237245,0.9724164410259556
maintenance_overdue_km_pre_service,-0.024976914389404376,0.9753324279130673
current_task_count,0.024060182175780327,1.0243519637655558
city_ratio,0.023288171915098434,1.023561458717245
avg_ride_days_per_week,0.02205813287867281,1.0223032121716698
historical_interval_km_std,-0.021085404419491846,0.9791353385133034
km_since_engine_task,0.020828043056379808,1.021046460512261
km_since_transmission_task,0.02072780560111009,1.020944118542682
brand_Kuba,0.02021979795124172,1.020425602836498
total_inspection_finding_task_count,0.018816493388322135,1.0189946392056426
current_parts_line_count,0.01800103518802561,1.0181640303804607
riding_intensity_MEDIUM,-0.015860146826411525,0.9842649630088876
warranty_service_count,-0.015760814313505716,0.9843627373770348
km_since_tires_wheels_task,0.014193345607166155,1.0142945493767637
appointment_rate,0.012164871079836955,1.012239164073286
missingindicator_current_service_delay_days,-0.011852889025379839,0.9882170797468741
policy_ready_False,-0.010798363392093096,0.9892597296426188
policy_ready_True,0.010770902286646292,1.010829117276266
engine_displacement_cc,-0.00987617066294749,0.9901724385546093
snapshot_month_sin,-0.009483238675785323,0.990561585427644
customer_volume_index,-0.009260564427266495,0.9907821825440278
periodic_service_count,0.009186519419308746,1.0092288449977975
repair_service_count,-0.008479631900234244,0.9915562187732772
current_is_breakdown,0.00805787296451589,1.0080904249975122
snapshot_month_cos,-0.006513910818561531,0.9935072587081045
km_since_electrical_task,0.0064883084885082095,1.0065094031602633
seasonality_strength,-0.006271127942710319,0.9937484945403324
service_bay_count,0.005807883366097959,1.0058247818196042
current_supplier_parts_line_count,-0.004800733114343828,0.9952107719865376
current_parts_total,0.004762455676111632,1.0047738141924636
km_since_final_drive_task,0.003936436507186874,1.0039441944495835
service_odometer_regression_count_to_date,-0.003786727544025002,0.9962204330674417
snapshot_month,0.0034830142471469513,1.003489086989706
km_since_intake_task,-0.002848036450463258,0.9971560153578696
load_severity_factor,0.0027477543921877287,1.0027515329293257
current_arrival_mode_WALK_IN,0.0024662544039330053,1.0024692981109964
current_arrival_mode_APPOINTMENT,-0.002441270552485647,0.997561706925034
total_declined_task_count,-0.002239100378407039,0.9977634045369108
current_replace_task_count,0.0019398449799671038,1.0019417276964362
historical_interval_days_std,-0.0011212213266583054,0.9988794070071176
is_left_truncated,0.000895605458920376,1.000896006633245
days_since_intake_task,-0.0008671456561953008,0.999133230205949
avg_service_spend,-0.0005379723830415546,0.9994621722981549
