target,model,mae,median_ae,r2,within_30,within_60,within_1000,within_2000
DAYS,V1.2 Basic,23.041617637222444,17.75821045001405,0.4172132315342424,0.7639206712433257,0.9378337147215866,,
DAYS,V1.2 Advanced,22.205754257969563,16.55511119409106,0.4348909015225443,0.7833714721586575,0.9420289855072465,,
DAYS,V1.2 AutoML,20.80525528644605,14.15703017162496,0.4378646519191093,0.8012967200610221,0.9336384439359268,,
DAYS,V1.3 Basic HGB,22.624212096647877,12.936015458485178,0.6471192269830612,0.7683307332293292,0.9180967238689548,,
DAYS,V1.3 Final Regression,22.210360650430488,12.874500788935908,0.6604824242158305,0.766770670826833,0.9227769110764431,,
KM,V1.2 Basic,1520.1540946866803,1069.4666591241294,0.2355400154782752,,,0.4717772692601067,0.7646834477498093
KM,V1.2 Advanced,1510.1756083987357,1091.4747835047751,0.2481438988050031,,,0.463768115942029,0.7536231884057971
KM,V1.2 AutoML,1402.564641630986,656.8043212890625,0.1386213522567287,,,0.6174675819984744,0.7742181540808543
KM,V1.3 Basic HGB,948.1862312514829,699.071955575625,0.4249777267322524,,,0.6396255850234009,0.8829953198127926
KM,V1.3 Final Regression,1003.2490325070767,762.7020263671875,0.39058447902413906,,,0.609204368174727,0.8814352574102964
