formulation,target,model,val_mae,val_r2,coverage
RAW_ANY,DAYS,HistGradientBoostingRegressor(default),22.471393802247718,0.2830813026327924,1.0
RAW_ANY,DAYS,LGBMRegressor,21.518107913732212,0.2808713307441604,1.0
RAW_ANY,DAYS,CatBoostRegressor,22.050871750105166,0.25037136095808254,1.0
RAW_ANY,DAYS,XGBRegressor,23.224856374577488,0.16189344729000243,1.0
RAW_ANY,DAYS,ExtraTreesRegressor,32.26698080393087,-0.21051352560132686,1.0
V0_RESIDUAL_ANY,DAYS,HistGradientBoostingRegressor(default),22.0922565844934,0.2810260649309937,1.0
V0_RESIDUAL_ANY,DAYS,CatBoostRegressor,21.214670119550725,0.258744783644565,1.0
V0_RESIDUAL_ANY,DAYS,LGBMRegressor,21.77055863555919,0.2529072137445868,1.0
V0_RESIDUAL_ANY,DAYS,XGBRegressor,23.42057988309135,0.14725808144466623,1.0
V0_RESIDUAL_ANY,DAYS,ExtraTreesRegressor,33.80053622836562,-0.36342952388486593,1.0
