feature,gain
current_primary_trigger_task_ENGINE_OIL_CHANGE,229.8056640625
riding_intensity_HIGH,135.35755920410156
annual_km_baseline,130.31251525878906
days_since_previous_service,98.90929412841797
is_fleet_customer,54.800846099853516
engine_displacement_cc,54.052371978759766
customer_type_INDIVIDUAL,44.50522232055664
cooling_type_AIR,44.3243408203125
policy_interval_km,37.30308151245117
services_last_365d,36.679664611816406
days_observed,33.171695709228516
cooling_type_LIQUID,30.52739715576172
riding_intensity_MEDIUM,30.399581909179688
avg_km_per_day_since_previous_service,29.241138458251953
snapshot_year,28.20981788635254
recent_180d_km,28.141799926757812
current_mileage_source_ESTIMATED,27.209186553955078
breakdown_service_count,26.11557388305664
riding_intensity_LOW,25.215394973754883
transmission_type_SEMI_AUTO_4,22.655101776123047
periodic_service_count,22.088397979736328
policy_group_ICE_50_AIR_BELT,21.846805572509766
warranty_service_count,21.572107315063477
price_level_MEDIUM,20.512834548950195
avg_service_spend,20.09888458251953
