target,bin,n,mean_pred,mean_actual,mae,bias
DAYS,0,129,34.19372446246459,33.95249650086132,6.553793873041629,0.24122796160325227
DAYS,1,128,47.162143411445996,46.514830548321754,9.424535190336254,0.6473128631242329
DAYS,2,128,57.64688641316171,56.50215603298611,11.50974244093484,1.144730380175597
DAYS,3,128,68.9419689764716,69.2842835828993,13.31866753710423,-0.34231460642770895
DAYS,4,128,82.65584222240294,81.50975640190973,15.953620674331994,1.146085820493224
DAYS,5,128,100.89375331120699,99.37212357132523,18.777698787824217,1.5216297398817553
DAYS,6,128,122.67318622690968,124.39695475260416,20.964579466336765,-1.7237685256945023
DAYS,7,128,150.9262882481851,157.13676106770833,28.174748791976263,-6.210472819523236
DAYS,8,128,190.80946964532288,182.67088288483797,27.568041147307632,8.138586760484905
DAYS,9,129,261.8855930879879,195.2386838752512,67.15390530232695,66.64690921273666
KM,0,129,1789.843275778123,1567.062015503876,579.5165101781405,222.78126027424702
KM,1,128,2557.1542911020592,2276.8515625,647.1628668981949,280.30272860205906
KM,2,128,2820.6074800878937,2608.671875,647.8762604753517,211.9356050878936
KM,3,128,3075.4359396609907,2743.9296875,672.0642824473672,331.5062521609904
KM,4,128,3418.205768235086,3200.765625,847.2965598453445,217.44014323508588
KM,5,128,3932.824092808789,3724.7890625,952.5912298302591,208.03503030878895
KM,6,128,4394.599516322289,4094.921875,1139.553998648796,299.6776413222884
KM,7,128,4758.9753848866785,4224.0,1175.650755432875,534.9753848866778
KM,8,128,5220.4889747628895,4782.2890625,1230.1256879859804,438.1999122628889
KM,9,129,6369.726240900245,5803.038759689923,1506.471801637167,566.6874812103227
