number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eta,params_gamma,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.05254002655624832,2026-08-30 23:33:04.428049,2026-08-30 23:33:10.973022,0 days 00:00:06.544973,0.5780093202212182,0.03574712922600244,0.0037758875456826873,6,12.057126287443763,469,0.0016400214911202306,7.232250142857396,0.8394633936788146,COMPLETE
1,0.06209273076178024,2026-08-30 23:33:10.973086,2026-08-30 23:33:13.694685,0 days 00:00:02.721599,0.6061695553391381,0.11114989443094977,0.004705059281907649,2,27.08160864249967,424,0.004768785415482609,0.1009979991048342,0.9329770563201687,COMPLETE
2,0.0650616381709322,2026-08-30 23:33:13.694746,2026-08-30 23:33:15.867540,0 days 00:00:02.172794,0.6460723242676091,0.04345454109729477,0.022654864504851786,3,8.012737503998538,236,0.04863951003835899,3.9074137500162616,0.6557975442608167,COMPLETE
3,0.0534467711504055,2026-08-30 23:33:15.867589,2026-08-30 23:33:20.987934,0 days 00:00:05.120345,0.5852620618436457,0.05748924681991978,0.0017402990823522548,4,1.1711509955524093,589,3.2351851456174283,15.402113021890798,0.8430179407605753,COMPLETE
4,0.07263935250469072,2026-08-30 23:33:20.987969,2026-08-30 23:33:22.953371,0 days 00:00:01.965402,0.5610191174223894,0.028180680291847244,0.06786479434196534,2,10.249322216924156,270,0.0013403002793227008,10.039080181561518,0.7760609974958405,COMPLETE
5,0.05435896237654802,2026-08-30 23:33:22.953410,2026-08-30 23:33:27.433980,0 days 00:00:04.480570,0.5924272277627636,0.09519754482692679,3.8589082671053845,3,5.864129169696525,639,0.7365344466688368,12.627407242820357,0.8186841117373118,COMPLETE
6,0.11768896258699656,2026-08-30 23:33:27.434061,2026-08-30 23:33:34.447215,0 days 00:00:07.013154,0.522613644455269,0.0764136186923332,0.01597302366130558,6,1.3511829476450818,601,0.02739716567160666,0.07865589790890784,0.678393144967658,COMPLETE
7,0.06733438018208988,2026-08-30 23:33:34.447253,2026-08-30 23:33:36.677287,0 days 00:00:02.230034,0.9010984903770198,0.03364867144187955,0.0018869508789698256,3,6.333268775321839,235,4.471622947037383,3.5416296712651327,0.6563696899899051,COMPLETE
8,0.05817534646299058,2026-08-30 23:33:36.677322,2026-08-30 23:33:45.455769,0 days 00:00:08.778447,0.8856351733429728,0.010189592979395137,0.0018788363146234185,6,11.06914321939345,621,0.021181366627251397,0.024126106525698857,0.8916028672163949,COMPLETE
9,0.05751721657388875,2026-08-30 23:33:45.455810,2026-08-30 23:33:48.517091,0 days 00:00:03.061281,0.6625916610133735,0.08330803890301997,0.49979438035802615,3,1.241318963529422,394,0.22819491501562753,8.486251057078476,0.7243929286862648,COMPLETE
10,0.05654524704202852,2026-08-30 23:33:48.517127,2026-08-30 23:33:53.125164,0 days 00:00:04.608037,0.7606700059313507,0.2489323150846178,0.35744005701785786,5,2.847748683027989,451,0.0011376746438817116,1.142311598888133,0.972916136764715,COMPLETE
11,0.057387503958295165,2026-08-30 23:33:53.125200,2026-08-30 23:33:58.926547,0 days 00:00:05.801347,0.7547767522796348,0.018410292009373875,0.00118625021680049,5,19.265640527744946,530,3.1117392115493954,0.780639843082813,0.8374631863167907,COMPLETE
12,0.05754936360942039,2026-08-30 23:33:58.926583,2026-08-30 23:34:04.571270,0 days 00:00:05.644687,0.6826317856003861,0.02052410089329706,0.007532798638414715,5,2.856574214774315,517,0.2097164163918987,19.164626065578428,0.8758146404482569,COMPLETE
13,0.051788508209368554,2026-08-30 23:34:04.571308,2026-08-30 23:34:10.087345,0 days 00:00:05.516037,0.5024603566774737,0.17795141500669132,0.005926020450288378,4,2.811697001164019,699,0.007825362259771975,2.221440314478493,0.7631435327819819,COMPLETE
14,0.05281798160203364,2026-08-30 23:34:10.087381,2026-08-30 23:34:12.954249,0 days 00:00:02.866868,0.5141145615795149,0.20336679091269935,0.061272891318600906,4,4.222516705099523,315,0.005597432786314919,1.9081014095032909,0.7493033372902733,COMPLETE
15,0.054158039399435066,2026-08-30 23:34:12.954287,2026-08-30 23:34:19.477294,0 days 00:00:06.523007,0.8202139292383122,0.14936469211264394,0.007121958009668702,5,2.2936911209088384,687,0.005811155415859054,0.25445699432917185,0.6043956756975085,COMPLETE
16,0.052143877182249186,2026-08-30 23:34:19.477331,2026-08-30 23:34:21.512551,0 days 00:00:02.035220,0.5014382915677875,0.15922962859438355,0.018718371553253194,6,14.77189799711826,127,0.002635659017638766,3.466759647404538,0.779510029550221,COMPLETE
17,0.05661117091561783,2026-08-30 23:34:21.512587,2026-08-30 23:34:23.197617,0 days 00:00:01.685030,0.5028653306200428,0.16473752897539998,0.024876237652346592,4,4.323444823345438,138,0.012380306890491131,2.111636880200536,0.7400877085760429,COMPLETE
18,0.05284460953091133,2026-08-30 23:34:23.197656,2026-08-30 23:34:25.073501,0 days 00:00:01.875845,0.6685086373575645,0.2981089953957111,0.2671077352451491,5,18.143983358976907,134,0.0033562890743265377,0.3925526064718562,0.7839944835498074,COMPLETE
19,0.05308411115711741,2026-08-30 23:34:25.073544,2026-08-30 23:34:28.237611,0 days 00:00:03.164067,0.7177427619985812,0.14015616972200226,0.18680228397533005,4,1.9835286801746923,346,0.10161954212224342,0.8764752134440671,0.7000438020476134,COMPLETE
20,0.05172149537440566,2026-08-30 23:34:28.237649,2026-08-30 23:34:31.067799,0 days 00:00:02.830150,0.964051434116436,0.20811796761492318,1.2644696382619456,6,29.61731536915932,188,0.015193338498702472,0.010923483145349067,0.7856089086461786,COMPLETE
21,0.05146122924765415,2026-08-30 23:34:31.067839,2026-08-30 23:34:33.847954,0 days 00:00:02.780115,0.9867145705142459,0.19215293084840904,4.246931754866179,6,22.65799649238008,190,0.012829601026645576,0.01141039320702226,0.7844171682610588,COMPLETE
22,0.05222338091097773,2026-08-30 23:34:33.847993,2026-08-30 23:34:36.665352,0 days 00:00:02.817359,0.9924877640196222,0.22009794168458488,4.735850556656784,6,27.767337124511553,196,0.013060337332330245,0.011033481216507197,0.7993599823182003,COMPLETE
23,0.05270756464284134,2026-08-30 23:34:36.665391,2026-08-30 23:34:39.095571,0 days 00:00:02.430180,0.9810823211342937,0.11883834866827826,1.430627322441908,5,21.509623586339174,185,0.01090910978734248,0.010344467126270886,0.7531543015479063,COMPLETE
24,0.05304027446998505,2026-08-30 23:34:39.095609,2026-08-30 23:34:43.245270,0 days 00:00:04.149661,0.9374303023042589,0.28622088106917976,1.6511769506815452,6,26.88369107980672,316,0.04554358237510641,0.029702719806924592,0.8800953188604056,COMPLETE
25,0.05199318185644658,2026-08-30 23:34:43.245305,2026-08-30 23:34:47.284225,0 days 00:00:04.038920,0.8216365147313218,0.19646123525884682,1.1671951112489802,5,14.909927943844572,377,0.008813977915381084,0.02644812720881016,0.7131162632316068,COMPLETE
26,0.05570875377357304,2026-08-30 23:34:47.284262,2026-08-30 23:34:50.135777,0 days 00:00:02.851515,0.9534983900630843,0.0680233220074712,0.6617715306861752,4,3.7360259949935335,277,0.027262172825204944,0.062135325361660596,0.8078763980136556,COMPLETE
27,0.052851078150929875,2026-08-30 23:34:50.135811,2026-08-30 23:34:52.984145,0 days 00:00:02.848334,0.8604648723182704,0.11788368329207298,0.134446218752856,6,8.263775387420031,187,0.1216471366735416,0.2000396800164782,0.7558302666624819,COMPLETE
28,0.05265628833623745,2026-08-30 23:34:52.984179,2026-08-30 23:34:59.700900,0 days 00:00:06.716721,0.9158840279963769,0.21264817485284593,1.8013183208773977,5,29.795380049898988,679,0.019471445840024065,0.01727486863035538,0.8620130541860557,COMPLETE
29,0.11845565180157612,2026-08-30 23:34:59.700937,2026-08-30 23:35:04.597010,0 days 00:00:04.896073,0.8060473682388233,0.18043684351656572,2.592627858785069,6,1.893124600345292,496,0.0025139738786818344,0.05720019930230246,0.9193118237244459,COMPLETE
30,0.055347774705653476,2026-08-30 23:35:04.597048,2026-08-30 23:35:07.075211,0 days 00:00:02.478163,0.9597977223447892,0.09517897700826014,0.7716887959905709,4,13.48895913855024,230,0.033694560535324845,0.14328096266490364,0.8167496774130989,COMPLETE
31,0.05304083443241075,2026-08-30 23:35:07.075250,2026-08-30 23:35:11.730208,0 days 00:00:04.654958,0.8252034726403086,0.23591555952830903,1.063202665439897,6,15.734520296618639,372,0.008584544582613981,0.03791368160196164,0.7111298376463481,COMPLETE
32,0.05075716464975227,2026-08-30 23:35:11.730246,2026-08-30 23:35:17.608424,0 days 00:00:05.878178,0.8635875866844104,0.13246281308234473,2.2862262220685334,5,22.011080214939653,561,0.00727752469220942,0.018747796536439914,0.6878173716470217,COMPLETE
33,0.05144556706140946,2026-08-30 23:35:17.608458,2026-08-30 23:35:24.526307,0 days 00:00:06.917849,0.8642028225041954,0.13159570388943923,2.405517336670374,6,23.271699337703456,569,0.0036500623909513615,0.015653431662584007,0.6311631983195254,COMPLETE
34,0.051596187083444316,2026-08-30 23:35:24.526342,2026-08-30 23:35:31.251587,0 days 00:00:06.725245,0.8790677816007932,0.12649942525468533,2.8076957552095356,6,22.701070351741542,559,0.0035758719299998363,0.014719404413757414,0.6127464145882133,COMPLETE
35,0.05084399396992967,2026-08-30 23:35:31.251626,2026-08-30 23:35:38.378249,0 days 00:00:07.126623,0.855723927108388,0.05589785457490767,2.546737177506565,6,22.478847634890037,577,0.0034169290917243074,0.019265196191597785,0.6047137079162314,COMPLETE
36,0.05133682410843288,2026-08-30 23:35:38.378286,2026-08-30 23:35:43.906503,0 days 00:00:05.528217,0.7880354462885717,0.049316683381593535,4.993505770162185,6,22.749598572879194,444,0.0021304008551383596,0.0378070993669954,0.6310767519859503,COMPLETE
37,0.05242949709115984,2026-08-30 23:35:43.906538,2026-08-30 23:35:48.831447,0 days 00:00:04.924909,0.7873272688338385,0.049063755379702256,2.520034072421631,5,9.92690920713949,455,0.0022321698242881503,0.04238518981080053,0.6338144957121519,COMPLETE
38,0.05026595128964547,2026-08-30 23:35:48.831486,2026-08-30 23:35:55.934692,0 days 00:00:07.103206,0.8375557340629328,0.058110951070405335,2.5381472551885675,6,17.829912924997537,568,0.0017224935780425932,0.09994280435009875,0.6455693722576635,COMPLETE
39,0.05085117443735523,2026-08-30 23:35:55.934727,2026-08-30 23:36:03.793907,0 days 00:00:07.859180,0.7203614782353087,0.03721620933205129,4.43905223178101,6,17.076009830702482,648,0.0016742617276914924,0.10496642758494085,0.6746639308249753,COMPLETE
40,0.06391288230768924,2026-08-30 23:36:03.793942,2026-08-30 23:36:07.647245,0 days 00:00:03.853303,0.7210596599593866,0.03846793275932856,0.6221279936139964,2,8.820742237486312,643,0.0010124266071124199,0.1096569288610712,0.6761386420710609,COMPLETE
41,0.05013597269167281,2026-08-30 23:36:07.647281,2026-08-30 23:36:14.931328,0 days 00:00:07.284047,0.8475429989649401,0.05858701717404125,4.79268782658841,6,18.347422429608567,603,0.001688830288572431,0.08219888648531636,0.6567488078997371,COMPLETE
42,0.050727968088128565,2026-08-30 23:36:14.931364,2026-08-30 23:36:22.583669,0 days 00:00:07.652305,0.8405664732032344,0.05984768226828857,3.259504724795618,6,17.42825022177732,608,0.0018008508528195722,0.10094049105439108,0.6634709857108838,COMPLETE
43,0.05051314541697375,2026-08-30 23:36:22.583705,2026-08-30 23:36:30.059879,0 days 00:00:07.476174,0.8542578844625922,0.07003937297983027,3.2674314038935384,6,13.060194950498971,599,0.0015969745309304905,0.07173967610227867,0.6548073551883616,COMPLETE
44,0.05085103912727614,2026-08-30 23:36:30.059949,2026-08-30 23:36:36.591198,0 days 00:00:06.531249,0.9137734790649871,0.0659848446306624,1.8519928051012313,5,6.923373002949405,608,0.0015353137604598123,0.1725362462161754,0.6573572818926978,COMPLETE
45,0.05160429684396552,2026-08-30 23:36:36.591234,2026-08-30 23:36:43.606847,0 days 00:00:07.015613,0.8425069015144658,0.09486957413230321,0.8709911518631847,6,12.821930834202567,549,0.0015960967944973407,0.08159693164535475,0.6862822700535469,COMPLETE
46,0.05083712021351091,2026-08-30 23:36:43.606892,2026-08-30 23:36:49.120943,0 days 00:00:05.514051,0.8868747805674475,0.08023840893673691,0.49964311683019086,5,11.279697956301623,510,0.001076860485068248,0.32915041506545356,0.6487561145632187,COMPLETE
47,0.051410424564161804,2026-08-30 23:36:49.120977,2026-08-30 23:36:56.882047,0 days 00:00:07.761070,0.7862230154159436,0.032077635125010114,3.245697561927073,6,19.212409989405636,616,0.004728320241406941,0.5261922812884211,0.658757924913646,COMPLETE
48,0.05603302119242213,2026-08-30 23:36:56.882081,2026-08-30 23:37:02.386906,0 days 00:00:05.504825,0.8414427706051472,0.023585013561355377,3.248391578635433,5,12.277797168345629,477,1.1294262934983028,0.0581762212480384,0.6903528935515741,COMPLETE
49,0.0554863045538836,2026-08-30 23:37:02.386946,2026-08-30 23:37:07.305060,0 days 00:00:04.918114,0.9012063425534079,0.06497290368274425,1.8239067918171636,3,17.604217676187744,658,0.005497251942217432,0.12881153131718562,0.7324426163210918,COMPLETE
50,0.051121162163379065,2026-08-30 23:37:07.305096,2026-08-30 23:37:14.451908,0 days 00:00:07.146812,0.7696444848903532,0.045241133596374626,0.33920783681475725,6,9.655997626443888,542,0.00200168466996119,0.24177518978815982,0.6412912520651303,COMPLETE
51,0.05107198581055888,2026-08-30 23:37:14.451947,2026-08-30 23:37:20.147663,0 days 00:00:05.695716,0.8783407101655422,0.07624371812314307,1.0030969362250524,5,14.256347609397825,512,0.0014674426374705677,0.37913613283498676,0.646031981447137,COMPLETE
52,0.05078235364256801,2026-08-30 23:37:20.147702,2026-08-30 23:37:26.614786,0 days 00:00:06.467084,0.8881340643276632,0.08567015138952062,0.09277648255244299,5,16.778418655912684,590,0.0012104071277162843,0.08087871721967074,0.6179823582254828,COMPLETE
53,0.05078525651062543,2026-08-30 23:37:26.614823,2026-08-30 23:37:34.604520,0 days 00:00:07.989697,0.9281110083898562,0.060043377390317496,0.03953079403989931,6,19.578139411797636,598,0.0027870342944294278,0.07732157112884233,0.6143847090698105,COMPLETE
54,0.05092791609744229,2026-08-30 23:37:34.604557,2026-08-30 23:37:42.491130,0 days 00:00:07.886573,0.8384908435118392,0.07376138748728611,0.0038614268628317876,6,16.976612807657524,585,0.0010414361312988212,0.0473475874211348,0.6616303645400572,COMPLETE
55,0.051428383589909275,2026-08-30 23:37:42.491206,2026-08-30 23:37:49.523645,0 days 00:00:07.032439,0.8081771531136779,0.09680502458384953,0.012775976518001147,5,11.788569070550658,621,0.0018608866092298425,0.0819215523350467,0.6225368096886361,COMPLETE
56,0.0507090894122233,2026-08-30 23:37:49.523697,2026-08-30 23:37:59.190994,0 days 00:00:09.667297,0.8939696091276434,0.1048208462706834,0.12907694782943366,6,25.83378762976478,670,0.004886096234309751,0.1318590139690926,0.6717166685315122,COMPLETE
57,0.050617531672073036,2026-08-30 23:37:59.191037,2026-08-30 23:38:07.568190,0 days 00:00:08.377153,0.8692759219888936,0.10276466169038488,3.876509217369805,6,20.15707133215627,674,0.006991895177378241,0.1358583587989496,0.7026663302522422,COMPLETE
58,0.050569911118199244,2026-08-30 23:38:07.568232,2026-08-30 23:38:16.924325,0 days 00:00:09.356093,0.9025736459782038,0.05175778728097432,3.4167317692036434,6,25.2264343861146,673,0.004449930378178389,0.16297590711257534,0.6713355992560553,COMPLETE
59,0.050488555945529784,2026-08-30 23:38:16.924364,2026-08-30 23:38:25.325786,0 days 00:00:08.401422,0.9330528350893665,0.10938769237325859,3.6841513482597934,6,26.122353108159814,671,0.004503228376215449,0.15754095440086807,0.707226333860087,COMPLETE
60,0.050762779656258326,2026-08-30 23:38:25.325826,2026-08-30 23:38:35.234967,0 days 00:00:09.909141,0.9346962237976605,0.041794174430894594,3.427431418075842,6,24.60605138539133,697,0.004337122106845293,0.19266175444559225,0.7064403251431125,COMPLETE
61,0.05052692640309445,2026-08-30 23:38:35.235005,2026-08-30 23:38:43.672574,0 days 00:00:08.437569,0.913739164797507,0.09876234192417492,4.000238606312795,6,25.88857019671646,672,0.006587351910312027,0.5905810702453216,0.6726951560240236,COMPLETE
62,0.050495199430055114,2026-08-30 23:38:43.672613,2026-08-30 23:38:51.329795,0 days 00:00:07.657182,0.9104646440608446,0.10715080772399613,4.157852491784392,6,20.560628136477458,630,0.006763221802774877,0.6812074342773743,0.7250588068241774,COMPLETE
