task_column,task_code,positive_count,positive_rate,negative_count,imbalance_ratio_negative_to_positive
task__ENGINE_OIL_CHANGE,ENGINE_OIL_CHANGE,23687,0.9387310268299449,1546,0.0652678684510491
task__BATTERY_TEST,BATTERY_TEST,9979,0.3954741806364681,15254,1.528610081170458
task__AIR_FILTER_INSPECTION,AIR_FILTER_INSPECTION,9854,0.3905203503348789,15379,1.5606860158311346
task__BRAKE_FLUID_CHECK,BRAKE_FLUID_CHECK,8736,0.3462132921174652,16497,1.8883928571428572
task__AIR_FILTER_CHANGE,AIR_FILTER_CHANGE,8223,0.3258827725597432,17010,2.068588106530463
task__GENERAL_SAFETY_INSPECTION,GENERAL_SAFETY_INSPECTION,7842,0.31078349780049935,17391,2.217674062739097
task__CHAIN_CLEAN,CHAIN_CLEAN,6854,0.2716284230967384,18379,2.681499854099796
task__CHAIN_LUBRICATE,CHAIN_LUBRICATE,5483,0.21729481234890818,19750,3.602042677366405
task__CHAIN_INSPECTION,CHAIN_INSPECTION,3541,0.14033210478341854,21692,6.125953120587405
task__FORK_INSPECTION,FORK_INSPECTION,3248,0.1287203265564935,21985,6.76878078817734
task__BRAKE_FLUID_CHANGE,BRAKE_FLUID_CHANGE,3199,0.12677842507827053,22034,6.887777430447015
task__CVT_BELT_INSPECTION,CVT_BELT_INSPECTION,3190,0.12642174929655609,22043,6.9100313479623825
task__CVT_CASE_INSPECTION,CVT_CASE_INSPECTION,3049,0.12083382871636349,22184,7.275828140373893
task__FRONT_BRAKE_PAD_INSPECTION,FRONT_BRAKE_PAD_INSPECTION,2407,0.09539095628740142,22826,9.483174075612796
task__CVT_ROLLER_INSPECTION,CVT_ROLLER_INSPECTION,2239,0.08873300836206555,22994,10.269763287181778
task__VALVE_CLEARANCE_INSPECTION,VALVE_CLEARANCE_INSPECTION,2177,0.08627590853247731,23056,10.59072117593018
task__SPARK_PLUG_INSPECTION,SPARK_PLUG_INSPECTION,1897,0.07517932865691752,23336,12.30152872957301
task__WHEEL_BEARING_INSPECTION,WHEEL_BEARING_INSPECTION,1830,0.07252407561526572,23403,12.788524590163934
task__CVT_BELT_CHANGE,CVT_BELT_CHANGE,1778,0.07046328220980462,23455,13.191788526434197
task__FRONT_TIRE_INSPECTION,FRONT_TIRE_INSPECTION,1733,0.06867990330123251,23500,13.560300057703405
task__FINAL_GEAR_OIL_CHANGE,FINAL_GEAR_OIL_CHANGE,1426,0.05651329608052946,23807,16.694950911640955
task__SPARK_PLUG_CHANGE,SPARK_PLUG_CHANGE,1425,0.05647366543811675,23808,16.70736842105263
task__COOLANT_LEVEL_CHECK,COOLANT_LEVEL_CHECK,1385,0.05488843974160821,23848,17.218772563176895
task__REAR_TIRE_INSPECTION,REAR_TIRE_INSPECTION,985,0.03903618277652281,24248,24.61725888324873
task__REAR_BRAKE_PAD_INSPECTION,REAR_BRAKE_PAD_INSPECTION,900,0.03566757817144216,24333,27.036666666666665
task__STEERING_BEARING_INSPECTION,STEERING_BEARING_INSPECTION,791,0.03134783814845639,24442,30.900126422250317
task__CLUTCH_FREE_PLAY_CHECK,CLUTCH_FREE_PLAY_CHECK,680,0.026948836840645186,24553,36.10735294117647
task__COOLANT_CHANGE,COOLANT_CHANGE,508,0.020132366345658462,24725,48.67125984251968
task__ECU_DIAGNOSTIC_SCAN,ECU_DIAGNOSTIC_SCAN,496,0.0196567986367059,24737,49.872983870967744
task__FORK_SEAL_CHANGE,FORK_SEAL_CHANGE,259,0.010264336384892799,24974,96.42471042471043
task__WHEEL_BALANCE,WHEEL_BALANCE,259,0.010264336384892799,24974,96.42471042471043
task__WHEEL_BEARING_CHANGE,WHEEL_BEARING_CHANGE,252,0.009986921888003805,24981,99.13095238095238
task__ENGINE_FAULT_DIAGNOSTIC,ENGINE_FAULT_DIAGNOSTIC,236,0.009352831609400388,24997,105.91949152542372
task__BATTERY_CHANGE,BATTERY_CHANGE,230,0.009115047754924107,25003,108.70869565217392
task__FUEL_SYSTEM_DIAGNOSTIC,FUEL_SYSTEM_DIAGNOSTIC,230,0.009115047754924107,25003,108.70869565217392
task__STEERING_BEARING_CHANGE,STEERING_BEARING_CHANGE,228,0.009035786470098681,25005,109.67105263157895
task__THROTTLE_BODY_CLEAN,THROTTLE_BODY_CLEAN,226,0.008956525185273253,25007,110.65044247787611
task__BRAKE_SYSTEM_BLEED,BRAKE_SYSTEM_BLEED,223,0.008837633258035113,25010,112.152466367713
task__VALVE_CLEARANCE_ADJUST,VALVE_CLEARANCE_ADJUST,223,0.008837633258035113,25010,112.152466367713
task__BRAKE_DISC_CHANGE,BRAKE_DISC_CHANGE,218,0.008639480045971546,25015,114.74770642201835
task__REAR_TIRE_CHANGE,REAR_TIRE_CHANGE,218,0.008639480045971546,25015,114.74770642201835
task__FUEL_INJECTOR_CLEAN,FUEL_INJECTOR_CLEAN,217,0.008599849403558832,25016,115.28110599078342
task__BRAKE_FAULT_DIAGNOSTIC,BRAKE_FAULT_DIAGNOSTIC,194,0.007688344628066421,25039,129.06701030927834
task__ELECTRICAL_FAULT_DIAGNOSTIC,ELECTRICAL_FAULT_DIAGNOSTIC,192,0.007609083343240994,25041,130.421875
task__TRANSMISSION_FAULT_DIAGNOSTIC,TRANSMISSION_FAULT_DIAGNOSTIC,134,0.00531050608330361,25099,187.30597014925374
task__ABS_DIAGNOSTIC,ABS_DIAGNOSTIC,133,0.005270875440890897,25100,188.7218045112782
task__BRAKE_DISC_INSPECTION,BRAKE_DISC_INSPECTION,130,0.005151983513652756,25103,193.1
task__INTAKE_LEAK_INSPECTION,INTAKE_LEAK_INSPECTION,129,0.0051123528712400425,25104,194.6046511627907
task__ENGINE_COMPRESSION_TEST,ENGINE_COMPRESSION_TEST,128,0.0050727222288273295,25105,196.1328125
task__CHARGING_SYSTEM_TEST,CHARGING_SYSTEM_TEST,125,0.004953830301589189,25108,200.864
task__AIR_FILTER_CLEAN,AIR_FILTER_CLEAN,123,0.004874569016763762,25110,204.14634146341464
task__FRONT_TIRE_CHANGE,FRONT_TIRE_CHANGE,120,0.004755677089525621,25113,209.275
task__OIL_LEAK_INSPECTION,OIL_LEAK_INSPECTION,120,0.004755677089525621,25113,209.275
task__COOLING_FAULT_DIAGNOSTIC,COOLING_FAULT_DIAGNOSTIC,118,0.004676415804700194,25115,212.83898305084745
task__INTAKE_FAULT_DIAGNOSTIC,INTAKE_FAULT_DIAGNOSTIC,95,0.0037649110292077835,25138,264.61052631578946
task__SUSPENSION_FAULT_INSPECTION,SUSPENSION_FAULT_INSPECTION,92,0.003646019101969643,25141,273.2717391304348
task__CVT_BELT_FAILURE_DIAGNOSTIC,CVT_BELT_FAILURE_DIAGNOSTIC,79,0.003130820750604367,25154,318.40506329113924
task__TIRE_WHEEL_FAULT_INSPECTION,TIRE_WHEEL_FAULT_INSPECTION,77,0.0030515594657789403,25156,326.7012987012987
task__CLUTCH_PLATE_CHANGE,CLUTCH_PLATE_CHANGE,65,0.002575991756826378,25168,387.2
task__CLUTCH_ADJUST,CLUTCH_ADJUST,58,0.0022985772599373837,25175,434.05172413793105
task__STEERING_FAULT_INSPECTION,STEERING_FAULT_INSPECTION,50,0.0019815321206356753,25183,503.66
task__CLUTCH_PLATE_INSPECTION,CLUTCH_PLATE_INSPECTION,44,0.0017437482661593945,25189,572.4772727272727
