target,feature,pearson,spearman,mutual_information,n
DAYS,policy_interval_days,0.0,0.0,0.0,28153
DAYS,previous_interval_days,0.6080652431145074,0.7673399483910508,0.8157297714045226,28153
DAYS,historical_interval_days_median,0.62324530704458,0.7741128285885749,0.841114734573118,28153
DAYS,recent_km_per_day,-0.7138627550224184,-0.8807687733008402,0.7634681429496979,28153
DAYS,annual_km_baseline,-0.7232445055884473,-0.8543009067870682,0.7158434043379618,28153
DAYS,service_sequence,-0.4695979751952031,-0.6555419584725136,0.31421734945210344,28153
DAYS,historical_policy_delay_mean_days,0.23688620827237203,0.19620848931467497,0.030794512985761413,28153
DAYS,policy_interval_km,0.4348108349193377,0.472661358699746,0.151600482909104,28153
DAYS,previous_interval_km,-0.05832987878481659,0.07995539322497092,0.15111046180561516,28153
DAYS,historical_interval_km_median,-0.08181555969482805,0.10445993653306748,0.2033461758543318,28153
DAYS,snapshot_odometer_km,-0.38375401266507314,-0.47179159301777995,0.13467673790876233,28153
DAYS,usage_type,0.007371975236111324,0.013779071828167577,0.017083514663857713,28153
KM,policy_interval_days,0.0,0.0,0.0,28153
KM,previous_interval_days,0.03826278423511454,0.16817843108929417,0.10130563389007108,28153
KM,historical_interval_days_median,0.03957824401557535,0.1550971420133604,0.09509962432262942,28153
KM,recent_km_per_day,0.029187015220897436,0.07633754077552844,0.10887598818285582,28153
KM,annual_km_baseline,0.13777762701805324,0.15667026204738263,0.12053788307382085,28153
KM,service_sequence,-0.13832173201166534,-0.11499413572534788,0.04327170661313984,28153
KM,historical_policy_delay_mean_days,-0.06421279506278135,-0.08330342664165775,0.0068548300075970126,28153
KM,policy_interval_km,0.4905265010798338,0.5032764057123646,0.2028488787901881,28153
KM,previous_interval_km,0.36747183953308765,0.4542366394202284,0.1848936712644571,28153
KM,historical_interval_km_median,0.4081964621925617,0.5001485719703271,0.22881332010807132,28153
KM,snapshot_odometer_km,0.03560768525202058,0.05880118503042864,0.025483838381380686,28153
KM,usage_type,0.002121302516895109,-0.009014204643635223,0.005545762921231656,28153
